"year","base_region","target_region","flow_type","total_cargo_volume"
"2019","수도권","강원","도착","17686987"
"2019","수도권","경남","도착","11255940"
"2019","수도권","경북","도착","13647002"
"2019","수도권","광주","도착","2532312"
"2019","수도권","대구","도착","3807473"
"2019","수도권","대전","도착","1297893"
"2019","수도권","부산","도착","23944177"
"2019","수도권","세종","도착","3950043"
"2019","수도권","수도권","도착","397356394"
"2019","수도권","울산","도착","5004942"
"2019","수도권","전남","도착","17768858"
"2019","수도권","전북","도착","14562608"
"2019","수도권","제주","도착","0"
"2019","수도권","충남","도착","31156802"
"2019","수도권","충북","도착","16906253"
"2019","수도권","강원","출발","10537709"
"2019","수도권","경남","출발","7759407"
"2019","수도권","경북","출발","15021536"
"2019","수도권","광주","출발","1890361"
"2019","수도권","대구","출발","2198660"
"2019","수도권","대전","출발","3729834"
"2019","수도권","부산","출발","21603921"
"2019","수도권","세종","출발","1872205"
"2019","수도권","수도권","출발","397356394"
"2019","수도권","울산","출발","7595789"
"2019","수도권","전남","출발","8801386"
"2019","수도권","전북","출발","5986712"
"2019","수도권","제주","출발","0"
"2019","수도권","충남","출발","49874255"
"2019","수도권","충북","출발","18437705"
"2020","수도권","강원","도착","17653239"
"2020","수도권","경남","도착","9158303"
"2020","수도권","경북","도착","11477184"
"2020","수도권","광주","도착","2671506"
"2020","수도권","대구","도착","3650010"
"2020","수도권","대전","도착","1356074"
"2020","수도권","부산","도착","22309305"
"2020","수도권","세종","도착","3360341"
"2020","수도권","수도권","도착","403094502"
"2020","수도권","울산","도착","2718556"
"2020","수도권","전남","도착","15413169"
"2020","수도권","전북","도착","14086773"
"2020","수도권","제주","도착","0"
"2020","수도권","충남","도착","32449049"
"2020","수도권","충북","도착","15903363"
"2020","수도권","강원","출발","11144845"
"2020","수도권","경남","출발","8494011"
"2020","수도권","경북","출발","15787550"
"2020","수도권","광주","출발","1942716"
"2020","수도권","대구","출발","2398129"
"2020","수도권","대전","출발","4024054"
"2020","수도권","부산","출발","20825964"
"2020","수도권","세종","출발","2005671"
"2020","수도권","수도권","출발","403094502"
"2020","수도권","울산","출발","7382348"
"2020","수도권","전남","출발","9195757"
"2020","수도권","전북","출발","6309013"
"2020","수도권","제주","출발","0"
"2020","수도권","충남","출발","50243428"
"2020","수도권","충북","출발","19288952"
"2021","수도권","강원","도착","13564660"
"2021","수도권","경남","도착","7699243"
"2021","수도권","경북","도착","10478097"
"2021","수도권","광주","도착","2753074"
"2021","수도권","대구","도착","3468990"
"2021","수도권","대전","도착","1300428"
"2021","수도권","부산","도착","23256302"
"2021","수도권","세종","도착","2895913"
"2021","수도권","수도권","도착","434759082"
"2021","수도권","울산","도착","2492336"
"2021","수도권","전남","도착","14178732"
"2021","수도권","전북","도착","13589441"
"2021","수도권","제주","도착","0"
"2021","수도권","충남","도착","30724865"
"2021","수도권","충북","도착","14493412"
"2021","수도권","강원","출발","15011821"
"2021","수도권","경남","출발","10097587"
"2021","수도권","경북","출발","18321006"
"2021","수도권","광주","출발","2123609"
"2021","수도권","대구","출발","3048804"
"2021","수도권","대전","출발","4565589"
"2021","수도권","부산","출발","23248095"
"2021","수도권","세종","출발","2466764"
"2021","수도권","수도권","출발","434759082"
"2021","수도권","울산","출발","8444023"
"2021","수도권","전남","출발","11133004"
"2021","수도권","전북","출발","7817753"
"2021","수도권","제주","출발","0"
"2021","수도권","충남","출발","54064722"
"2021","수도권","충북","출발","22499269"
"2022","수도권","강원","도착","22456040"
"2022","수도권","경남","도착","5388832"
"2022","수도권","경북","도착","9593867"
"2022","수도권","광주","도착","3663100"
"2022","수도권","대구","도착","2311217"
"2022","수도권","대전","도착","668159"
"2022","수도권","부산","도착","22693301"
