"구분","city","region","region_en","city_en","total_2022","total_2023","gap_vol"
"도착","충남","충청권","Chungcheong","Chungnam","2378267","5077334","2699067"
"도착","수도권(서울/경기)","수도권","Capital Area","Capital Area (Seoul/Gyeonggi)","7782940","7462800","-320140"
"도착","강원","기타","Others","Gangwon","1281678","1015145","-266533"
"도착","기타 (12개 지자체)","기타","Others","Others (12 Local Govs)","7467607","7207951","-259656"
"도착","대전","충청권","Chungcheong","Daejeon","908460","744614","-163846"
"출발","대전","충청권","Chungcheong","Daejeon","908460","744614","-163846"
"출발","기타 (12개 지자체)","기타","Others","Others (12 Local Govs)","2402644","2271726","-130918"
"출발","수도권(서울/경기)","수도권","Capital Area","Capital Area (Seoul/Gyeonggi)","484200","419632","-64568"
"출발","충북","충청권","Chungcheong","Chungbuk","224541","180756","-43785"
"출발","충남","충청권","Chungcheong","Chungnam","276818","243034","-33784"
