"구분","city","region","region_en","city_en","total_2021","total_2022","gap_vol"
"도착","수도권","수도권","Capital Area","Capital Area","4565589","8424562","3858973"
"도착","대전","충청권","Chungcheong","Daejeon","4041811","908460","-3133351"
"도착","기타 (11개 지자체)","기타","Others","Others (11 Local Govs)","9308765","8067535","-1241230"
"도착","전북","호남권","Honam","Jeonbuk","2057164","1136717","-920447"
"도착","강원","기타","Others","Gangwon","610815","1281678","670863"
"출발","대전","충청권","Chungcheong","Daejeon","4041811","908460","-3133351"
"출발","기타 (11개 지자체)","기타","Others","Others (11 Local Govs)","3366349","2218685","-1147664"
"출발","수도권","수도권","Capital Area","Capital Area","1300428","668159","-632269"
"출발","충남","충청권","Chungcheong","Chungnam","876909","276818","-600091"
"출발","충북","충청권","Chungcheong","Chungbuk","712155","224541","-487614"
