"flow_type","city","region","city_en","region_en","total_2021","total_2022","gap_vol"
"도착","수도권","수도권","수도권","Capital Area","434759082","418744018","-16015064"
"도착","기타 (11개 지자체)","기타","Others (11 Local Govs)","Others","99247980","87478611","-11769369"
"도착","강원","기타","강원","Others","13564660","22456040","8891380"
"도착","충북","충청권","충북","Chungcheong","14493412","22006136","7512724"
"도착","전북","호남권","전북","Honam","13589441","8574532","-5014909"
"출발","기타 (11개 지자체)","기타","Others (11 Local Govs)","Others","131175358","181768884","50593526"
"출발","수도권","수도권","수도권","Capital Area","434759082","418744018","-16015064"
"출발","경남","영남권","경남","Yeongnam","10097587","23768047","13670460"
"출발","경북","영남권","경북","Yeongnam","18321006","31556920","13235914"
"출발","부산","영남권","부산","Yeongnam","23248095","33943984","10695889"
