"연도","base_city_kr","base_city_en","target_city_kr","target_city_en","logistics_type","물동량"
"2019","수도권","Capital Area","수도권","Capital Area","권역 내","32615377"
"2019","수도권","Capital Area","영남권","Yeongnam","권역 간","859478"
"2019","수도권","Capital Area","영남권","Yeongnam","권역 간","262600"
"2019","수도권","Capital Area","수도권","Capital Area","권역 내","1691278"
"2019","수도권","Capital Area","호남권","Honam","권역 간","196522"
"2019","수도권","Capital Area","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","127295"
"2019","수도권","Capital Area","대전시","Daejeon","권역 간","325791"
"2019","수도권","Capital Area","영남권","Yeongnam","권역 간","550779"
"2019","수도권","Capital Area","수도권","Capital Area","권역 내","17279539"
"2019","수도권","Capital Area","기타","Others","권역 간","919960"
"2019","수도권","Capital Area","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","1172843"
"2019","수도권","Capital Area","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","1798445"
"2019","수도권","Capital Area","호남권","Honam","권역 간","271482"
"2019","수도권","Capital Area","호남권","Honam","권역 간","623937"
"2019","수도권","Capital Area","영남권","Yeongnam","권역 간","1331778"
"2019","수도권","Capital Area","영남권","Yeongnam","권역 간","704418"
"2019","수도권","Capital Area","기타","Others","권역 간","0"
"2019","영남권","Yeongnam","수도권","Capital Area","권역 간","1819414"
"2019","영남권","Yeongnam","영남권","Yeongnam","권역 내","40877316"
"2019","영남권","Yeongnam","영남권","Yeongnam","권역 내","1761914"
"2019","영남권","Yeongnam","수도권","Capital Area","권역 간","3599080"
"2019","영남권","Yeongnam","호남권","Honam","권역 간","908596"
"2019","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","598895"
"2019","영남권","Yeongnam","대전시","Daejeon","권역 간","701147"
"2019","영남권","Yeongnam","영남권","Yeongnam","권역 내","13026607"
"2019","영남권","Yeongnam","수도권","Capital Area","권역 간","18525683"
"2019","영남권","Yeongnam","기타","Others","권역 간","858301"
"2019","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","4362464"
"2019","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","4108942"
"2019","영남권","Yeongnam","호남권","Honam","권역 간","1502044"
"2019","영남권","Yeongnam","호남권","Honam","권역 간","2425508"
"2019","영남권","Yeongnam","영남권","Yeongnam","권역 내","11053198"
"2019","영남권","Yeongnam","영남권","Yeongnam","권역 내","21789224"
"2019","영남권","Yeongnam","기타","Others","권역 간","0"
"2019","영남권","Yeongnam","수도권","Capital Area","권역 간","783503"
"2019","영남권","Yeongnam","영남권","Yeongnam","권역 내","3435981"
"2019","영남권","Yeongnam","영남권","Yeongnam","권역 내","11252162"
"2019","영남권","Yeongnam","수도권","Capital Area","권역 간","444803"
"2019","영남권","Yeongnam","호남권","Honam","권역 간","324300"
"2019","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","130409"
"2019","영남권","Yeongnam","대전시","Daejeon","권역 간","332431"
"2019","영남권","Yeongnam","영남권","Yeongnam","권역 내","1856625"
"2019","영남권","Yeongnam","수도권","Capital Area","권역 간","2579167"
"2019","영남권","Yeongnam","기타","Others","권역 간","526219"
"2019","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","1222594"
"2019","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","1712771"
"2019","영남권","Yeongnam","호남권","Honam","권역 간","619550"
"2019","영남권","Yeongnam","호남권","Honam","권역 간","930919"
"2019","영남권","Yeongnam","영남권","Yeongnam","권역 내","8739264"
"2019","영남권","Yeongnam","영남권","Yeongnam","권역 내","3544909"
"2019","영남권","Yeongnam","기타","Others","권역 간","0"
"2019","수도권","Capital Area","수도권","Capital Area","권역 내","12061421"
"2019","수도권","Capital Area","영남권","Yeongnam","권역 간","3070958"
"2019","수도권","Capital Area","영남권","Yeongnam","권역 간","485602"
"2019","수도권","Capital Area","수도권","Capital Area","권역 내","92936079"
"2019","수도권","Capital Area","호남권","Honam","권역 간","475700"
"2019","수도권","Capital Area","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","435280"
"2019","수도권","Capital Area","대전시","Daejeon","권역 간","816600"
"2019","수도권","Capital Area","영남권","Yeongnam","권역 간","2638975"
"2019","수도권","Capital Area","수도권","Capital Area","권역 내","58096164"
"2019","수도권","Capital Area","기타","Others","권역 간","2794757"
"2019","수도권","Capital Area","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","4499256"
"2019","수도권","Capital Area","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","9094134"
"2019","수도권","Capital Area","호남권","Honam","권역 간","1435605"
"2019","수도권","Capital Area","호남권","Honam","권역 간","3275657"
"2019","수도권","Capital Area","영남권","Yeongnam","권역 간","4174440"
"2019","수도권","Capital Area","영남권","Yeongnam","권역 간","1987671"
"2019","수도권","Capital Area","기타","Others","권역 간","0"
"2019","호남권","Honam","수도권","Capital Area","권역 간","392870"
"2019","호남권","Honam","영남권","Yeongnam","권역 간","2348710"
"2019","호남권","Honam","영남권","Yeongnam","권역 간","212338"
"2019","호남권","Honam","수도권","Capital Area","권역 간","360220"
"2019","호남권","Honam","호남권","Honam","권역 내","6926086"
"2019","호남권","Honam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","51560"
"2019","호남권","Honam","대전시","Daejeon","권역 간","210551"
"2019","호남권","Honam","영남권","Yeongnam","권역 간","754504"
"2019","호남권","Honam","수도권","Capital Area","권역 간","1779222"
"2019","호남권","Honam","기타","Others","권역 간","169339"
"2019","호남권","Honam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","470535"
"2019","호남권","Honam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","1075334"
"2019","호남권","Honam","호남권","Honam","권역 내","878198"
"2019","호남권","Honam","호남권","Honam","권역 내","8339487"
"2019","호남권","Honam","영남권","Yeongnam","권역 간","920295"
"2019","호남권","Honam","영남권","Yeongnam","권역 간","1116391"
"2019","호남권","Honam","기타","Others","권역 간","0"
"2019","대전시","Daejeon","수도권","Capital Area","권역 간","173498"
"2019","대전시","Daejeon","영남권","Yeongnam","권역 간","1310958"
"2019","대전시","Daejeon","영남권","Yeongnam","권역 간","76617"
"2019","대전시","Daejeon","수도권","Capital Area","권역 간","239921"
"2019","대전시","Daejeon","호남권","Honam","권역 간","69417"
"2019","대전시","Daejeon","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","111453"
"2019","대전시","Daejeon","대전시","Daejeon","권역 내","3866207"
"2019","대전시","Daejeon","영남권","Yeongnam","권역 간","235116"
"2019","대전시","Daejeon","수도권","Capital Area","권역 간","884474"
"2019","대전시","Daejeon","기타","Others","권역 간","113745"
"2019","대전시","Daejeon","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","724716"
"2019","대전시","Daejeon","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","934311"
"2019","대전시","Daejeon","호남권","Honam","권역 간","202801"
"2019","대전시","Daejeon","호남권","Honam","권역 간","285561"
"2019","대전시","Daejeon","영남권","Yeongnam","권역 간","562870"
"2019","대전시","Daejeon","영남권","Yeongnam","권역 간","273715"
"2019","대전시","Daejeon","기타","Others","권역 간","0"
"2019","영남권","Yeongnam","수도권","Capital Area","권역 간","488338"
"2019","영남권","Yeongnam","영남권","Yeongnam","권역 내","15564102"
"2019","영남권","Yeongnam","영남권","Yeongnam","권역 내","1100495"
"2019","영남권","Yeongnam","수도권","Capital Area","권역 간","796901"
"2019","영남권","Yeongnam","호남권","Honam","권역 간","256726"
"2019","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","196410"
"2019","영남권","Yeongnam","대전시","Daejeon","권역 간","303950"
"2019","영남권","Yeongnam","영남권","Yeongnam","권역 내","101148611"
"2019","영남권","Yeongnam","수도권","Capital Area","권역 간","3719703"
"2019","영남권","Yeongnam","기타","Others","권역 간","1567503"
"2019","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","1572863"
"2019","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","1943008"
"2019","영남권","Yeongnam","호남권","Honam","권역 간","879507"
"2019","영남권","Yeongnam","호남권","Honam","권역 간","2254678"
"2019","영남권","Yeongnam","영남권","Yeongnam","권역 내","7247116"
"2019","영남권","Yeongnam","영남권","Yeongnam","권역 내","5353531"
"2019","영남권","Yeongnam","기타","Others","권역 간","0"
"2019","수도권","Capital Area","수도권","Capital Area","권역 내","21074934"
"2019","수도권","Capital Area","영남권","Yeongnam","권역 간","17673485"
"2019","수도권","Capital Area","영남권","Yeongnam","권역 간","1450458"
"2019","수도권","Capital Area","수도권","Capital Area","권역 내","20788596"
"2019","수도권","Capital Area","호남권","Honam","권역 간","1218139"
"2019","수도권","Capital Area","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","1309630"
"2019","수도권","Capital Area","대전시","Daejeon","권역 간","2587443"
"2019","수도권","Capital Area","영남권","Yeongnam","권역 간","4406035"
"2019","수도권","Capital Area","수도권","Capital Area","권역 내","140813006"
"2019","수도권","Capital Area","기타","Others","권역 간","6822992"
"2019","수도권","Capital Area","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","12765606"
"2019","수도권","Capital Area","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","38981676"
"2019","수도권","Capital Area","호남권","Honam","권역 간","4279625"
"2019","수도권","Capital Area","호남권","Honam","권역 간","4901792"
"2019","수도권","Capital Area","영남권","Yeongnam","권역 간","9515318"
"2019","수도권","Capital Area","영남권","Yeongnam","권역 간","5067318"
"2019","수도권","Capital Area","기타","Others","권역 간","0"
"2019","기타","Others","수도권","Capital Area","권역 간","2074430"
"2019","기타","Others","영남권","Yeongnam","권역 간","1401706"
"2019","기타","Others","영남권","Yeongnam","권역 간","709912"
"2019","기타","Others","수도권","Capital Area","권역 간","1983727"
"2019","기타","Others","호남권","Honam","권역 간","332855"
"2019","기타","Others","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","463985"
"2019","기타","Others","대전시","Daejeon","권역 간","625769"
"2019","기타","Others","영남권","Yeongnam","권역 간","1805151"
"2019","기타","Others","수도권","Capital Area","권역 간","13628830"
"2019","기타","Others","기타","Others","권역 내","39990838"
"2019","기타","Others","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","5259809"
"2019","기타","Others","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","4809139"
"2019","기타","Others","호남권","Honam","권역 간","1462522"
"2019","기타","Others","호남권","Honam","권역 간","2175156"
"2019","기타","Others","영남권","Yeongnam","권역 간","6508647"
"2019","기타","Others","영남권","Yeongnam","권역 간","2044182"
"2019","기타","Others","기타","Others","권역 내","0"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","수도권","Capital Area","권역 간","1922404"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","영남권","Yeongnam","권역 간","3241416"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","영남권","Yeongnam","권역 간","830068"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","수도권","Capital Area","권역 간","1761043"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","호남권","Honam","권역 간","463549"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","충청권(대전제외)","Chungcheong(excl. DJ)","권역 내","1347315"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","대전시","Daejeon","권역 간","1557682"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","영남권","Yeongnam","권역 간","2281546"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","수도권","Capital Area","권역 간","13222806"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","기타","Others","권역 간","4329075"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","충청권(대전제외)","Chungcheong(excl. DJ)","권역 내","18410833"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","충청권(대전제외)","Chungcheong(excl. DJ)","권역 내","8437910"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","호남권","Honam","권역 간","1920330"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","호남권","Honam","권역 간","2547119"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","영남권","Yeongnam","권역 간","5695639"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","영남권","Yeongnam","권역 간","2472561"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","기타","Others","권역 간","0"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","수도권","Capital Area","권역 간","3049702"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","영남권","Yeongnam","권역 간","5258050"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","영남권","Yeongnam","권역 간","831398"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","수도권","Capital Area","권역 간","3522537"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","호남권","Honam","권역 간","831753"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","충청권(대전제외)","Chungcheong(excl. DJ)","권역 내","1491311"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","대전시","Daejeon","권역 간","2347961"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","영남권","Yeongnam","권역 간","2488740"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","수도권","Capital Area","권역 간","24584563"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","기타","Others","권역 간","2325474"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","충청권(대전제외)","Chungcheong(excl. DJ)","권역 내","6631537"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","충청권(대전제외)","Chungcheong(excl. DJ)","권역 내","81175357"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","호남권","Honam","권역 간","4327955"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","호남권","Honam","권역 간","3659474"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","영남권","Yeongnam","권역 간","5007881"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","영남권","Yeongnam","권역 간","2798203"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","기타","Others","권역 간","0"
"2019","호남권","Honam","수도권","Capital Area","권역 간","2208227"
"2019","호남권","Honam","영남권","Yeongnam","권역 간","3089907"
"2019","호남권","Honam","영남권","Yeongnam","권역 간","1203108"
"2019","호남권","Honam","수도권","Capital Area","권역 간","1688531"
"2019","호남권","Honam","호남권","Honam","권역 내","2159696"
"2019","호남권","Honam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","696250"
"2019","호남권","Honam","대전시","Daejeon","권역 간","1989114"
"2019","호남권","Honam","영남권","Yeongnam","권역 간","1927584"
"2019","호남권","Honam","수도권","Capital Area","권역 간","10665850"
"2019","호남권","Honam","기타","Others","권역 간","2208814"
"2019","호남권","Honam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","4676695"
"2019","호남권","Honam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","9766402"
"2019","호남권","Honam","호남권","Honam","권역 내","36267802"
"2019","호남권","Honam","호남권","Honam","권역 내","8846343"
"2019","호남권","Honam","영남권","Yeongnam","권역 간","6027876"
"2019","호남권","Honam","영남권","Yeongnam","권역 간","4536023"
"2019","호남권","Honam","기타","Others","권역 간","0"
"2019","호남권","Honam","수도권","Capital Area","권역 간","2058909"
"2019","호남권","Honam","영남권","Yeongnam","권역 간","3911614"
"2019","호남권","Honam","영남권","Yeongnam","권역 간","1525855"
"2019","호남권","Honam","수도권","Capital Area","권역 간","2260270"
"2019","호남권","Honam","호남권","Honam","권역 내","7048069"
"2019","호남권","Honam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","1676843"
"2019","호남권","Honam","대전시","Daejeon","권역 간","1308980"
"2019","호남권","Honam","영남권","Yeongnam","권역 간","4408399"
"2019","호남권","Honam","수도권","Capital Area","권역 간","13449679"
"2019","호남권","Honam","기타","Others","권역 간","3266261"
"2019","호남권","Honam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","5782148"
"2019","호남권","Honam","충청권(대전제외)","Chungcheong(excl. DJ)","권역 간","9043056"
"2019","호남권","Honam","호남권","Honam","권역 내","8730761"
"2019","호남권","Honam","호남권","Honam","권역 내","129135963"
"2019","호남권","Honam","영남권","Yeongnam","권역 간","8121883"
"2019","호남권","Honam","영남권","Yeongnam","권역 간","9110439"
"2019","호남권","Honam","기타","Others","권역 간","0"
