연도,기준지역,대상지역,구분,물동량
2019,서울,서울,출발,32615377
2019,서울,부산,출발,859478
2019,서울,대구,출발,262600
2019,서울,인천,출발,1691278
2019,서울,광주,출발,196522
2019,서울,세종,출발,127295
2019,서울,대전,출발,325791
2019,서울,울산,출발,550779
2019,서울,경기,출발,17279539
2019,서울,강원,출발,919960
2019,서울,충북,출발,1172843
2019,서울,충남,출발,1798445
2019,서울,전북,출발,271482
2019,서울,전남,출발,623937
2019,서울,경북,출발,1331778
2019,서울,경남,출발,704418
2019,서울,제주,출발,0
2019,부산,서울,출발,1819414
2019,부산,부산,출발,40877316
2019,부산,대구,출발,1761914
2019,부산,인천,출발,3599080
2019,부산,광주,출발,908596
2019,부산,세종,출발,598895
2019,부산,대전,출발,701147
2019,부산,울산,출발,13026607
2019,부산,경기,출발,18525683
2019,부산,강원,출발,858301
2019,부산,충북,출발,4362464
2019,부산,충남,출발,4108942
2019,부산,전북,출발,1502044
2019,부산,전남,출발,2425508
2019,부산,경북,출발,11053198
2019,부산,경남,출발,21789224
2019,부산,제주,출발,0
2019,대구,서울,출발,783503
2019,대구,부산,출발,3435981
2019,대구,대구,출발,11252162
2019,대구,인천,출발,444803
2019,대구,광주,출발,324300
2019,대구,세종,출발,130409
2019,대구,대전,출발,332431
2019,대구,울산,출발,1856625
2019,대구,경기,출발,2579167
2019,대구,강원,출발,526219
2019,대구,충북,출발,1222594
2019,대구,충남,출발,1712771
2019,대구,전북,출발,619550
2019,대구,전남,출발,930919
2019,대구,경북,출발,8739264
2019,대구,경남,출발,3544909
2019,대구,제주,출발,0
2019,인천,서울,출발,12061421
2019,인천,부산,출발,3070958
2019,인천,대구,출발,485602
2019,인천,인천,출발,92936079
2019,인천,광주,출발,475700
2019,인천,세종,출발,435280
2019,인천,대전,출발,816600
2019,인천,울산,출발,2638975
2019,인천,경기,출발,58096164
2019,인천,강원,출발,2794757
2019,인천,충북,출발,4499256
2019,인천,충남,출발,9094134
2019,인천,전북,출발,1435605
2019,인천,전남,출발,3275657
2019,인천,경북,출발,4174440
2019,인천,경남,출발,1987671
2019,인천,제주,출발,0
2019,광주,서울,출발,392870
2019,광주,부산,출발,2348710
2019,광주,대구,출발,212338
2019,광주,인천,출발,360220
2019,광주,광주,출발,6926086
2019,광주,세종,출발,51560
2019,광주,대전,출발,210551
2019,광주,울산,출발,754504
2019,광주,경기,출발,1779222
2019,광주,강원,출발,169339
2019,광주,충북,출발,470535
2019,광주,충남,출발,1075334
2019,광주,전북,출발,878198
2019,광주,전남,출발,8339487
2019,광주,경북,출발,920295
2019,광주,경남,출발,1116391
2019,광주,제주,출발,0
2019,대전,서울,출발,173498
2019,대전,부산,출발,1310958
2019,대전,대구,출발,76617
2019,대전,인천,출발,239921
2019,대전,광주,출발,69417
2019,대전,세종,출발,111453
2019,대전,대전,출발,3866207
2019,대전,울산,출발,235116
2019,대전,경기,출발,884474
2019,대전,강원,출발,113745
2019,대전,충북,출발,724716
2019,대전,충남,출발,934311
2019,대전,전북,출발,202801
2019,대전,전남,출발,285561
2019,대전,경북,출발,562870
2019,대전,경남,출발,273715
2019,대전,제주,출발,0
2019,울산,서울,출발,488338
2019,울산,부산,출발,15564102
2019,울산,대구,출발,1100495
2019,울산,인천,출발,796901
2019,울산,광주,출발,256726
2019,울산,세종,출발,196410
2019,울산,대전,출발,303950
2019,울산,울산,출발,101148611
2019,울산,경기,출발,3719703
2019,울산,강원,출발,1567503
2019,울산,충북,출발,1572863
2019,울산,충남,출발,1943008
2019,울산,전북,출발,879507
2019,울산,전남,출발,2254678
2019,울산,경북,출발,7247116
2019,울산,경남,출발,5353531
2019,울산,제주,출발,0
2019,경기,서울,출발,21074934
2019,경기,부산,출발,17673485
2019,경기,대구,출발,1450458
2019,경기,인천,출발,20788596
2019,경기,광주,출발,1218139
2019,경기,세종,출발,1309630
2019,경기,대전,출발,2587443
2019,경기,울산,출발,4406035
2019,경기,경기,출발,140813006
2019,경기,강원,출발,6822992
2019,경기,충북,출발,12765606
2019,경기,충남,출발,38981676
2019,경기,전북,출발,4279625
2019,경기,전남,출발,4901792
2019,경기,경북,출발,9515318
2019,경기,경남,출발,5067318
2019,경기,제주,출발,0
2019,강원,서울,출발,2074430
2019,강원,부산,출발,1401706
2019,강원,대구,출발,709912
2019,강원,인천,출발,1983727
2019,강원,광주,출발,332855
2019,강원,세종,출발,463985
2019,강원,대전,출발,625769
2019,강원,울산,출발,1805151
2019,강원,경기,출발,13628830
2019,강원,강원,출발,39990838
2019,강원,충북,출발,5259809
2019,강원,충남,출발,4809139
2019,강원,전북,출발,1462522
2019,강원,전남,출발,2175156
2019,강원,경북,출발,6508647
2019,강원,경남,출발,2044182
2019,강원,제주,출발,0
2019,충북,서울,출발,1922404
2019,충북,부산,출발,3241416
2019,충북,대구,출발,830068
2019,충북,인천,출발,1761043
2019,충북,광주,출발,463549
2019,충북,세종,출발,1347315
2019,충북,대전,출발,1557682
2019,충북,울산,출발,2281546
2019,충북,경기,출발,13222806
2019,충북,강원,출발,4329075
2019,충북,충북,출발,18410833
2019,충북,충남,출발,8437910
2019,충북,전북,출발,1920330
2019,충북,전남,출발,2547119
2019,충북,경북,출발,5695639
2019,충북,경남,출발,2472561
2019,충북,제주,출발,0
2019,충남,서울,출발,3049702
2019,충남,부산,출발,5258050
2019,충남,대구,출발,831398
2019,충남,인천,출발,3522537
2019,충남,광주,출발,831753
2019,충남,세종,출발,1491311
2019,충남,대전,출발,2347961
2019,충남,울산,출발,2488740
2019,충남,경기,출발,24584563
2019,충남,강원,출발,2325474
2019,충남,충북,출발,6631537
2019,충남,충남,출발,81175357
2019,충남,전북,출발,4327955
2019,충남,전남,출발,3659474
2019,충남,경북,출발,5007881
2019,충남,경남,출발,2798203
2019,충남,제주,출발,0
2019,전북,서울,출발,2208227
2019,전북,부산,출발,3089907
2019,전북,대구,출발,1203108
2019,전북,인천,출발,1688531
2019,전북,광주,출발,2159696
2019,전북,세종,출발,696250
2019,전북,대전,출발,1989114
2019,전북,울산,출발,1927584
2019,전북,경기,출발,10665850
2019,전북,강원,출발,2208814
2019,전북,충북,출발,4676695
2019,전북,충남,출발,9766402
2019,전북,전북,출발,36267802
2019,전북,전남,출발,8846343
2019,전북,경북,출발,6027876
