"배송년월일","송하인_시명","송하인_시코드","송하인_구명","송하인_구코드","수하인_시명","수하인_시코드","대분류_착지물동량 가구/인테리어","대분류_착지물동량 기타","대분류_착지물동량 도서/음반","대분류_착지물동량 디지털/가전","대분류_착지물동량 생활/건강","대분류_착지물동량 스포츠/레저","대분류_착지물동량 식품","대분류_착지물동량 출산/육아","대분류_착지물동량 패션의류","대분류_착지물동량 패션잡화","대분류_착지물동량 화장품/미용"
20221101,서울특별시,11,은평구,11380,광주광역시,29,14,50,12,19,145,23,129,9,57,63,209
20221101,서울특별시,11,은평구,11380,대전광역시,30,12,45,14,23,109,17,131,9,53,78,216
20221101,서울특별시,11,은평구,11380,울산광역시,31,10,25,15,10,117,18,82,10,39,38,165
20221101,서울특별시,11,은평구,11380,세종특별자치시,36,3,11,3,6,50,10,33,3,12,9,51
20221101,서울특별시,11,은평구,11380,경기도,41,187,631,218,230,1718,247,1616,122,1053,670,2024
20221101,서울특별시,11,은평구,11380,강원도,42,13,38,21,25,153,18,113,6,54,88,216
20221101,서울특별시,11,은평구,11380,충청북도,43,15,30,18,24,166,30,145,11,113,69,238
20221101,서울특별시,11,은평구,11380,충청남도,44,20,78,25,42,236,22,187,13,71,88,344
20221101,서울특별시,11,용산구,11170,대전광역시,30,10,132,14,877,145,21,63,5,169,46,36
20221101,서울특별시,11,용산구,11170,울산광역시,31,7,102,14,452,106,7,47,10,132,28,13
20221101,서울특별시,11,용산구,11170,세종특별자치시,36,0,35,7,234,43,3,16,3,65,14,11
20221101,서울특별시,11,용산구,11170,경기도,41,122,1452,251,8095,1769,171,840,161,2152,460,309
20221101,서울특별시,11,용산구,11170,강원도,42,13,143,19,736,155,4,84,13,152,41,22
20221101,서울특별시,11,용산구,11170,충청북도,43,9,133,19,801,141,15,69,15,179,46,32
20221101,서울특별시,11,용산구,11170,충청남도,44,30,181,45,1072,221,12,110,21,207,49,63
20221101,서울특별시,11,용산구,11170,전라북도,45,9,131,24,707,110,12,73,10,168,33,34
20221101,서울특별시,11,은평구,11380,전라북도,45,14,42,16,17,178,26,117,10,65,75,236
20221101,서울특별시,11,은평구,11380,전라남도,46,10,50,20,20,164,25,111,22,54,62,243
20221101,서울특별시,11,은평구,11380,경상북도,47,18,70,22,19,235,40,240,14,82,127,392
20221101,서울특별시,11,은평구,11380,경상남도,48,33,87,35,32,319,44,290,29,85,123,522
20221101,서울특별시,11,은평구,11380,제주특별자치도,50,3,7,0,10,13,7,16,3,12,14,22
20221101,서울특별시,11,광진구,11215,울산광역시,31,16,75,11,59,129,24,32,12,200,153,26
20221101,서울특별시,11,광진구,11215,대전광역시,30,24,81,34,129,287,42,51,12,279,158,27
20221101,서울특별시,11,노원구,11350,제주특별자치도,50,4,17,3,5,33,4,22,10,42,7,39
20221101,서울특별시,11,노원구,11350,경상남도,48,49,144,47,69,359,42,187,71,383,91,255
20221101,서울특별시,11,노원구,11350,경상북도,47,40,128,37,73,289,35,160,59,324,53,229
20221101,서울특별시,11,노원구,11350,전라남도,46,17,65,13,48,203,28,101,37,240,31,147
20221101,서울특별시,11,노원구,11350,전라북도,45,31,78,12,45,214,25,118,33,255,38,135
20221101,서울특별시,11,노원구,11350,충청남도,44,29,114,36,73,279,27,184,42,320,52,173
20221101,서울특별시,11,노원구,11350,충청북도,43,13,71,21,47,202,28,109,34,277,45,205
20221101,서울특별시,11,광진구,11215,광주광역시,29,26,83,21,111,220,22,53,17,299,192,33
20221101,서울특별시,11,광진구,11215,인천광역시,28,45,209,47,262,639,53,116,45,655,365,69
20221101,서울특별시,11,광진구,11215,대구광역시,27,40,147,42,166,392,62,85,24,481,257,62
20221101,서울특별시,11,광진구,11215,부산광역시,26,42,226,44,273,438,62,135,34,584,395,97
20221101,서울특별시,11,용산구,11170,전라남도,46,13,107,18,686,120,21,75,3,134,32,17
20221101,서울특별시,11,용산구,11170,경상북도,47,10,158,37,1174,196,25,122,18,205,56,49
20221101,서울특별시,11,용산구,11170,경상남도,48,22,234,27,1362,264,36,182,17,298,62,72
20221101,서울특별시,11,용산구,11170,제주특별자치도,50,5,43,9,210,46,3,16,0,70,9,5
20221101,서울특별시,11,서대문구,11410,경상남도,48,30,149,54,184,287,98,142,291,341,369,176
20221101,서울특별시,11,서대문구,11410,경상북도,47,38,133,45,117,241,92,90,215,277,295,90
20221101,서울특별시,11,서대문구,11410,전라남도,46,26,70,51,75,161,59,44,134,223,196,99
20221101,서울특별시,11,서대문구,11410,전라북도,45,18,64,25,80,137,60,81,137,192,191,44
20221101,서울특별시,11,서대문구,11410,충청남도,44,26,108,53,111,250,70,68,197,266,278,102
20221101,서울특별시,11,영등포구,11560,경상남도,48,42,579,51,217,270,32,224,109,264,74,215
20221101,서울특별시,11,광진구,11215,서울특별시,11,164,840,281,1056,1583,218,532,114,2341,1198,265
20221101,서울특별시,11,노원구,11350,강원도,42,14,73,29,49,195,26,107,26,206,31,145
20221101,서울특별시,11,노원구,11350,경기도,41,174,884,256,467,1755,226,1144,360,2810,449,1289
20221101,서울특별시,11,노원구,11350,세종특별자치시,36,6,24,4,18,48,8,15,15,49,14,24
20221101,서울특별시,11,노원구,11350,울산광역시,31,9,35,18,37,104,15,59,18,143,26,67
20221101,서울특별시,11,노원구,11350,대전광역시,30,18,68,19,50,180,32,92,33,225,22,169
20221101,서울특별시,11,노원구,11350,광주광역시,29,33,63,23,39,165,17,74,19,222,36,97
20221101,서울특별시,11,노원구,11350,인천광역시,28,30,159,42,71,328,36,186,84,491,78,322
20221101,서울특별시,11,노원구,11350,대구광역시,27,25,109,42,58,219,20,130,51,306,48,246
20221101,서울특별시,11,노원구,11350,부산광역시,26,52,149,51,66,356,35,215,68,494,72,234
20221101,서울특별시,11,노원구,11350,서울특별시,11,115,714,241,371,1205,134,883,202,1769,391,835
20221101,서울특별시,11,양천구,11470,서울특별시,11,47,508,259,552,743,193,436,64,1176,999,228
20221101,서울특별시,11,양천구,11470,부산광역시,26,18,94,50,131,206,52,78,16,277,210,74
20221101,서울특별시,11,중구,11140,제주특별자치도,50,15,52,11,15,98,8,22,7,141,52,4
20221101,서울특별시,11,중구,11140,경상남도,48,64,295,59,69,481,64,199,47,935,327,35
20221101,서울특별시,11,중구,11140,경상북도,47,61,258,53,45,336,37,153,43,690,237,35
20221101,서울특별시,11,중구,11140,전라남도,46,41,163,30,44,241,35,93,14,496,152,15
20221101,서울특별시,11,중구,11140,전라북도,45,29,193,47,52,299,28,91,23,471,170,30
20221101,서울특별시,11,중구,11140,충청남도,44,44,230,77,55,357,52,116,43,610,201,20
20221101,서울특별시,11,중구,11140,충청북도,43,25,166,52,39,298,26,105,17,524,148,29
20221101,서울특별시,11,중구,11140,강원도,42,50,174,43,43,290,29,129,17,465,183,19
20221101,서울특별시,11,종로구,11110,서울특별시,11,179,1032,466,398,748,144,925,114,3308,944,290
20221101,서울특별시,11,종로구,11110,부산광역시,26,31,218,66,97,187,33,204,43,1032,260,62
20221101,서울특별시,11,종로구,11110,대구광역시,27,24,170,43,63,123,16,120,28,730,159,58
20221101,서울특별시,11,종로구,11110,인천광역시,28,42,259,75,104,203,24,308,44,997,248,93
20221101,서울특별시,11,종로구,11110,광주광역시,29,23,82,28,34,80,6,64,24,551,136,34
20221101,서울특별시,11,종로구,11110,대전광역시,30,20,114,32,46,94,7,75,16,516,148,33
20221101,서울특별시,11,종로구,11110,울산광역시,31,14,75,17,25,75,9,47,14,334,85,25
20221101,서울특별시,11,서대문구,11410,충청북도,43,20,95,30,83,171,60,51,120,213,189,77
20221101,서울특별시,11,서대문구,11410,강원도,42,28,87,26,64,157,73,55,106,189,176,128
20221101,서울특별시,11,서대문구,11410,경기도,41,164,1009,309,718,1493,368,519,1390,1969,1417,521
20221101,서울특별시,11,서대문구,11410,세종특별자치시,36,5,22,9,26,30,8,14,52,48,32,12
20221101,서울특별시,11,서대문구,11410,울산광역시,31,14,62,25,47,103,57,36,110,119,129,27
20221101,서울특별시,11,서대문구,11410,대전광역시,30,20,71,33,78,146,39,55,147,171,127,41
20221101,서울특별시,11,서대문구,11410,광주광역시,29,20,75,38,59,130,48,42,131,151,135,40
20221101,서울특별시,11,서대문구,11410,인천광역시,28,36,203,70,152,303,89,106,256,317,293,105
20221101,서울특별시,11,서대문구,11410,대구광역시,27,17,124,53,104,199,72,56,221,276,221,102
20221101,서울특별시,11,서대문구,11410,부산광역시,26,24,185,59,158,296,87,100,306,350,331,100
20221101,서울특별시,11,서대문구,11410,서울특별시,11,123,767,293,576,1149,207,514,697,1376,921,329
20221101,서울특별시,11,강북구,11305,부산광역시,26,13,117,21,39,47,0,29,30,412,124,24
20221101,서울특별시,11,강북구,11305,서울특별시,11,35,449,156,142,208,29,180,60,1351,436,107
20221101,서울특별시,11,영등포구,11560,대전광역시,30,17,268,46,101,134,16,94,32,142,51,92
20221101,서울특별시,11,영등포구,11560,울산광역시,31,10,201,21,71,80,6,61,37,77,21,66
20221101,서울특별시,11,영등포구,11560,세종특별자치시,36,3,57,11,25,38,0,28,16,28,15,23
20221101,서울특별시,11,영등포구,11560,경기도,41,250,2882,471,1240,1585,156,1297,632,2019,742,1301
20221101,서울특별시,11,영등포구,11560,강원도,42,19,263,37,116,141,13,133,29,147,48,105
20221101,서울특별시,11,영등포구,11560,충청북도,43,28,273,45,134,127,22,134,48,184,45,107
20221101,서울특별시,11,중구,11140,경기도,41,361,1753,398,419,2421,312,1395,191,4932,1671,272
20221101,서울특별시,11,중구,11140,세종특별자치시,36,13,41,12,9,79,10,26,11,138,64,6
20221101,서울특별시,11,중구,11140,울산광역시,31,27,113,19,22,118,18,65,16,345,112,16
20221101,서울특별시,11,중구,11140,대전광역시,30,17,157,46,59,254,20,108,29,474,202,22
20221101,서울특별시,11,중구,11140,광주광역시,29,27,180,32,39,244,15,90,25,569,193,12
20221101,서울특별시,11,중구,11140,인천광역시,28,82,330,62,69,467,43,266,45,978,365,59
20221101,서울특별시,11,중구,11140,대구광역시,27,63,275,51,69,392,39,105,30,819,303,38
20221101,서울특별시,11,중구,11140,부산광역시,26,62,354,62,93,535,62,145,43,1135,394,52
20221101,서울특별시,11,중구,11140,서울특별시,11,282,1677,381,344,1958,160,1141,108,4298,1477,247
20221101,서울특별시,11,양천구,11470,대구광역시,27,11,71,32,79,125,34,69,13,189,132,39
20221101,서울특별시,11,양천구,11470,인천광역시,28,15,127,37,141,228,39,102,23,305,378,72
20221101,서울특별시,11,양천구,11470,광주광역시,29,8,41,21,58,99,24,28,11,134,66,32
20221101,서울특별시,11,양천구,11470,대전광역시,30,23,52,19,65,107,11,43,10,113,107,25
20221101,서울특별시,11,양천구,11470,울산광역시,31,3,20,15,33,66,12,33,6,84,75,20
20221101,서울특별시,11,양천구,11470,세종특별자치시,36,0,17,3,13,35,4,12,3,35,16,7
20221101,서울특별시,11,양천구,11470,경기도,41,85,636,260,712,1057,203,490,92,1733,1042,288
20221101,서울특별시,11,양천구,11470,강원도,42,10,46,35,57,94,15,61,13,136,191,32
20221101,서울특별시,11,양천구,11470,충청북도,43,0,53,19,52,120,33,70,9,182,82,40
20221101,서울특별시,11,양천구,11470,충청남도,44,14,68,44,86,143,28,56,14,194,69,43
20221101,서울특별시,11,양천구,11470,전라북도,45,12,51,25,47,117,16,34,7,137,63,34
