"year","date","industry","region_kr","region_en","avg_index","index_share_pct"
"2018","2018-01-01","총지수","전국","Nationwide",96.91,100
"2018","2018-01-01","총지수","기타","Others",97.6,16.83
"2018","2018-01-01","총지수","대전","Daejeon",93.89,16.19
"2018","2018-01-01","총지수","수도권","Capital Area",104.74,18.06
"2018","2018-01-01","총지수","영남권","Yeongnam",100.07,17.25
"2018","2018-01-01","총지수","충청권","Chungcheong",89.63,15.45
"2018","2018-01-01","총지수","호남권","Honam",94.08,16.22
"2018","2018-02-01","총지수","전국","Nationwide",98.02,100.01
"2018","2018-02-01","총지수","기타","Others",97.37,16.6
"2018","2018-02-01","총지수","대전","Daejeon",94.54,16.12
"2018","2018-02-01","총지수","수도권","Capital Area",105.47,17.98
"2018","2018-02-01","총지수","영남권","Yeongnam",102.78,17.52
"2018","2018-02-01","총지수","충청권","Chungcheong",91.02,15.52
"2018","2018-02-01","총지수","호남권","Honam",95.44,16.27
"2018","2018-03-01","총지수","전국","Nationwide",95.86,100
"2018","2018-03-01","총지수","기타","Others",96.61,16.82
"2018","2018-03-01","총지수","대전","Daejeon",90.79,15.81
"2018","2018-03-01","총지수","수도권","Capital Area",101.21,17.62
"2018","2018-03-01","총지수","영남권","Yeongnam",99.21,17.28
"2018","2018-03-01","총지수","충청권","Chungcheong",92.02,16.02
"2018","2018-03-01","총지수","호남권","Honam",94.45,16.45
"2018","2018-04-01","총지수","전국","Nationwide",96.26,100.01
"2018","2018-04-01","총지수","기타","Others",96.82,16.8
"2018","2018-04-01","총지수","대전","Daejeon",88.52,15.36
"2018","2018-04-01","총지수","수도권","Capital Area",101.07,17.54
"2018","2018-04-01","총지수","영남권","Yeongnam",100.5,17.44
"2018","2018-04-01","총지수","충청권","Chungcheong",92.54,16.06
"2018","2018-04-01","총지수","호남권","Honam",96.89,16.81
"2018","2018-05-01","총지수","전국","Nationwide",98.02,100
"2018","2018-05-01","총지수","기타","Others",97.37,16.6
"2018","2018-05-01","총지수","대전","Daejeon",89.89,15.32
"2018","2018-05-01","총지수","수도권","Capital Area",101.58,17.32
"2018","2018-05-01","총지수","영남권","Yeongnam",105.14,17.92
"2018","2018-05-01","총지수","충청권","Chungcheong",94.18,16.05
"2018","2018-05-01","총지수","호남권","Honam",98.47,16.79
"2018","2018-06-01","총지수","전국","Nationwide",96.17,100
"2018","2018-06-01","총지수","기타","Others",97.69,17
"2018","2018-06-01","총지수","대전","Daejeon",83.68,14.56
"2018","2018-06-01","총지수","수도권","Capital Area",100.27,17.45
"2018","2018-06-01","총지수","영남권","Yeongnam",102.67,17.86
"2018","2018-06-01","총지수","충청권","Chungcheong",93.81,16.32
"2018","2018-06-01","총지수","호남권","Honam",96.59,16.81
"2018","2018-07-01","총지수","전국","Nationwide",96.63,100
"2018","2018-07-01","총지수","기타","Others",99.22,17.17
"2018","2018-07-01","총지수","대전","Daejeon",86.14,14.91
"2018","2018-07-01","총지수","수도권","Capital Area",102.57,17.75
"2018","2018-07-01","총지수","영남권","Yeongnam",101.39,17.55
"2018","2018-07-01","총지수","충청권","Chungcheong",92.51,16.01
"2018","2018-07-01","총지수","호남권","Honam",95.99,16.61
