"시도별","산업별","항목","단위","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월","2023.06 월","2023.07 월","2023.08 월","2023.09 월","2023.10 월","2023.11 월","2023.12 월","2024.01 월","2024.02 월","2024.03 월","2024.04 월","2024.05 월","2024.06 월","2024.07 월","2024.08 월","2024.09 월","2024.10 월","2024.11 월","2024.12 월","2025.01 월","2025.02 월","2025.03 월","2025.04 월","2025.05 월","2025.06 월","2025.07 월","2025.08 월","2025.09 월","2025.10 월","2025.11 월","2025.12 월","2026.01 월","2026.02 월","2026.03 월","2026.04 월","2026.05 월","2026.06 월",
"전국","총지수","생산지수(원지수)","","99.812","87.782","101.88","100","100.94","101.222","101.88","99.154","96.147","105.733","103.102","101.598","99.342","84.305","99.812","100.752","102.068","99.342","103.947","97.086","98.214","105.357","104.793","108.177","94.9","92.5","105.8","95.4","91.5","98.8","100.6","94.3","106.2","102.4","105.8","111.9","104.5","96","112.2","106.7","104.5","110.6","110.5","105.1","106.3","109.1","113.7","122.5","110.7","102.9","118.2","112.4","113.8","113.7","111.1","104.5","104.7","105.8","107.6","109.6","96.9","96.3","111.4","103.1","107.6","108.8","103.6","105.8","109.4","108.1","114.3","116.4","108.9","99.5","111.8","110.6","112.7","112.1","108.7","110.2","107.8","115.3","114.2","122","104.9","106.4","118.1","116.1","113.5","116.3","116.2","112.6","123.3","106.5","114.2","124","112","103.9","122.6","117.6","112.3","123",
"전국","총지수","생산자제품 출하지수(원지수)","","102.193","90.828","105.583","101.595","104.586","103.988","102.193","101.595","100.1","108.774","105.783","103.789","102.293","88.833","104.985","102.193","103.589","101.496","103.689","100.299","100.499","106.381","104.487","108.873","95.1","93.4","108.3","94.7","90.4","99.6","99.4","93.1","107.2","102.8","105.6","110.5","103.4","94.7","111.8","105.3","102.7","108.1","105.1","98.4","101.9","103.4","109.1","115.6","105.3","98.1","112.4","105.5","108.4","105","104.2","101.5","104.5","104.8","104","109.8","96.8","97.9","112.1","99.7","105.3","110","99.4","100.3","107.7","103","109.1","114.4","105","96","108.5","104.2","106.1","106","101","103.3","104.4","105.9","105.7","116.7","96.6","101.5","111.2","107.1","106.5","108.6","106.2","103.7","114.1","97.9","106.6","115.5","104.7","97","114.6","105.7","102.2","113",
"전국","총지수","생산자제품 재고지수(원지수)","","94.635","94.459","94.899","95.866","95.075","95.339","96.746","96.922","93.843","95.866","98.417","98.593","98.241","98.505","95.954","99.296","100.264","97.801","103.342","101.055","99.56","99.912","100","96.042","102.3","101.9","99.2","101.6","102.8","100.4","103.3","103.9","97.7","96.8","95.5","94.5","97.4","98.6","95.8","96.4","96.4","93.7","99.1","103.7","101.7","104.4","105.1","106.2","106.6","107.7","104.2","106","106","109.9","115.3","113.7","109.1","110.1","114.4","111.7","118.7","118.2","114.7","122.6","123.3","113.4","119.6","123.6","115.7","116.7","116","108.7","111.1","111.3","107.9","110.1","111.3","106.8","112","114.5","107.7","112","112.3","105.5","109.4","107.1","102.6","104.9","104.4","100.6","103.6","105","102.2","103.4","103.1","101.4","104.9","108.9","101.2","104.6","106.3","104.1",
"전국","총지수","생산지수(계절조정)","","99.148","99.256","97.998","100.922","101.487","100.86","101.416","101.931","99.899","101.89","99.861","97.716","98.881","95.072","97.401","100.158","99.368","98.914","101.819","99.691","102.118","101.699","101.67","103.943","100.4","96.8","101.3","98","90.8","96.8","98.7","99.8","104.1","103.7","104.4","105.3","105.8","108.5","107.2","106.2","105.4","106.3","108.8","109","108.5","109.2","110.7","114.9","115.6","114","114.6","112.6","111.2","112.5","111.5","107.1","107","104.1","104.5","100.6","103","102.1","106","104.3","108.6","105.9","104.1","108.4","110.9","109.1","111.2","109.9","108.9","111.4","108","111.3","111.9","110.7","107.6","113.3","112.6","113.9","110.9","115.1","113.1","113.4","115.9","115.8","113.3","116.4","115.5","117.4","117.8","111.4","112.6","114.7","111.9","117.7","118.4","117.4","114","121.3",
"전국","총지수","생산자제품 출하지수(계절조정)","","100.551","99.682","98.139","100.744","102.674","101.998","101.13","103.542","101.709","104.025","101.516","98.332","101.226","97.753","99.779","100.358","99.296","100.261","101.516","102.674","102.674","102.384","101.13","103.928","101","96.8","102.6","97.3","90","97.6","99.3","99.4","104.1","104.7","103.6","103.7","105","106.4","105.7","105","103.8","104.1","105.5","103.4","103.1","104","105.8","108.2","109.5","107","107.8","105.6","106.3","104.1","105.8","105.2","105.8","104","101.2","100.9","102.2","102.2","106","101.1","106.4","107.6","100.9","103.7","107.7","104.9","106.5","108.2","104.3","105.6","104","105.4","105.5","105.6","101.2","107","107.8","105.6","103.1","110.3","104.5","106.4","108","107.2","106.2","109.2","107.2","109.3","107.3","103.7","105.5","107.9","105.2","108.8","109.9","106.4","103.8","112.5",
"전국","총지수","생산자제품 재고지수(계절조정)","","93.374","93.669","95.75","96.104","94.796","96.757","95.121","95.385","95.073","96.138","98.572","100.019","97.008","97.78","97.005","99.43","99.862","99.287","101.487","99.288","100.791","100.137","100.128","97.51","101","101.6","100.4","101.7","102.6","101.9","101.4","102.1","99","97","95.6","95.8","96.5","97.7","97.1","96.5","96.3","95","97.3","101.7","102.9","104.8","105.2","107.8","105.3","106.9","105.9","106.2","105.7","112","113.1","111.2","110.6","110.4","114.3","113.1","116.8","117.2","116.9","123.3","123.2","116.3","117.1","120.6","118","116.9","116","110.5","110.6","110.5","109.6","110.1","110.9","108.5","110.1","112","108.4","112.1","112.5","107.5","108.3","106.5","104.3","104.9","104","102.3","102","102.7","103.1","103.2","103.4","103.5","104.4","107.7","103","104.6","106.2","106.3",
"전국","광업 및 제조업","생산지수(원지수)","","97.93","86.171","101.599","100.47","101.693","101.881","101.787","98.871","96.802","106.491","103.198","100.376","98.024","83.067","99.436","100.847","102.54","99.812","104.233","96.896","98.683","106.115","104.986","107.714","93.4","91.4","105.8","95.6","91.7","99.4","101","93.8","107.2","103.1","106.2","111.3","102.9","95.3","112.5","107.4","105.2","111.6","110.7","105.2","107.2","109.9","114.3","122.4","109.7","102.2","118.5","113.1","114.7","114.6","111.3","104.6","105.3","106.3","107.9","108.7","95.1","95.5","111.7","103.6","108.4","109.7","103.8","106","110.3","109","114.8","116","108.1","99.1","111.9","111.4","113.6","112.9","108.9","110.1","108.3","116.4","115","122.1","103.5","105.6","118.5","117.4","114.7","117.6","116.4","112.6","124.7","107.4","115.1","124.2","110.6","103.5","123.5","119","113.4","124.7",
"전국","광업 및 제조업","생산자제품 출하지수(원지수)","","100.1","89.089","105.205","101.802","105.305","104.805","102.302","101.702","101.001","109.51","105.806","102.302","100.2","87.087","104.605","102.302","104.304","102.402","104.304","100.701","101.401","107.307","104.705","108.108","93.3","92","108.3","94.7","90.7","100.5","100.1","93.1","108.5","103.6","105.8","109.4","101.2","93.5","111.8","105.8","103.4","109.1","105.4","98.6","102.8","104","109.3","114.7","103.4","96.5","112","105.9","109.2","105.7","104.4","101.8","105.5","105.6","104.1","108.3","93.9","96.4","112.3","100.2","106.4","111.5","99.8","100.7","109.1","104.1","109.4","113.1","102.7","94.6","108","104.9","107.1","107.1","101.2","103.4","105.3","107.1","106.2","115.9","94.5","100","111","107.8","107.4","109.7","106.4","103.9","115.3","98.5","107","114.9","102.6","95.8","114.7","106.3","102.8","114.3",
"전국","광업 및 제조업","생산자제품 재고지수(원지수)","","94.635","94.459","94.899","95.866","95.075","95.339","96.746","96.922","93.843","95.866","98.417","98.593","98.241","98.505","95.954","99.296","100.264","97.801","103.342","101.055","99.56","99.912","100","96.042","102.3","101.9","99.2","101.6","102.8","100.4","103.3","103.9","97.7","96.8","95.5","94.5","97.4","98.6","95.8","96.4","96.4","93.7","99.1","103.7","101.7","104.4","105.1","106.2","106.6","107.7","104.2","106","106","109.9","115.3","113.7","109.1","110.1","114.4","111.7","118.7","118.2","114.7","122.6","123.3","113.4","119.6","123.6","115.7","116.7","116","108.7","111.1","111.3","107.9","110.1","111.3","106.8","112","114.5","107.7","112","112.3","105.5","109.4","107.1","102.6","104.9","104.4","100.6","103.6","105","102.2","103.4","103.1","101.4","104.9","108.9","101.2","104.6","106.3","104.1",
"전국","광업 및 제조업","생산지수(계절조정)","","98.715","98.757","97.886","100.988","101.624","100.803","101.175","101.74","100.056","101.793","99.661","97.284","98.985","94.974","97.238","99.75","99.053","98.682","101.899","99.618","102.057","101.636","101.547","104.291","100.5","96.7","101.4","97.8","90.4","96.6","98.9","99.6","104.4","103.8","104.6","105.4","105.9","109","107.5","106.4","105.4","106.4","108.9","109.3","108.7","109.4","110.9","115.4","115.9","114.2","115","112.9","111.5","112.7","111.6","107.3","107.2","104.2","104.6","100.1","102.6","102","106.2","104.4","108.9","106.1","104.3","108.8","111.3","109.5","111.4","110","109.1","111.9","108.1","111.7","112.3","110.9","107.7","113.4","112.7","114.4","111.4","115.7","113.7","113.8","116.5","116.4","113.6","117","115.8","117.8","118.3","111.8","113.1","115.4","112.1","118.8","119.3","118.2","114.4","122.1",
