"YEAR","COMPANY_NAME","REGISTRATION_COUNT"
"2019","롯데글로벌로지스","15"
"2019","CJ대한통운","10"
"2019","비지에프로지스","6"
"2019","세방","5"
"2019","농협물류","4"
"2020","지에스네트웍스","29"
"2020","CJ대한통운","19"
"2020","롯데글로벌로지스","11"
"2020","멕시카나","5"
"2020","비지에프로지스","5"
"2021","CJ대한통운","22"
"2021","오뚜기물류서비스","11"
"2021","쿠팡로지스틱스","6"
"2021","라인물류시스템","5"
"2021","LX판토스","5"
"2022","쿠팡로지스틱스","44"
"2022","CJ대한통운","26"
"2022","한익스프레스","7"
"2022","쿠팡풀필먼트","7"
"2022","롯데글로벌로지스","6"
"2023","CJ대한통운","42"
"2023","쿠팡로지스틱스","39"
"2023","쿠팡풀필먼트","26"
"2023","롯데글로벌로지스","13"
"2023","한진","7"
"2024","쿠팡로지스틱스","50"
"2024","CJ대한통운","35"
"2024","쿠팡풀필먼트","19"
"2024","동원로엑스","8"
"2024","농업회사법인","6"
"2025","쿠팡로지스틱스","42"
"2025","CJ대한통운","29"
"2025","쿠팡풀필먼트","21"
"2025","롯데글로벌로지스","13"
"2025","동원로엑스","7"
