"year","base_city","base_region_kr","base_region_en","target_city","target_region_kr","target_region_en","direction","cargo_volume","ratio"
"2019","세종","충청권(대전제외)","Chungcheong(excl. DJ)","강원","기타","Others","도착","463985","0.17"
"2019","충북","충청권(대전제외)","Chungcheong(excl. DJ)","강원","기타","Others","도착","5259809","1.88"
"2019","충남","충청권(대전제외)","Chungcheong(excl. DJ)","강원","기타","Others","도착","4809139","1.72"
"2019","충남","충청권(대전제외)","Chungcheong(excl. DJ)","강원","기타","Others","출발","2325474","0.96"
"2019","충북","충청권(대전제외)","Chungcheong(excl. DJ)","강원","기타","Others","출발","4329075","1.80"
"2019","세종","충청권(대전제외)","Chungcheong(excl. DJ)","강원","기타","Others","출발","555895","0.23"
"2019","세종","충청권(대전제외)","Chungcheong(excl. DJ)","경기","수도권","Capital Area","도착","1309630","0.47"
"2019","충북","충청권(대전제외)","Chungcheong(excl. DJ)","경기","수도권","Capital Area","도착","12765606","4.55"
"2019","충남","충청권(대전제외)","Chungcheong(excl. DJ)","경기","수도권","Capital Area","도착","38981676","13.91"
"2019","충남","충청권(대전제외)","Chungcheong(excl. DJ)","경기","수도권","Capital Area","출발","24584563","10.20"
"2019","충북","충청권(대전제외)","Chungcheong(excl. DJ)","경기","수도권","Capital Area","출발","13222806","5.48"
"2019","세종","충청권(대전제외)","Chungcheong(excl. DJ)","경기","수도권","Capital Area","출발","3200579","1.33"
"2019","세종","충청권(대전제외)","Chungcheong(excl. DJ)","경남","영남권","Yeongnam","도착","427349","0.15"
"2019","충북","충청권(대전제외)","Chungcheong(excl. DJ)","경남","영남권","Yeongnam","도착","3584586","1.28"
"2019","충남","충청권(대전제외)","Chungcheong(excl. DJ)","경남","영남권","Yeongnam","도착","4666749","1.67"
"2019","충북","충청권(대전제외)","Chungcheong(excl. DJ)","경남","영남권","Yeongnam","출발","2472561","1.03"
"2019","세종","충청권(대전제외)","Chungcheong(excl. DJ)","경남","영남권","Yeongnam","출발","471805","0.20"
"2019","충남","충청권(대전제외)","Chungcheong(excl. DJ)","경남","영남권","Yeongnam","출발","2798203","1.16"
"2019","세종","충청권(대전제외)","Chungcheong(excl. DJ)","경북","영남권","Yeongnam","도착","490148","0.17"
"2019","충북","충청권(대전제외)","Chungcheong(excl. DJ)","경북","영남권","Yeongnam","도착","5435226","1.94"
"2019","충남","충청권(대전제외)","Chungcheong(excl. DJ)","경북","영남권","Yeongnam","도착","5444021","1.94"
"2019","충북","충청권(대전제외)","Chungcheong(excl. DJ)","경북","영남권","Yeongnam","출발","5695639","2.36"
"2019","세종","충청권(대전제외)","Chungcheong(excl. DJ)","경북","영남권","Yeongnam","출발","1301929","0.54"
"2019","충남","충청권(대전제외)","Chungcheong(excl. DJ)","경북","영남권","Yeongnam","출발","5007881","2.08"
"2019","세종","충청권(대전제외)","Chungcheong(excl. DJ)","광주","호남권","Honam","도착","51560","0.02"
"2019","충북","충청권(대전제외)","Chungcheong(excl. DJ)","광주","호남권","Honam","도착","470535","0.17"
"2019","충남","충청권(대전제외)","Chungcheong(excl. DJ)","광주","호남권","Honam","도착","1075334","0.38"
"2019","세종","충청권(대전제외)","Chungcheong(excl. DJ)","광주","호남권","Honam","출발","115502","0.05"
"2019","충북","충청권(대전제외)","Chungcheong(excl. DJ)","광주","호남권","Honam","출발","463549","0.19"
"2019","충남","충청권(대전제외)","Chungcheong(excl. DJ)","광주","호남권","Honam","출발","831753","0.35"
"2019","세종","충청권(대전제외)","Chungcheong(excl. DJ)","대구","영남권","Yeongnam","도착","130409","0.05"
"2019","충북","충청권(대전제외)","Chungcheong(excl. DJ)","대구","영남권","Yeongnam","도착","1222594","0.44"
"2019","충남","충청권(대전제외)","Chungcheong(excl. DJ)","대구","영남권","Yeongnam","도착","1712771","0.61"
"2019","세종","충청권(대전제외)","Chungcheong(excl. DJ)","대구","영남권","Yeongnam","출발","135665","0.06"
"2019","충북","충청권(대전제외)","Chungcheong(excl. DJ)","대구","영남권","Yeongnam","출발","830068","0.34"
"2019","충남","충청권(대전제외)","Chungcheong(excl. DJ)","대구","영남권","Yeongnam","출발","831398","0.34"
"2019","세종","충청권(대전제외)","Chungcheong(excl. DJ)","대전","대전시","Daejeon","도착","111453","0.04"
"2019","충북","충청권(대전제외)","Chungcheong(excl. DJ)","대전","대전시","Daejeon","도착","724716","0.26"
"2019","충남","충청권(대전제외)","Chungcheong(excl. DJ)","대전","대전시","Daejeon","도착","934311","0.33"
"2019","세종","충청권(대전제외)","Chungcheong(excl. DJ)","대전","대전시","Daejeon","출발","649624","0.27"
