"direction","target_city","region","city_en","region_en","total_2021","total_2022","total_2023","gap_22_21_vol","gap_23_22_vol"
"도착","기타 (10개 지자체)","기타","Others (10 Local Govs)","Others","76609017","64861887","66032838","-11747130","1170951"
"도착","수도권","수도권","수도권","Capital Area","79030755","90570089","81538687","11539334","-9031402"
"도착","충남","충청권(대전제외)","충남","Chungcheong(excl. DJ)","84614828","76482425","86764854","-8132403","10282429"
"도착","전남","호남권","전남","Honam","15279303","9026993","8454290","-6252310","-572703"
"도착","강원","기타","강원","Others","9772141","15151358","14252327","5379217","-899031"
"도착","세종","충청권(대전제외)","세종","Chungcheong(excl. DJ)","9471654","4868393","4992713","-4603261","124320"
"출발","울산","영남권","울산","Yeongnam","5940116","12497546","12623011","6557430","125465"
"출발","충남","충청권(대전제외)","충남","Chungcheong(excl. DJ)","87443786","82156885","92647950","-5286901","10491065"
"출발","충북","충청권(대전제외)","충북","Chungcheong(excl. DJ)","29590087","24504034","27128760","-5086053","2624726"
"출발","수도권","수도권","수도권","Capital Area","48114190","53135592","56550139","5021402","3414547"
"출발","전남","호남권","전남","Honam","8025530","12184418","12926622","4158888","742204"
"출발","기타 (10개 지자체)","기타","Others (10 Local Govs)","Others","60395889","64388562","71455782","3992673","7067220"
