"period_type","direction","target_city","region","city_en","region_en","vol_start","vol_end","gap_vol"
"2021-2022","도착","기타 (10개 지자체)","기타","Others (10 Local Govs)","Others","76609017","64861887","-11747130"
"2021-2022","도착","수도권","수도권","수도권","Capital Area","79030755","90570089","11539334"
"2021-2022","도착","충남","충청권(대전제외)","충남","Chungcheong(excl. DJ)","84614828","76482425","-8132403"
"2021-2022","도착","전남","호남권","전남","Honam","15279303","9026993","-6252310"
"2021-2022","도착","강원","기타","강원","Others","9772141","15151358","5379217"
"2021-2022","도착","세종","충청권(대전제외)","세종","Chungcheong(excl. DJ)","9471654","4868393","-4603261"
"2021-2022","출발","울산","영남권","울산","Yeongnam","5940116","12497546","6557430"
"2021-2022","출발","충남","충청권(대전제외)","충남","Chungcheong(excl. DJ)","87443786","82156885","-5286901"
"2021-2022","출발","충북","충청권(대전제외)","충북","Chungcheong(excl. DJ)","29590087","24504034","-5086053"
"2021-2022","출발","수도권","수도권","수도권","Capital Area","48114190","53135592","5021402"
"2021-2022","출발","전남","호남권","전남","Honam","8025530","12184418","4158888"
"2021-2022","출발","기타 (10개 지자체)","기타","Others (10 Local Govs)","Others","60395889","64388562","3992673"
"2022-2023","도착","충남","충청권(대전제외)","충남","Chungcheong(excl. DJ)","76482425","86764854","10282429"
"2022-2023","도착","수도권","수도권","수도권","Capital Area","90570089","81538687","-9031402"
"2022-2023","도착","충북","충청권(대전제외)","충북","Chungcheong(excl. DJ)","29310438","32452757","3142319"
"2022-2023","도착","기타 (10개 지자체)","기타","Others (10 Local Govs)","Others","38338312","36868650","-1469662"
"2022-2023","도착","전북","호남권","전북","Honam","11108523","10158434","-950089"
"2022-2023","도착","강원","기타","강원","Others","15151358","14252327","-899031"
"2022-2023","출발","충남","충청권(대전제외)","충남","Chungcheong(excl. DJ)","82156885","92647950","10491065"
"2022-2023","출발","기타 (10개 지자체)","기타","Others (10 Local Govs)","Others","67941334","71776947","3835613"
"2022-2023","출발","수도권","수도권","수도권","Capital Area","53135592","56550139","3414547"
"2022-2023","출발","대전","대전시","대전","Daejeon","4987386","7679776","2692390"
"2022-2023","출발","충북","충청권(대전제외)","충북","Chungcheong(excl. DJ)","24504034","27128760","2624726"
"2022-2023","출발","경북","영남권","경북","Yeongnam","16141806","17548692","1406886"
