"year","base_region_kr","base_region_en","target_region_kr","target_region_en","flow_type","cargo_volume","ratio"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","영남권","Yeongnam","도착","35896435","12.81"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","수도권","Capital Area","도착","70184165","25.04"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","충청권(대전제외)","Chungcheong(excl. DJ)","도착","128642496","45.90"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","기타","Others","도착","10532933","3.76"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","대전시","Daejeon","도착","1770480","0.63"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","호남권","Honam","도착","33238823","11.86"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","수도권","Capital Area","출발","52013098","21.58"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","영남권","Yeongnam","출발","33588169","13.93"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","호남권","Honam","출발","15063309","6.25"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","충청권(대전제외)","Chungcheong(excl. DJ)","출발","128642496","53.36"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","대전시","Daejeon","출발","4555267","1.89"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","기타","Others","출발","7210444","2.99"
"2020","충청권(대전제외)","Chungcheong(excl. DJ)","영남권","Yeongnam","도착","31080333","11.43"
"2020","충청권(대전제외)","Chungcheong(excl. DJ)","충청권(대전제외)","Chungcheong(excl. DJ)","도착","124533792","45.80"
"2020","충청권(대전제외)","Chungcheong(excl. DJ)","기타","Others","도착","11191961","4.12"
"2020","충청권(대전제외)","Chungcheong(excl. DJ)","대전시","Daejeon","도착","1836234","0.68"
"2020","충청권(대전제외)","Chungcheong(excl. DJ)","호남권","Honam","도착","31706275","11.66"
"2020","충청권(대전제외)","Chungcheong(excl. DJ)","수도권","Capital Area","도착","71538051","26.31"
"2020","충청권(대전제외)","Chungcheong(excl. DJ)","수도권","Capital Area","출발","51712753","21.53"
"2020","충청권(대전제외)","Chungcheong(excl. DJ)","호남권","Honam","출발","16106371","6.71"
"2020","충청권(대전제외)","Chungcheong(excl. DJ)","충청권(대전제외)","Chungcheong(excl. DJ)","출발","124533792","51.85"
"2020","충청권(대전제외)","Chungcheong(excl. DJ)","대전시","Daejeon","출발","4720071","1.97"
"2020","충청권(대전제외)","Chungcheong(excl. DJ)","기타","Others","출발","7348345","3.06"
"2020","충청권(대전제외)","Chungcheong(excl. DJ)","영남권","Yeongnam","출발","35773083","14.89"
"2021","충청권(대전제외)","Chungcheong(excl. DJ)","수도권","Capital Area","도착","79030755","28.76"
"2021","충청권(대전제외)","Chungcheong(excl. DJ)","호남권","Honam","도착","31717374","11.54"
"2021","충청권(대전제외)","Chungcheong(excl. DJ)","영남권","Yeongnam","도착","30110360","10.96"
"2021","충청권(대전제외)","Chungcheong(excl. DJ)","충청권(대전제외)","Chungcheong(excl. DJ)","도착","122444980","44.56"
"2021","충청권(대전제외)","Chungcheong(excl. DJ)","기타","Others","도착","9772141","3.56"
"2021","충청권(대전제외)","Chungcheong(excl. DJ)","대전시","Daejeon","도착","1702088","0.62"
"2021","충청권(대전제외)","Chungcheong(excl. DJ)","영남권","Yeongnam","출발","38787295","16.19"
"2021","충청권(대전제외)","Chungcheong(excl. DJ)","호남권","Honam","출발","17551243","7.33"
"2021","충청권(대전제외)","Chungcheong(excl. DJ)","충청권(대전제외)","Chungcheong(excl. DJ)","출발","122444980","51.12"
