"flow_type","city","region","city_en","region_en","total_2022","total_2023","gap_vol"
"도착","수도권","수도권","수도권","Capital Area","418744018","386210199","-32533819"
"도착","강원","기타","강원","Others","22456040","20426069","-2029971"
"도착","충북","충청권","충북","Chungcheong","22006136","23716081","1709945"
"도착","충남","충청권","충남","Chungcheong","29134850","30657697","1522847"
"도착","기타 (11개 지자체)","기타","Others (11 Local Govs)","Others","66918293","65885323","-1032970"
"출발","수도권","수도권","수도권","Capital Area","418744018","386210199","-32533819"
"출발","충남","충청권","충남","Chungcheong","59594482","54491842","-5102640"
"출발","충북","충청권","충북","Chungcheong","27601588","23873942","-3727646"
"출발","기타 (11개 지자체)","기타","Others (11 Local Govs)","Others","152284845","149638081","-2646764"
"출발","경북","영남권","경북","Yeongnam","31556920","30462853","-1094067"
