"year","flow_type","Capital_Area_vol","Yeongnam_vol","Chungcheong_vol","Honam_vol","Others_vol","Capital_Area_ratio","Yeongnam_ratio","Chungcheong_ratio","Honam_ratio","Others_ratio","total_cargo_volume"
"2019","출발","397356394","54179313","73913999","16678459","10537709","71.90","9.80","13.37","3.02","1.91","552665874"
"2019","도착","397356394","57659534","53310991","34863778","17686987","70.85","10.28","9.50","6.22","3.15","560877684"
"2020","출발","403094502","54888002","75562105","17447486","11144845","71.71","9.76","13.44","3.10","1.98","562136940"
"2020","도착","403094502","49313358","53068827","32171448","17653239","72.59","8.88","9.56","5.79","3.18","555301374"
"2021","출발","434759082","63159515","83596344","21074366","15011821","70.39","10.23","13.54","3.41","2.43","617601128"
"2021","도착","434759082","47394968","49414618","30521247","13564660","75.52","8.23","8.58","5.30","2.36","575654575"
"2022","출발","418744018","115059136","98994651","40785497","16198551","60.71","16.68","14.35","5.91","2.35","689781853"
"2022","도착","418744018","41821736","53803751","22433792","22456040","74.87","7.48","9.62","4.01","4.02","559259337"
"2023","출발","386210199","114338520","89645642","39113331","15369225","59.91","17.74","13.91","6.07","2.38","644676917"
"2023","도착","386210199","41581422","57146574","21531105","20426069","73.30","7.89","10.85","4.09","3.88","526895369"
