"year","base_city","base_region_en","base_region_kr","target_city","target_region_en","target_region_kr","cargo_volume","logistics_type"
"2019","서울","Capital Area","수도권","서울","Capital Area","수도권","32615377","권역 내"
"2019","서울","Capital Area","수도권","부산","Yeongnam","영남권","859478","권역 간"
"2019","서울","Capital Area","수도권","대구","Yeongnam","영남권","262600","권역 간"
"2019","서울","Capital Area","수도권","인천","Capital Area","수도권","1691278","권역 내"
"2019","서울","Capital Area","수도권","광주","Honam","호남권","196522","권역 간"
"2019","서울","Capital Area","수도권","세종","Chungcheong(excl. DJ)","충청권(대전제외)","127295","권역 간"
"2019","서울","Capital Area","수도권","대전","Daejeon","대전시","325791","권역 간"
"2019","서울","Capital Area","수도권","울산","Yeongnam","영남권","550779","권역 간"
"2019","서울","Capital Area","수도권","경기","Capital Area","수도권","17279539","권역 내"
"2019","서울","Capital Area","수도권","강원","Others","기타","919960","권역 간"
"2019","서울","Capital Area","수도권","충북","Chungcheong(excl. DJ)","충청권(대전제외)","1172843","권역 간"
"2019","서울","Capital Area","수도권","충남","Chungcheong(excl. DJ)","충청권(대전제외)","1798445","권역 간"
"2019","서울","Capital Area","수도권","전북","Honam","호남권","271482","권역 간"
"2019","서울","Capital Area","수도권","전남","Honam","호남권","623937","권역 간"
"2019","서울","Capital Area","수도권","경북","Yeongnam","영남권","1331778","권역 간"
"2019","서울","Capital Area","수도권","경남","Yeongnam","영남권","704418","권역 간"
"2019","서울","Capital Area","수도권","제주","Others","기타","0","권역 간"
"2019","부산","Yeongnam","영남권","서울","Capital Area","수도권","1819414","권역 간"
"2019","부산","Yeongnam","영남권","부산","Yeongnam","영남권","40877316","권역 내"
"2019","부산","Yeongnam","영남권","대구","Yeongnam","영남권","1761914","권역 내"
"2019","부산","Yeongnam","영남권","인천","Capital Area","수도권","3599080","권역 간"
"2019","부산","Yeongnam","영남권","광주","Honam","호남권","908596","권역 간"
"2019","부산","Yeongnam","영남권","세종","Chungcheong(excl. DJ)","충청권(대전제외)","598895","권역 간"
"2019","부산","Yeongnam","영남권","대전","Daejeon","대전시","701147","권역 간"
"2019","부산","Yeongnam","영남권","울산","Yeongnam","영남권","13026607","권역 내"
"2019","부산","Yeongnam","영남권","경기","Capital Area","수도권","18525683","권역 간"
"2019","부산","Yeongnam","영남권","강원","Others","기타","858301","권역 간"
"2019","부산","Yeongnam","영남권","충북","Chungcheong(excl. DJ)","충청권(대전제외)","4362464","권역 간"
"2019","부산","Yeongnam","영남권","충남","Chungcheong(excl. DJ)","충청권(대전제외)","4108942","권역 간"
"2019","부산","Yeongnam","영남권","전북","Honam","호남권","1502044","권역 간"
"2019","부산","Yeongnam","영남권","전남","Honam","호남권","2425508","권역 간"
"2019","부산","Yeongnam","영남권","경북","Yeongnam","영남권","11053198","권역 내"
"2019","부산","Yeongnam","영남권","경남","Yeongnam","영남권","21789224","권역 내"
"2019","부산","Yeongnam","영남권","제주","Others","기타","0","권역 간"
"2019","대구","Yeongnam","영남권","서울","Capital Area","수도권","783503","권역 간"
"2019","대구","Yeongnam","영남권","부산","Yeongnam","영남권","3435981","권역 내"
"2019","대구","Yeongnam","영남권","대구","Yeongnam","영남권","11252162","권역 내"
"2019","대구","Yeongnam","영남권","인천","Capital Area","수도권","444803","권역 간"
"2019","대구","Yeongnam","영남권","광주","Honam","호남권","324300","권역 간"
