"연도","base_city_kr","base_city_en","target_city_kr","target_city_en","구분","logistics_type","물동량"
"2019","수도권","Capital Area","수도권","Capital Area","출발","권역 내","397356394"
"2019","수도권","Capital Area","영남권","Yeongnam","출발","권역 간","54179313"
"2019","수도권","Capital Area","호남권","Honam","출발","권역 간","16678459"
"2019","수도권","Capital Area","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 간","70184165"
"2019","수도권","Capital Area","대전시","Daejeon","출발","권역 간","3729834"
"2019","수도권","Capital Area","기타","Others","출발","권역 간","10537709"
"2019","영남권","Yeongnam","수도권","Capital Area","출발","권역 간","57659534"
"2019","영남권","Yeongnam","영남권","Yeongnam","출발","권역 내","480370665"
"2019","영남권","Yeongnam","호남권","Honam","출발","권역 간","27733132"
"2019","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 간","35896435"
"2019","영남권","Yeongnam","대전시","Daejeon","출발","권역 간","3354507"
"2019","영남권","Yeongnam","기타","Others","출발","권역 간","8962829"
"2019","호남권","Honam","수도권","Capital Area","출발","권역 간","34863778"
"2019","호남권","Honam","영남권","Yeongnam","출발","권역 간","49214926"
"2019","호남권","Honam","호남권","Honam","출발","권역 내","208332405"
"2019","호남권","Honam","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 간","33238823"
"2019","호남권","Honam","대전시","Daejeon","출발","권역 간","3508645"
"2019","호남권","Honam","기타","Others","출발","권역 간","5644414"
"2019","대전시","Daejeon","수도권","Capital Area","출발","권역 간","1297893"
"2019","대전시","Daejeon","영남권","Yeongnam","출발","권역 간","2459276"
"2019","대전시","Daejeon","호남권","Honam","출발","권역 간","557779"
"2019","대전시","Daejeon","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 간","1770480"
"2019","대전시","Daejeon","대전시","Daejeon","출발","권역 내","3866207"
"2019","대전시","Daejeon","기타","Others","출발","권역 간","113745"
"2019","기타","Others","수도권","Capital Area","출발","권역 간","17686987"
"2019","기타","Others","영남권","Yeongnam","출발","권역 간","12469598"
"2019","기타","Others","호남권","Honam","출발","권역 간","3970533"
"2019","기타","Others","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 간","10532933"
"2019","기타","Others","대전시","Daejeon","출발","권역 간","625769"
"2019","기타","Others","기타","Others","출발","권역 내","49367497"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","수도권","Capital Area","출발","권역 간","52013098"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","영남권","Yeongnam","출발","권역 간","33588169"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","호남권","Honam","출발","권역 간","15063309"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 내","128642496"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","대전시","Daejeon","출발","권역 간","4555267"
"2019","충청권(대전제외)","Chungcheong(excl. DJ)","기타","Others","출발","권역 간","7210444"
"2020","수도권","Capital Area","수도권","Capital Area","출발","권역 내","403094502"
"2020","수도권","Capital Area","영남권","Yeongnam","출발","권역 간","54888002"
"2020","수도권","Capital Area","호남권","Honam","출발","권역 간","17447486"
"2020","수도권","Capital Area","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 간","71538051"
"2020","수도권","Capital Area","대전시","Daejeon","출발","권역 간","4024054"
"2020","수도권","Capital Area","기타","Others","출발","권역 간","11144845"
"2020","영남권","Yeongnam","수도권","Capital Area","출발","권역 간","49313358"
"2020","영남권","Yeongnam","영남권","Yeongnam","출발","권역 내","444325663"
"2020","영남권","Yeongnam","호남권","Honam","출발","권역 간","24659762"
"2020","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 간","31080333"
"2020","영남권","Yeongnam","대전시","Daejeon","출발","권역 간","3001530"
"2020","영남권","Yeongnam","기타","Others","출발","권역 간","6538440"
"2020","호남권","Honam","수도권","Capital Area","출발","권역 간","32171448"
"2020","호남권","Honam","영남권","Yeongnam","출발","권역 간","50779717"
"2020","호남권","Honam","호남권","Honam","출발","권역 내","199797111"
"2020","호남권","Honam","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 간","31706275"
"2020","호남권","Honam","대전시","Daejeon","출발","권역 간","3410604"
"2020","호남권","Honam","기타","Others","출발","권역 간","5095351"
"2020","대전시","Daejeon","수도권","Capital Area","출발","권역 간","1356074"
"2020","대전시","Daejeon","영남권","Yeongnam","출발","권역 간","2522222"
"2020","대전시","Daejeon","호남권","Honam","출발","권역 간","614223"
"2020","대전시","Daejeon","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 간","1836234"
"2020","대전시","Daejeon","대전시","Daejeon","출발","권역 내","4042179"
"2020","대전시","Daejeon","기타","Others","출발","권역 간","119361"
"2020","기타","Others","수도권","Capital Area","출발","권역 간","17653239"
"2020","기타","Others","영남권","Yeongnam","출발","권역 간","14531543"
"2020","기타","Others","호남권","Honam","출발","권역 간","4413898"
"2020","기타","Others","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 간","11191961"
