연도,품목,지역,구분,물동량_톤
2019,농산물,서울,반입,1629692
2019,농산물,서울,반출,2688
2019,농산물,서울,합계,1632380
2019,농산물,부산,반입,620292
2019,농산물,부산,반출,522633
2019,농산물,부산,합계,1142925
2019,농산물,대구,반입,478460
2019,농산물,대구,반출,115423
2019,농산물,대구,합계,593883
2019,농산물,인천,반입,752984
2019,농산물,인천,반출,2194667
2019,농산물,인천,합계,2947651
2019,농산물,광주,반입,374647
2019,농산물,광주,반출,94645
2019,농산물,광주,합계,469292
2019,농산물,세종,반입,179075
2019,농산물,세종,반출,78033
2019,농산물,세종,합계,257108
2019,농산물,대전,반입,378170
2019,농산물,대전,반출,27355
2019,농산물,대전,합계,405525
2019,농산물,울산,반입,292498
2019,농산물,울산,반출,204821
2019,농산물,울산,합계,497319
2019,농산물,경기,반입,4548750
2019,농산물,경기,반출,1159061
2019,농산물,경기,합계,5707811
2019,농산물,강원,반입,706727
2019,농산물,강원,반출,1279500
2019,농산물,강원,합계,1986227
2019,농산물,충북,반입,1618985
2019,농산물,충북,반출,934089
2019,농산물,충북,합계,2553074
2019,농산물,충남,반입,1936936
2019,농산물,충남,반출,2073507
2019,농산물,충남,합계,4010443
2019,농산물,전북,반입,1425286
2019,농산물,전북,반출,2014530
2019,농산물,전북,합계,3439816
2019,농산물,전남,반입,960257
2019,농산물,전남,반출,3396101
2019,농산물,전남,합계,4356358
2019,농산물,경북,반입,1083590
2019,농산물,경북,반출,2655213
2019,농산물,경북,합계,3738803
2019,농산물,경남,반입,1553063
2019,농산물,경남,반출,1787146
2019,농산물,경남,합계,3340209
2019,농산물,제주,반입,0
2019,농산물,제주,반출,0
2019,농산물,제주,합계,0
2019,임산물,서울,반입,417711
2019,임산물,서울,반출,2061
2019,임산물,서울,합계,419772
2019,임산물,부산,반입,194664
2019,임산물,부산,반출,3589
2019,임산물,부산,합계,198253
2019,임산물,대구,반입,115586
2019,임산물,대구,반출,5696
2019,임산물,대구,합계,121282
2019,임산물,인천,반입,400536
2019,임산물,인천,반출,5181
2019,임산물,인천,합계,405717
2019,임산물,광주,반입,76470
2019,임산물,광주,반출,1591
2019,임산물,광주,합계,78061
2019,임산물,세종,반입,59825
2019,임산물,세종,반출,11130
2019,임산물,세종,합계,70955
2019,임산물,대전,반입,77752
2019,임산물,대전,반출,2304
2019,임산물,대전,합계,80056
2019,임산물,울산,반입,100906
2019,임산물,울산,반출,11142
2019,임산물,울산,합계,112048
2019,임산물,경기,반입,715549
2019,임산물,경기,반출,278330
2019,임산물,경기,합계,993879
2019,임산물,강원,반입,213878
2019,임산물,강원,반출,725900
2019,임산물,강원,합계,939778
2019,임산물,충북,반입,250168
2019,임산물,충북,반출,437444
2019,임산물,충북,합계,687612
2019,임산물,충남,반입,260599
2019,임산물,충남,반출,411270
2019,임산물,충남,합계,671869
2019,임산물,전북,반입,307767
2019,임산물,전북,반출,286802
2019,임산물,전북,합계,594569
2019,임산물,전남,반입,137307
2019,임산물,전남,반출,1002261
2019,임산물,전남,합계,1139568
2019,임산물,경북,반입,401623
2019,임산물,경북,반출,630160
2019,임산물,경북,합계,1031783
2019,임산물,경남,반입,388593
2019,임산물,경남,반출,304073
2019,임산물,경남,합계,692666
2019,임산물,제주,반입,0
2019,임산물,제주,반출,0
2019,임산물,제주,합계,0
2019,수산물,서울,반입,237623
2019,수산물,서울,반출,129
2019,수산물,서울,합계,237752
2019,수산물,부산,반입,670913
2019,수산물,부산,반출,111513
2019,수산물,부산,합계,782426
2019,수산물,대구,반입,75172
2019,수산물,대구,반출,98
2019,수산물,대구,합계,75270
2019,수산물,인천,반입,103512
2019,수산물,인천,반출,41327
2019,수산물,인천,합계,144839
2019,수산물,광주,반입,38617
2019,수산물,광주,반출,155
2019,수산물,광주,합계,38772
2019,수산물,세종,반입,5074
2019,수산물,세종,반출,244
2019,수산물,세종,합계,5318
2019,수산물,대전,반입,51807
2019,수산물,대전,반출,109
2019,수산물,대전,합계,51916
2019,수산물,울산,반입,36112
2019,수산물,울산,반출,22579
2019,수산물,울산,합계,58691
2019,수산물,경기,반입,512794
2019,수산물,경기,반출,23828
2019,수산물,경기,합계,536622
2019,수산물,강원,반입,258871
2019,수산물,강원,반출,51521
2019,수산물,강원,합계,310392
2019,수산물,충북,반입,85703
2019,수산물,충북,반출,4339
2019,수산물,충북,합계,90042
2019,수산물,충남,반입,150807
2019,수산물,충남,반출,211722
2019,수산물,충남,합계,362529
2019,수산물,전북,반입,106056
2019,수산물,전북,반출,101691
2019,수산물,전북,합계,207747
2019,수산물,전남,반입,81593
2019,수산물,전남,반출,1807313
2019,수산물,전남,합계,1888906
2019,수산물,경북,반입,214714
2019,수산물,경북,반출,93655
2019,수산물,경북,합계,308369
2019,수산물,경남,반입,374868
2019,수산물,경남,반출,534013
2019,수산물,경남,합계,908881
