"year","commodity","city","flow_type","cargo_volume","commodity_category","region_kr","region_en"
"2019","농산물","서울","반입","1629692","농축수산물 및 신선식품","수도권","Capital Area"
"2019","농산물","서울","반출","2688","농축수산물 및 신선식품","수도권","Capital Area"
"2019","농산물","서울","합계","1632380","농축수산물 및 신선식품","수도권","Capital Area"
"2019","농산물","부산","반입","620292","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","농산물","부산","반출","522633","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","농산물","부산","합계","1142925","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","농산물","대구","반입","478460","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","농산물","대구","반출","115423","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","농산물","대구","합계","593883","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","농산물","인천","반입","752984","농축수산물 및 신선식품","수도권","Capital Area"
"2019","농산물","인천","반출","2194667","농축수산물 및 신선식품","수도권","Capital Area"
"2019","농산물","인천","합계","2947651","농축수산물 및 신선식품","수도권","Capital Area"
"2019","농산물","광주","반입","374647","농축수산물 및 신선식품","호남권","Honam"
"2019","농산물","광주","반출","94645","농축수산물 및 신선식품","호남권","Honam"
"2019","농산물","광주","합계","469292","농축수산물 및 신선식품","호남권","Honam"
"2019","농산물","세종","반입","179075","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","농산물","세종","반출","78033","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","농산물","세종","합계","257108","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","농산물","대전","반입","378170","농축수산물 및 신선식품","대전시","Daejeon"
"2019","농산물","대전","반출","27355","농축수산물 및 신선식품","대전시","Daejeon"
"2019","농산물","대전","합계","405525","농축수산물 및 신선식품","대전시","Daejeon"
"2019","농산물","울산","반입","292498","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","농산물","울산","반출","204821","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","농산물","울산","합계","497319","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","농산물","경기","반입","4548750","농축수산물 및 신선식품","수도권","Capital Area"
"2019","농산물","경기","반출","1159061","농축수산물 및 신선식품","수도권","Capital Area"
"2019","농산물","경기","합계","5707811","농축수산물 및 신선식품","수도권","Capital Area"
"2019","농산물","강원","반입","706727","농축수산물 및 신선식품","기타","Others"
