"연도","품목","지역","구분","물동량_톤","commodity_cat_en","commodity_cat_kr","region_kr","region_en"
"2019","농산물","서울","반입","1629692","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","농산물","서울","반출","2688","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","농산물","서울","합계","1632380","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","농산물","부산","반입","620292","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","농산물","부산","반출","522633","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","농산물","부산","합계","1142925","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","농산물","대구","반입","478460","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","농산물","대구","반출","115423","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","농산물","대구","합계","593883","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","농산물","인천","반입","752984","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","농산물","인천","반출","2194667","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","농산물","인천","합계","2947651","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","농산물","광주","반입","374647","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","농산물","광주","반출","94645","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","농산물","광주","합계","469292","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","농산물","세종","반입","179075","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","농산물","세종","반출","78033","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","농산물","세종","합계","257108","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","농산물","대전","반입","378170","Agriculture & Fresh Food","농축수산물 및 신선식품","대전시","Daejeon"
"2019","농산물","대전","반출","27355","Agriculture & Fresh Food","농축수산물 및 신선식품","대전시","Daejeon"
"2019","농산물","대전","합계","405525","Agriculture & Fresh Food","농축수산물 및 신선식품","대전시","Daejeon"
"2019","농산물","울산","반입","292498","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","농산물","울산","반출","204821","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","농산물","울산","합계","497319","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","농산물","경기","반입","4548750","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","농산물","경기","반출","1159061","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","농산물","경기","합계","5707811","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","농산물","강원","반입","706727","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","농산물","강원","반출","1279500","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","농산물","강원","합계","1986227","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","농산물","충북","반입","1618985","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","농산물","충북","반출","934089","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","농산물","충북","합계","2553074","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","농산물","충남","반입","1936936","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","농산물","충남","반출","2073507","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","농산물","충남","합계","4010443","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","농산물","전북","반입","1425286","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","농산물","전북","반출","2014530","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","농산물","전북","합계","3439816","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","농산물","전남","반입","960257","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","농산물","전남","반출","3396101","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","농산물","전남","합계","4356358","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","농산물","경북","반입","1083590","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","농산물","경북","반출","2655213","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","농산물","경북","합계","3738803","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","농산물","경남","반입","1553063","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","농산물","경남","반출","1787146","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","농산물","경남","합계","3340209","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","농산물","제주","반입","0","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","농산물","제주","반출","0","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","농산물","제주","합계","0","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","임산물","서울","반입","417711","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","임산물","서울","반출","2061","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","임산물","서울","합계","419772","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","임산물","부산","반입","194664","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","임산물","부산","반출","3589","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","임산물","부산","합계","198253","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","임산물","대구","반입","115586","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","임산물","대구","반출","5696","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","임산물","대구","합계","121282","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","임산물","인천","반입","400536","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","임산물","인천","반출","5181","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","임산물","인천","합계","405717","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","임산물","광주","반입","76470","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","임산물","광주","반출","1591","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","임산물","광주","합계","78061","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","임산물","세종","반입","59825","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","임산물","세종","반출","11130","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","임산물","세종","합계","70955","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","임산물","대전","반입","77752","Agriculture & Fresh Food","농축수산물 및 신선식품","대전시","Daejeon"
"2019","임산물","대전","반출","2304","Agriculture & Fresh Food","농축수산물 및 신선식품","대전시","Daejeon"
"2019","임산물","대전","합계","80056","Agriculture & Fresh Food","농축수산물 및 신선식품","대전시","Daejeon"
"2019","임산물","울산","반입","100906","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","임산물","울산","반출","11142","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","임산물","울산","합계","112048","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","임산물","경기","반입","715549","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","임산물","경기","반출","278330","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","임산물","경기","합계","993879","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","임산물","강원","반입","213878","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","임산물","강원","반출","725900","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","임산물","강원","합계","939778","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","임산물","충북","반입","250168","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","임산물","충북","반출","437444","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","임산물","충북","합계","687612","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","임산물","충남","반입","260599","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","임산물","충남","반출","411270","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","임산물","충남","합계","671869","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","임산물","전북","반입","307767","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","임산물","전북","반출","286802","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","임산물","전북","합계","594569","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","임산물","전남","반입","137307","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","임산물","전남","반출","1002261","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","임산물","전남","합계","1139568","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","임산물","경북","반입","401623","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","임산물","경북","반출","630160","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","임산물","경북","합계","1031783","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","임산물","경남","반입","388593","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","임산물","경남","반출","304073","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","임산물","경남","합계","692666","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","임산물","제주","반입","0","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","임산물","제주","반출","0","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","임산물","제주","합계","0","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","수산물","서울","반입","237623","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","수산물","서울","반출","129","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","수산물","서울","합계","237752","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","수산물","부산","반입","670913","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","부산","반출","111513","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","부산","합계","782426","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","대구","반입","75172","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","대구","반출","98","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","대구","합계","75270","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","인천","반입","103512","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","수산물","인천","반출","41327","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","수산물","인천","합계","144839","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","수산물","광주","반입","38617","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","수산물","광주","반출","155","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","수산물","광주","합계","38772","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","수산물","세종","반입","5074","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","수산물","세종","반출","244","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","수산물","세종","합계","5318","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","수산물","대전","반입","51807","Agriculture & Fresh Food","농축수산물 및 신선식품","대전시","Daejeon"
"2019","수산물","대전","반출","109","Agriculture & Fresh Food","농축수산물 및 신선식품","대전시","Daejeon"
"2019","수산물","대전","합계","51916","Agriculture & Fresh Food","농축수산물 및 신선식품","대전시","Daejeon"
"2019","수산물","울산","반입","36112","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","울산","반출","22579","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","울산","합계","58691","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","경기","반입","512794","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","수산물","경기","반출","23828","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","수산물","경기","합계","536622","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","수산물","강원","반입","258871","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","수산물","강원","반출","51521","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","수산물","강원","합계","310392","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","수산물","충북","반입","85703","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","수산물","충북","반출","4339","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","수산물","충북","합계","90042","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","수산물","충남","반입","150807","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","수산물","충남","반출","211722","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","수산물","충남","합계","362529","Agriculture & Fresh Food","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","수산물","전북","반입","106056","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","수산물","전북","반출","101691","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","수산물","전북","합계","207747","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","수산물","전남","반입","81593","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","수산물","전남","반출","1807313","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","수산물","전남","합계","1888906","Agriculture & Fresh Food","농축수산물 및 신선식품","호남권","Honam"
"2019","수산물","경북","반입","214714","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","경북","반출","93655","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","경북","합계","308369","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","경남","반입","374868","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","경남","반출","534013","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","경남","합계","908881","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","수산물","제주","반입","0","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","수산물","제주","반출","0","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","수산물","제주","합계","0","Agriculture & Fresh Food","농축수산물 및 신선식품","기타","Others"
"2019","축산물","서울","반입","140965","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","축산물","서울","반출","1040","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","축산물","서울","합계","142005","Agriculture & Fresh Food","농축수산물 및 신선식품","수도권","Capital Area"
"2019","축산물","부산","반입","56631","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","축산물","부산","반출","3112","Agriculture & Fresh Food","농축수산물 및 신선식품","영남권","Yeongnam"
