"region_kr","region_en","flow_type","commodity_category","vol_2020","vol_2021","vol_2022","vol_2023","gap_20_21_vol","gap_21_22_vol","gap_22_23_vol","rank_num"
"대전시","Daejeon","반입","재생재료","2269517","2598301","4944963","4985038","328784","2346662","40075","1"
"대전시","Daejeon","반입","원자재 및 기초소재","9985925","10281146","10559473","12516910","295221","278327","1957437","2"
"대전시","Daejeon","반출","원자재 및 기초소재","2773615","2447156","400984","333289","-326459","-2046172","-67695","1"
"대전시","Daejeon","반출","재생재료","1556730","1555665","344521","299393","-1065","-1211144","-45128","2"
"수도권","Capital Area","반입","원자재 및 기초소재","154207974","142051373","126880765","118348383","-12156601","-15170608","-8532382","1"
"수도권","Capital Area","반입","재생재료","46546849","50042455","53809608","50451921","3495606","3767153","-3357687","2"
"수도권","Capital Area","반출","재생재료","46004561","52422191","132269254","137159284","6417630","79847063","4890030","1"
"수도권","Capital Area","반출","원자재 및 기초소재","170258444","188404284","195802821","165457318","18145840","7398537","-30345503","2"
"충청권(대전제외)","Chungcheong(excl. DJ)","반입","원자재 및 기초소재","125706455","127989451","121775022","111576531","2282996","-6214429","-10198491","1"
"충청권(대전제외)","Chungcheong(excl. DJ)","반입","재생재료","14290895","15653944","20404595","20429100","1363049","4750651","24505","2"
"충청권(대전제외)","Chungcheong(excl. DJ)","반출","원자재 및 기초소재","99765689","97620685","120601968","136350625","-2145004","22981283","15748657","1"
"충청권(대전제외)","Chungcheong(excl. DJ)","반출","재생재료","9751791","10597694","1411193","1390501","845903","-9186501","-20692","2"
