연도,출발지,물동량_톤
2019,서울특별시,3699
2019,부산광역시,1757
2019,대구광역시,1545
2019,인천광역시,54265
2019,광주광역시,0
2019,대전광역시,104379
2019,울산광역시,1111
2019,경기도,21364
2019,강원특별자치도,11938
2019,충청북도,29775
2019,충청남도,268226
2019,전북특별자치도,11962
2019,전라남도,5432
2019,경상북도,22661
2019,경상남도,10902
2019,제주특별자치도,0
2019,세종특별자치시,3169
2020,서울특별시,550
2020,부산광역시,842
2020,대구광역시,457
2020,인천광역시,50851
2020,광주광역시,0
2020,대전광역시,117375
2020,울산광역시,1608
2020,경기도,10161
2020,강원특별자치도,8352
2020,충청북도,12414
2020,충청남도,282785
2020,전북특별자치도,6206
2020,전라남도,2644
2020,경상북도,7471
2020,경상남도,9877
2020,제주특별자치도,0
2020,세종특별자치시,2818
2021,서울특별시,5061
2021,부산광역시,2441
2021,대구광역시,1217
2021,인천광역시,63653
2021,광주광역시,0
2021,대전광역시,80621
2021,울산광역시,1769
2021,경기도,25417
2021,강원특별자치도,7231
2021,충청북도,32778
2021,충청남도,383245
2021,전북특별자치도,20554
2021,전라남도,2894
2021,경상북도,16929
2021,경상남도,13634
2021,제주특별자치도,0
2021,세종특별자치시,3631
2022,서울특별시,1129
2022,부산광역시,1160
2022,대구광역시,66
2022,인천광역시,278
2022,광주광역시,47
2022,대전광역시,1088
2022,울산광역시,2140
2022,경기도,1019
2022,강원특별자치도,10995
2022,충청북도,223073
2022,충청남도,479327
2022,전북특별자치도,1971
2022,전라남도,17003
2022,경상북도,5664
2022,경상남도,13478
2022,제주특별자치도,0
2022,세종특별자치시,0
2023,서울특별시,1258
2023,부산광역시,1153
2023,대구광역시,68
2023,인천광역시,207
2023,광주광역시,47
2023,대전광역시,1839
2023,울산광역시,2103
2023,경기도,1988
2023,강원특별자치도,12629
2023,충청북도,220323
2023,충청남도,3130523
2023,전북특별자치도,925
2023,전라남도,13843
2023,경상북도,5731
2023,경상남도,14657
2023,제주특별자치도,0
2023,세종특별자치시,0
