"region_kr","region_en","flow_type","commodity","rank_num","year","cargo_vol","gap_period","gap_vol"
"대전시","Daejeon","반입","비금속광물","1","2020","2751685","기준연도",""
"대전시","Daejeon","반입","비금속광물","1","2021","2864399","2020 - 2021","112714"
"대전시","Daejeon","반입","비금속광물","1","2022","2439960","2021 - 2022","-424439"
"대전시","Daejeon","반입","비금속광물","1","2023","2636932","2022 - 2023","196972"
"대전시","Daejeon","반입","비금속 광물제품","2","2020","3220885","기준연도",""
"대전시","Daejeon","반입","비금속 광물제품","2","2021","3225400","2020 - 2021","4515"
"대전시","Daejeon","반입","비금속 광물제품","2","2022","3631622","2021 - 2022","406222"
"대전시","Daejeon","반입","비금속 광물제품","2","2023","3195595","2022 - 2023","-436027"
"대전시","Daejeon","반출","비금속 광물제품","1","2020","1619643","기준연도",""
"대전시","Daejeon","반출","비금속 광물제품","1","2021","1459003","2020 - 2021","-160640"
"대전시","Daejeon","반출","비금속 광물제품","1","2022","220484","2021 - 2022","-1238519"
"대전시","Daejeon","반출","비금속 광물제품","1","2023","150620","2022 - 2023","-69864"
"대전시","Daejeon","반출","화합물 및 화학제품","2","2020","324566","기준연도",""
"대전시","Daejeon","반출","화합물 및 화학제품","2","2021","388541","2020 - 2021","63975"
"대전시","Daejeon","반출","화합물 및 화학제품","2","2022","50892","2021 - 2022","-337649"
"대전시","Daejeon","반출","화합물 및 화학제품","2","2023","59015","2022 - 2023","8123"
"수도권","Capital Area","반입","비금속 광물제품","1","2020","55796636","기준연도",""
"수도권","Capital Area","반입","비금속 광물제품","1","2021","55681351","2020 - 2021","-115285"
"수도권","Capital Area","반입","비금속 광물제품","1","2022","48326218","2021 - 2022","-7355133"
"수도권","Capital Area","반입","비금속 광물제품","1","2023","48896962","2022 - 2023","570744"
"수도권","Capital Area","반입","비금속광물","2","2020","48131319","기준연도",""
"수도권","Capital Area","반입","비금속광물","2","2021","36481136","2020 - 2021","-11650183"
"수도권","Capital Area","반입","비금속광물","2","2022","31907950","2021 - 2022","-4573186"
"수도권","Capital Area","반입","비금속광물","2","2023","31882575","2022 - 2023","-25375"
"수도권","Capital Area","반출","비금속 광물제품","1","2020","68809321","기준연도",""
"수도권","Capital Area","반출","비금속 광물제품","1","2021","67190393","2020 - 2021","-1618928"
"수도권","Capital Area","반출","비금속 광물제품","1","2022","53670508","2021 - 2022","-13519885"
"수도권","Capital Area","반출","비금속 광물제품","1","2023","49758232","2022 - 2023","-3912276"
"수도권","Capital Area","반출","화합물 및 화학제품","2","2020","9224315","기준연도",""
"수도권","Capital Area","반출","화합물 및 화학제품","2","2021","9465573","2020 - 2021","241258"
"수도권","Capital Area","반출","화합물 및 화학제품","2","2022","22942819","2021 - 2022","13477246"
"수도권","Capital Area","반출","화합물 및 화학제품","2","2023","22405023","2022 - 2023","-537796"
"충청권(대전제외)","Chungcheong(excl. DJ)","반입","비금속 광물제품","1","2020","52400754","기준연도",""
"충청권(대전제외)","Chungcheong(excl. DJ)","반입","비금속 광물제품","1","2021","51628245","2020 - 2021","-772509"
"충청권(대전제외)","Chungcheong(excl. DJ)","반입","비금속 광물제품","1","2022","42975565","2021 - 2022","-8652680"
"충청권(대전제외)","Chungcheong(excl. DJ)","반입","비금속 광물제품","1","2023","38965433","2022 - 2023","-4010132"
"충청권(대전제외)","Chungcheong(excl. DJ)","반입","비금속광물","2","2020","30748922","기준연도",""
"충청권(대전제외)","Chungcheong(excl. DJ)","반입","비금속광물","2","2021","33210671","2020 - 2021","2461749"
"충청권(대전제외)","Chungcheong(excl. DJ)","반입","비금속광물","2","2022","34579561","2021 - 2022","1368890"
"충청권(대전제외)","Chungcheong(excl. DJ)","반입","비금속광물","2","2023","33295208","2022 - 2023","-1284353"
"충청권(대전제외)","Chungcheong(excl. DJ)","반출","코크스, 연탄 및 석유정제품","1","2020","2493348","기준연도",""
"충청권(대전제외)","Chungcheong(excl. DJ)","반출","코크스, 연탄 및 석유정제품","1","2021","4100424","2020 - 2021","1607076"
"충청권(대전제외)","Chungcheong(excl. DJ)","반출","코크스, 연탄 및 석유정제품","1","2022","23505762","2021 - 2022","19405338"
"충청권(대전제외)","Chungcheong(excl. DJ)","반출","코크스, 연탄 및 석유정제품","1","2023","25821492","2022 - 2023","2315730"
"충청권(대전제외)","Chungcheong(excl. DJ)","반출","비금속 광물제품","2","2020","30628878","기준연도",""
"충청권(대전제외)","Chungcheong(excl. DJ)","반출","비금속 광물제품","2","2021","29192174","2020 - 2021","-1436704"
"충청권(대전제외)","Chungcheong(excl. DJ)","반출","비금속 광물제품","2","2022","46098606","2021 - 2022","16906432"
"충청권(대전제외)","Chungcheong(excl. DJ)","반출","비금속 광물제품","2","2023","50177214","2022 - 2023","4078608"
