"region_kr","region_en","flow_type","commodity","rank_num","year","cargo_vol","gap_period","gap_vol"
"대전시","Daejeon","반입","코크스, 연탄 및 석유정제품","1","2020","397036","기준연도",""
"대전시","Daejeon","반입","코크스, 연탄 및 석유정제품","1","2021","580454","2020 - 2021","183418"
"대전시","Daejeon","반입","코크스, 연탄 및 석유정제품","1","2022","757350","2021 - 2022","176896"
"대전시","Daejeon","반입","코크스, 연탄 및 석유정제품","1","2023","3405455","2022 - 2023","2648105"
"대전시","Daejeon","반입","비금속 광물제품","2","2020","3220885","기준연도",""
"대전시","Daejeon","반입","비금속 광물제품","2","2021","3225400","2020 - 2021","4515"
"대전시","Daejeon","반입","비금속 광물제품","2","2022","3631622","2021 - 2022","406222"
"대전시","Daejeon","반입","비금속 광물제품","2","2023","3195595","2022 - 2023","-436027"
"대전시","Daejeon","반입","비금속광물","3","2020","2751685","기준연도",""
"대전시","Daejeon","반입","비금속광물","3","2021","2864399","2020 - 2021","112714"
"대전시","Daejeon","반입","비금속광물","3","2022","2439960","2021 - 2022","-424439"
"대전시","Daejeon","반입","비금속광물","3","2023","2636932","2022 - 2023","196972"
"대전시","Daejeon","반입","펄프, 종이 및 종이제품","4","2020","1638351","기준연도",""
"대전시","Daejeon","반입","펄프, 종이 및 종이제품","4","2021","1663574","2020 - 2021","25223"
"대전시","Daejeon","반입","펄프, 종이 및 종이제품","4","2022","1811078","2021 - 2022","147504"
"대전시","Daejeon","반입","펄프, 종이 및 종이제품","4","2023","1661436","2022 - 2023","-149642"
"대전시","Daejeon","반출","비금속 광물제품","1","2020","1619643","기준연도",""
"대전시","Daejeon","반출","비금속 광물제품","1","2021","1459003","2020 - 2021","-160640"
"대전시","Daejeon","반출","비금속 광물제품","1","2022","220484","2021 - 2022","-1238519"
"대전시","Daejeon","반출","비금속 광물제품","1","2023","150620","2022 - 2023","-69864"
"대전시","Daejeon","반출","화합물 및 화학제품","2","2020","324566","기준연도",""
"대전시","Daejeon","반출","화합물 및 화학제품","2","2021","388541","2020 - 2021","63975"
