HS코드,품목약칭_TRASS
01,산_동물
02,육과_식용설육
03,어류
04,낙농품
05,기타_동물성_생산품
06,산_수목및_절화
07,채소
08,과실ㆍ_견과류
09,커피ㆍ_향신료
10,곡물
11,제분공업_생산품
12,채유용종자
13,식물성_수액과_엑스
14,기타_식물성_생산품
15,동ㆍ식물성_유지
16,육ㆍ어류_조제품
17,당류_설탕과자
18,코코아
19,곡물ㆍ곡분_의_조제품
20,채소ㆍ과실_의_조제품
21,각종의_조제_식료품
22,음료ㆍ알콜_식초
23,사료
24,담배
25,암석광물
26,금속광물
27,광물성_연료_에너지
28,무기화학품
29,유기화학품
30,의료용품
31,비료
32,유연ㆍ_착색제
33,향료ㆍ_화장품
34,비누ㆍ왁스
35,단백질계_물질
36,화약류ㆍ성냥
37,사진ㆍ영화_용재료
38,각종_화학_공업생산품
39,플라스틱
40,고무
41,원피
42,가죽제품
43,모피
44,목재_및_목탄
45,코르크
46,조물재료의_제품
47,펄프
48,지와_지제품
49,인쇄서적ㆍ_신문ㆍ회화
50,견
51,모
52,면
53,기타_식물성_방직용_섬유
54,인조_필라멘트
55,인조스테이플_섬유
56,워딩ㆍ펄프_ㆍ부직포
57,양탄자류
58,특수_직물
59,침투ㆍ도포_직물
60,편물
61,편물제_의류
62,비편물제_의류
63,기타_방직용_섬유제품
64,신발류
65,모자류
66,산류ㆍ_지팡이
67,조제_우모_ㆍ조화ㆍ_인모제품
68,석ㆍ시멘트_제품
69,도자_제품
70,유리와_유리제품
71,진주ㆍ귀석_귀금속
72,철강
73,철강제품
74,동
75,니켈
76,알루미늄
77,유보
78,연
79,아연
80,주석
81,기타_비금속
82,비금속제의_공구
83,비금속제의_각종_제품
84,기계류
85,전기기기
86,철도차량
87,자동차
88,항공기
89,선박
90,광학ㆍ정밀_의료기기
91,시계
92,악기
93,무기
94,가구ㆍ침구_조립식건축
95,완구ㆍ_운동용구
96,잡품
97,예술품ㆍ수_집과_골동품
