hs_section,section_name_official,section_name_short,chapter_from,chapter_to
01,살아 있는 동물과 동물성 생산품,동물 및 동물성 생산품,01,05
02,식물성 생산품,식물성 생산품,06,14
03,"동물성ㆍ식물성ㆍ미생물성 지방과 기름 및 이들의 분해생산물, 조제한 식용 지방과 동물성ㆍ식물성 왁스",동식물성 유지류,15,15
04,"조제 식료품, 음료ㆍ주류ㆍ식초, 담배ㆍ제조한 담배 대용물, 연소시키지 않고 흡입하도록 만들어진 물품(니코틴을 함유하였는지에 상관없다), 니코틴을 함유한 그 밖의 물품으로 인체 내에 니코틴을 흡수시키도록 만들어진 것",조제식품류,16,24
05,광물성 생산품,광물성 생산품,25,27
06,화학공업이나 연관공업의 생산품,화학공업 제품,28,38
07,"플라스틱과 그 제품, 고무와 그 제품",플라스틱 및 고무 제품,39,40
08,"원피ㆍ가죽ㆍ모피와 이들의 제품, 마구, 여행용구ㆍ핸드백과 이와 유사한 용기, 동물 거트(gut)[누에의 거트(gut)는 제외한다]의 제품",가죽 및 모피 제품,41,43
09,"목재와 그 제품, 목탄, 코르크와 그 제품, 짚ㆍ에스파르토(esparto)나 그 밖의 조물 재료의 제품, 바구니 세공물(basketware)과 지조세공물(枝條細工物)",목재 및 목재 제품,44,46
10,"목재나 그 밖의 섬유질 셀룰로오스재료의 펄프, 회수한 종이ㆍ판지[웨이스트(waste)와 스크랩(scrap)], 종이ㆍ판지와 이들의 제품",펄프 및 종이 제품,47,49
11,방직용 섬유와 방직용 섬유의 제품,섬유 및 섬유 제품,50,63
12,"신발류ㆍ모자류ㆍ산류(傘類)ㆍ지팡이ㆍ시트스틱(seat-stick)ㆍ채찍ㆍ승마용 채찍과 이들의 부분품, 조제 깃털과 그 제품, 조화, 사람 머리카락으로 된 제품","신발, 모자, 우산 등",64,67
13,"돌ㆍ플라스터(plaster)ㆍ시멘트ㆍ석면ㆍ운모나 이와 유사한 재료의 제품, 도자제품, 유리와 유리제품","석재, 유리 및 도자기",68,70
14,"천연진주ㆍ양식진주ㆍ귀석ㆍ반귀석ㆍ귀금속ㆍ귀금속을 입힌 금속과 이들의 제품, 모조 신변장식용품, 주화",귀금속 및 보석류,71,71
15,비금속(卑金屬)과 그 제품,비금속 및 그 제품,72,83
16,"기계류ㆍ전기기기와 이들의 부분품, 녹음기ㆍ음성재생기ㆍ텔레비전의 영상과 음향의 기록기ㆍ재생기와 이들의 부분품ㆍ부속품",기계 및 전기기기,84,85
17,차량ㆍ항공기ㆍ선박과 수송기기 관련품,수송기기,86,89
18,"광학기기ㆍ사진용 기기ㆍ영화용 기기ㆍ측정기기ㆍ검사기기ㆍ정밀기기ㆍ의료용 기기, 시계, 악기, 이들의 부분품과 부속품","광학, 정밀, 의료기기",90,92
19,무기ㆍ총포탄과 이들의 부분품과 부속품,무기 및 탄약,93,93
20,잡품,"잡품(가구, 장난감 등)",94,96
21,예술품ㆍ수집품ㆍ골동품,"예술품, 수집품 및 골동품",97,97
