항목명(영문),항목명(국문),Unnamed: 2,Unnamed: 3,Unnamed: 4
imexTmprClsfCd,수출입성질분류코드,,,
,,,,
(수출)성질코드,(수출)성질코드명,,(수입)성질코드,(수입)성질코드명
10000,1. 식료 및 직접소비재,,10000,1. 소비재
11101,- 돼지고기,,11000,가. 곡물
11201,- 기타 육류 및 조제품,,11101,- 소맥
11300,- 어패류와 조제품,,11201,- 쌀
11301,(참  치),,11301,- 대두
11302,(기타 어패류),,11400,- 옥수수와 사료
11303,(생 선 묵),,11401,(옥수수)
11304,(기타 어패류 조제품),,11402,(사 료)
11401,- 김,,11501,- 기타 곡물
11501,- 채소류,,12000,나. 직접소비재
11601,- 설 탕,,12101,- 담배
11701,- 엽연초,,12200,- 음료 및 주류
11800,- 음료 및 주류,,12201,(음 료)
11801,(음 료),,12202,(주 류)
11802,(주 류),,12300,- 기타 직접소비재
11Z01,- 기 타,,12301,(소고기)
20000,2. 원료 및 연료,,12302,(돼지고기)
21101,- 조광물,,12303,(양고기)
21201,- 금속광,,12304,(어 류)
21301,- 인 삼,,12305,(고 추)
21400,- 가 죽,,12306,(마 늘)
21401,(소와 마속가죽),,12307,(양 파)
21402,(기타 가죽),,12308,(참 깨)
21501,- 기타 동식물성 원재료,,12309,(후 추)
21600,- 석유제품,,12310,(바나나)
21601,(경 유),,12311,(커피두)
21602,(나프타),,12312,(코코아)
21603,(방카 C유),,12313,(조제식품)
21604,(기타 석유제품),,12399,(기 타)
21Z01,- 기 타,,13000,다. 내구소비재
30000,3. 경공업품,,13100,- 가전제품
31000,가. 섬유원료,,13101,(TV)
31101,- 설 견,,13102,(VTR)
31201,- 면웨이스트,,13103,(냉장고)
31301,- 화학섬유,,13104,(세탁기)
31Z01,- 기 타,,13105,(에어콘)
32000,나. 섬유사,,13106,(음향기기)
32101,- 견사류,,13107,(기타 가전제품)
32201,- 모 사,,13201,- 가사용구
32301,- 생면사,,13300,- 승용차·2륜차 및 자전거
32401,- 표백 기타 가공면사,,13301,(승용차)
32501,- 합성섬유사,,13302,(2륜차)
32601,- 재생섬유사,,13303,(자전거 등)
32Z01,- 기 타,,13401,- 시 계
33000,다. 직 물,,13500,- 악기류 및 완구류
33101,- 생면직물,,13501,(악 기)
33201,- 표백 기타 가공한 면직물,,13502,(완 구)
33301,- 견직물,,13600,- 귀금속 및 보석류
33401,- 모직물,,13601,(금)
33501,- 합성섬유직물,,13602,(은)
33601,- 재생섬유직물,,13603,(다이아몬드)
33701,- 화학섬유 편직물,,13604,(기타 보석류)
33Z01,- 기 타,,13701,- 골프용품
34000,라. 기타 섬유제품,,13801,- 프라스틱 제품
34101,- 튤·레이스 등,,13901,- 잡제품
34201,- 끈과 망,,14000,라. 비내구 소비재
34301,- 부물류,,14101,- 인쇄물
34401,- 부직포,,14200,- 의 류
34Z01,- 기 타,,14201,(섬유의류)
35000,마. 의 류,,14202,(가죽의류)
35101,- 직물제 의류,,14203,(모피의류)
35201,- 편물제 의류,,14Z01,- 기 타
35301,- 가죽의류,,15000,마. 간이세율 적용분
35401,- 기타 의류,,15101,- 간이세율 적용물품
35501,- 양말 및 장갑 등,,20000,2. 원자재
35601,- 기타 의류 부속품,,21000,가. 연 료
36000,바. 목제품,,21100,- 에너지류
36101,- 합 판,,21101,(원 유)
36201,- 목제품,,21102,(석 탄)
36301,- 가 구,,21103,(가 스)
37000,"사. 가죽, 고무 및 신발류",,21200,- 석유제품
37101,- 가죽제품,,21201,(나프타)
37201,- 고무타이어 및 튜브,,21202,(방카C유)
37301,- 기타 고무제품,,21203,(등 유)
37401,- 신발류,,21299,(기 타)
38000,아. 귀금속 및 보석류,,22000,나. 광 물
38101,- 금,,22101,- 조광물
38201,- 은,,22201,- 철 광
38301,- 다이아몬드,,22301,- 고 철
38401,- 기타 보석류,,22401,- 비철금속광
39000,자. 기타 비금속 광물제품,,22501,- 비철금속의 설
39101,- 시멘트,,23000,다. 경공업 원료
39201,- 유 리,,23101,- 원 당
39301,- 도자기,,23201,- 당 밀
3A000,"차. 완구, 운동용구 및 악기",,23301,- 엽연초
3A101,- 완 구,,23401,- 원 피
3A201,- 운동용구,,23500,- 고 무
3A301,- 피아노 및 기타 악기,,23501,(천연고무)
3Z000,카. 기 타,,23502,(합성고무)
3Z101,- 종이류,,23600,- 목 재
3Z201,- 프라스틱 제품,,23601,(원 목)
3Z301,- 여행용구,,23602,(목 제)
3Z401,- 장식용 세공품,,23700,- 펄 프 및 고지
3Z501,"- 양초, 성냥, 라이터 등",,23701,(펄 프)
3Z601,- 우산과 파라솔,,23702,(고 지)
3Z701,- 가발과 가눈썹,,23801,- 원 모
3Z801,- 안경테와 장착구,,23901,- 원 면
3Z901,- 낚시대,,24000,라. 유 지
3ZA01,- 전구류,,24101,- 우 지
3ZB01,- 칼·훠어크,,24201,- 식물성 유지
3ZZ01,- 기 타,,24301,- 기타의 유지
40000,4. 중화학 공업품,,25000,마. 섬유류
41000,가. 화공품,,25101,- 섬유사
41101,- 스티렌,,25201,- 면직물
41201,- 테레프탈산,,25301,- 견직물
41301,- 기타 유기 및 무기화합물,,25401,- 합성섬유
41401,- 의약품,,25501,- 면직포
41501,- 화학비료,,25601,- 기타 섬유류
41601,- 폴리에틸렌,,26000,바. 화공품
41701,- 폴리프로필렌,,26101,- 스티렌
41801,- 폴리에스테르,,26201,- 프로필렌
41901,- 기타 인조프라스틱 및 동 제품,,26301,- 2-염화에틸렌
41A01,- 염료와 색소,,26401,- 에칠렌 그리콜
41B01,- 기타 화학제품,,26501,- 초산에스텔
42000,나. 철강제품,,26601,- 프탈산류
42101,- 철강의 괴,,26701,- 아미노 화합물
42201,- 철강의 봉 및 형강,,26801,- 카프로락탐
42301,- 철강의 판,,26901,- 기타 유기화합물
42401,- 합금강의 판,,26A01,- 가성소다
42501,- 아연도 강판,,26B01,- 알루미나
42601,- 철강관,,26C01,- 기타 무기화합물
42701,- 철강의 주물과 단조물,,26D01,- 분산성 염료
42801,- 비철금속,,26E01,- 기타의 염료와 색소
42901,- 연선·망,,26F01,- 의약품
42A01,- 못·스크류·볼트·너트등,,26G01,- 화학비료
42B01,- 기타의 금속제품,,26H01,- 폴리에틸렌
43000,다. 기계류와 정밀기기,,26I01,- 기타의 수지
43101,- 사무용기기,,26J01,- 기타 화학제품
43201,- 섬유·피혁기계,,27000,사. 철강재
43301,- 기타 일반 기계류,,27101,- 무 쇠
43401,- 전기동력기계,,27201,- 재압연용 코일
43501,- 정밀기기,,27301,- 철강의 괴
43601,- 시 계,,27401,- 봉강 및 형강
43A00,- 반도체 제조용 장비,,27501,- 강 판
43A01,(제조용 장비),,27601,- 강 관
43A02,(장비부품),,27701,- 기타의 철강재
43B01,- 디스플레이패널 제조용장비,,28000,아. 비철금속
44000,"라. 전기, 전자제품",,28101,- 동
44100,- 가전제품,,28201,- 알루미늄
44101,(TV),,28301,- 연
44102,(VTR),,28401,- 아연
44103,(냉장고),,28501,- 주석
44104,(세탁기),,28601,- 니켈
44105,(전자레인지),,28701,- 기타의 비철금속
44106,(에어콘),,2Z000,자. 기 타
44107,(음향기기),,2Z101,- 시멘트
44108,(기타 가전제품),,2Z201,- 유기계면활성제
44200,- 정보통신기기,,2Z301,- 내화벽돌류
44201,(컴퓨터),,2Z401,- 고무제품
44202,(컴퓨터 주변기기),,2Z501,- 종이류
44203,(방송기기),,2Z601,- 유리 및 유리제품
44204,(유선통신기기),,2ZZ01,- 기 타
44205,(무선통신기기),,30000,3. 자본재
44300,- 반도체,,31000,가. 기계류와 정밀기기
44301,(메모리 반도체),,31100,- 기계류
44302,(프로세스와 콘트롤러),,31101,(원동기)
44303,(증폭기),,31102,(사무기기)
44304,(기타 집적회로 반도체 및 부품),,31103,(금속공작기계)
44305,(트랜지스터),,31104,(섬유기계)
44306,(다이오드),,31105,(중 기)
44307,(기타 개별소자 반도체 및 부품),,31106,(제분 및 제품기계)
44308,(실리콘 웨이퍼),,31107,(펄프가공기계)
44400,- 기타 전기 전자제품,,31108,(활자 및 인쇄기계)
44401,(회로보호접속기),,31109,(냉장·냉동기계)
44402,(전자관류),,31110,(가열 및 건조기)
44403,(축전기 및 전지),,31111,(펌 프)
44404,(인쇄회로),,31112,(분리기와 청정기)
44A00,- 디스플레이 패널,,31113,(운반 하역기계)
44A01,(액정디바이스),,31114,(목재등 가공기계)
44A02,(기타 디스플레이 패널),,31115,(기타의 기계)
44Z01,(기타),,31116,(베어링)
45000,마. 수송장비,,31117,(코크와 밸브)
45101,- 승용자동차,,31118,(기아와 전동축)
45201,- 화물 자동차,,31119,(기타의 기계부분품)
45301,- 자동차 부품,,31200,- 정밀기기
45401,- 철도차량,,31201,(측정시험기)
45501,- 선 박,,31202,(광학기기)
45600,- 기타 수송기기,,31203,(의료용 기기)
45601,(콘테이너),,31299,(기 타)
45602,(자전거),,31A00,- 반도체 제조용 장비
45699,(기 타),,31A01,(제조용 장비)
4Z000,바. 기 타,,31A02,(장비부품)
4Z001,- 기 타,,31B01,- 디스플레이패널 제조용장비
,,,32000,나. 전기·전자기기
,,,32101,- 발전기
,,,32201,- 전동기
,,,32301,- 변류기와 변압기
,,,32401,- 회로보호접속기
,,,32501,- 전기계측 및 조정기기
,,,32601,- 전기용접기기
,,,32701,- 축전기 및 전지
,,,32801,- 인쇄회로
,,,32901,- 기타의 전기기기
,,,32A00,- 정보통신기기
,,,32A01,(컴퓨터)
,,,32A02,(컴퓨터 주변기기)
,,,32A03,(방송기기)
,,,32A04,(유선통신기기)
,,,32A05,(무선통신기기)
,,,32B00,- 반도체
,,,32B01,(메모리 반도체)
,,,32B02,(프로세스와 콘트롤러)
,,,32B03,(증폭기)
,,,32B04,(기타 집적회로 반도체 및 부품)
,,,32B05,(트랜지스터)
,,,32B06,(다이오드)
,,,32B07,(기타 개별소자 반도체및 부품)
,,,32B08,(실리콘 웨이퍼)
,,,32C00,- 디스플레이 패널
,,,32C01,(액정디바이스)
,,,32C02,(기타 디스플레이 패널)
,,,32D01,- 전자관류
,,,33000,다. 수송장비
,,,33101,- 화물 자동차
,,,33201,- 자동차 부품
,,,33301,- 철도차량
,,,33401,- 항공기
,,,33501,- 선 박
,,,33601,- 기타 수송기기
