항목명(영문),항목명(국문),Unnamed: 2
cstmSgnYn,세관구분여부,
,,
구분코드,코드명,
Y,본부세관,
N,세관,
,,
본부세관,세관별코드,세관별코드명
인천공항세관,040,인천공항세관
,041,김포공항세관
서울세관,010,서울세관
,130,서울세관 구로지원센터
,131,안양세관
,152,천안세관
,151,청주세관
,153,청주세관 충주지원센터
,150,대전세관
,101,속초세관
,103,속초세관 고성지원센터
,100,동해세관
,102,동해세관 원주지원센터
,012,성남세관
,017,파주세관
,011,파주세관 의정부지원센터
부산세관,030,부산세관
,140,김해공항세관
,033,양산세관
,039,용당세관
,037,용당세관 부산국제우편지원센터
,053,창원세관
,055,창원세관 진해지원센터
,050,마산세관
,051,경남남부세관
,054,경남남부세관 통영지원센터
,056,경남서부세관
,052,경남서부세관 사천지원센터
인천세관,020,인천세관(인천항)
,021,수원세관
,014,안산세관
,023,안산세관 부평지원센터
대구세관,120,대구세관
,110,울산세관
,121,구미세관
,122,포항세관
광주세관,071,광주세관
,062,광양세관
,070,목포세관
,072,목포세관 완도지원센터
,060,여수세관
,080,군산세관
,084,군산세관 보령지원센터
,090,제주세관
,082,전주세관
,081,전주세관 익산지원센터
평택세관,016,평택세관
,154,평택세관 대산지원센터
