항목명(영문),항목명(국문),Unnamed: 2,Unnamed: 3,Unnamed: 4
imexKcd,수출입종류코드,,,
,,,,
(수출)종류별코드,(수출)종류별코드명,,(수입)종류별코드,(수입)종류별코드명
A,일반수출,,11,일반수입(외화획득용)
B,보세공장으로부터 수출,,12,외국으로부터 수출할 목적으로 보세공장에 반입되는 물품
C,관세자유지역으로부터 수출,,13,보세공장으로부터 수입(제품과세)
D,자유무역지역으로 부터 수출,,14,외국자유무역지역 반입물품(원재료)
E,종합보세구역으로부터 수출,,15,자유무역지역 제조가공물품통관
F,공해상에서 체포한 수산물의 현지수출(원양어업협회 통보분),,16,해외진출기업 제작물품 수입(외화획득용)
G,보세판매장으로부터 수출,,17,보세건설장반입물품 수리전사용승인 물품
H,복합물류 보세창고로부터 수출,,18,"보세판매장 반입물품(보세공장,수출자유지역반입)"
L,선상신고,,19,해외진출기업 제작물품 수입(내수용)
P,우편수출(국제우체국 면허분),,20,보세건설장반입물품 수리전사용승인물품(분할신고)
,,,21,일반수입(내수용)
,,,22,수리전반출승인수입(외화획득용)
,,,23,수리전반출승인수입(내수용)
,,,24,면세품 판매장 수입(반입)
,,,25,면세품 판매장의 잉여품 수입(반입)
,,,26,우편물품(국제우체국 면허분)
,,,27,"종합보세구역에 반입, 자유무역지역에 반입"
,,,28,"보세공장물품,자유무역지역 잉여품통관"
,,,29,보세공장으로부터 수입(원료과세)
,,,30,보세판매장 반입물품(외국에서 직수입)
,,,31,외국으로부터 수입을 목적으로 보세공장에 반입되는 물품
,,,32,종합보세구역으로부터 수입
,,,33,보세판매장 반입물품(기타 환급대상물품반입)
,,,34,"보세공장,자유무역지역,종합보세구역에서 잉여품수입-외화획득용"
,,,35,외국자유무역지역 반입물품(시설재)
,,,36,종합보세구역(보세공장기능) 원료과세 / 종합보세구역 원료과세
,,,37,외국자유무역지역 반입물품(GDC 물품)
,,,38,항공기 잔존유 즉시반출물품 수입
,,,39,외국으로부터 수출할 목적으로 복합물류 보세창고에 반입되는 물품
,,,40,보세건설장반입물품 수리전사용승인물품(보세공장물품)
