항목명(영문),항목명(국문)
portAirptRegnCd,항구공항지역코드
,
항구공항지역코드,항구공항지역명
KRKCN,감천항
KAG,강릉공항
KRGMD,거문도항
JGE,거제공항
RKY,경의선육로
KRGIN,경인항
KRGSG,고성육로
KRKHN,고현항
KRKAN,광양항
KWJ,광주공항
KUZ,구산비행장
KUV,군산공항
KRKUV,군산항
KRZZZ,기타불개항
ZZZZZ,기타항
GMP,김포국제공항
PUS,김해국제공항
KRTJI,당진항
TAE,대구국제공항
KRDBL,대불항
KRTSN,대산항
KRDRS,도라산육로
KRTGH,동해항
KRMAS,마산항
MPK,목포공항
KRMOK,목포항
MWX,무안국제공항
KRMUK,묵호항
KRMIP,미포항
KRBOR,보령항
37,부산국제우편세관
KRBNP,부산신항
KRPUS,부산항
KRSUK,삼척항
KRSCP,삼천포항
KRSPO,서귀포항
HMY,서산공항
KRSEL,서울/김포항
10,서울세관
SSN,성남공항
KRSHO,속초항
SWU,수원공군기지
YNY,양양국제공항
RSU,여수공항
KRYOS,여수항
KRYOC,여천항
KRYMH,영일만항
YEC,예천공군기지
OSN,오산공군기지
OGH,오산공항
KROKK,옥계항
KROKP,옥포항
KRONS,온산항
KRWND,완도항
USN,울산공항
KRUSN,울산항
UJN,울진비행장
WJU,원주공항
13,인천공항국제우편세관
40,인천공항세관
ICN,인천국제공항
KRINC,인천항
KRJSP,장승포항
KRCHG,장항항
CHN,전주공항
JDG,정석비행장
CJU,제주국제공항
KRCHA,제주항
JWO,중원비행장
HIN,진주(사천)공항
CHF,진해공항
KRCHF,진해항
CJJ,청주국제공항
KRTAN,태안항
KRTYG,통영항
KRPTK,평택항
KPO,포항공항
KRSHG,포항신항
KRKPO,포항항
KRHAD,하동항
KRHSA,호산항
