cmtrBlncAmt,expCnt,expUsdAmt,impCnt,impUsdAmt,연도,시도,수출_건당USD,수입_건당USD
1338659,44619,3182605,37569,1843946,2000,광주광역시,71.3,49.1
-421857,26309,837138,38555,1258996,2000,대전광역시,31.8,32.7
1434081,75516,4747820,79515,3313739,2000,충청북도,62.9,41.7
850041,248202,4835451,140835,3985410,2000,부산광역시,19.5,28.3
-5724047,1309743,31913418,1363408,37637465,2000,서울특별시,24.4,27.6
-82108,11740,200876,7999,282985,2000,세종특별자치시,17.1,35.4
-822240,89519,19972128,90731,20794369,2000,울산광역시,223.1,229.2
-2713609,181981,7536618,155326,10250227,2000,인천광역시,41.4,66.0
7094819,105886,16789915,87055,9695096,2000,충청남도,158.6,111.4
1454014,149871,2849349,56645,1395335,2000,대구광역시,19.0,24.6
-85758,10616,199801,7978,285559,2001,세종특별자치시,18.8,35.8
-3733649,1290078,29154567,1369464,32888216,2001,서울특별시,22.6,24.0
257628,249689,4566724,153560,4309096,2001,부산광역시,18.3,28.1
-441147,27296,818479,40394,1259626,2001,대전광역시,30.0,31.2
773416,85384,3450471,77258,2677055,2001,충청북도,40.4,34.7
1385085,52829,3095249,33950,1710163,2001,광주광역시,58.6,50.4
-2790746,179723,6029760,154576,8820506,2001,인천광역시,33.6,57.1
1678945,99743,19950546,88775,18271601,2001,울산광역시,200.0,205.8
1166051,145392,2432445,55379,1266394,2001,대구광역시,16.7,22.9
2492786,105573,11452723,82811,8959938,2001,충청남도,108.5,108.2
5895585,132127,14924198,99657,9028613,2002,충청남도,113.0,90.6
1168714,159274,2558821,65690,1390108,2002,대구광역시,16.1,21.2
5233950,140680,24177072,99606,18943122,2002,울산광역시,171.9,190.2
-2702222,205449,5683728,181054,8385949,2002,인천광역시,27.7,46.3
-11017285,1280651,25862921,1586083,36880207,2002,서울특별시,20.2,23.3
-80375,16131,226315,9093,306690,2002,세종특별자치시,14.0,33.7
1856848,84859,3598332,44642,1741483,2002,광주광역시,42.4,39.0
766490,99471,4019361,90081,3252871,2002,충청북도,40.4,36.1
-492161,30218,933686,48407,1425847,2002,대전광역시,30.9,29.5
-480467,261952,4836407,175890,5316874,2002,부산광역시,18.5,30.2
1143308,114563,4731867,94095,3588560,2003,충청북도,41.3,38.1
-278957,38142,1330358,48663,1609315,2003,대전광역시,34.9,33.1
-43263,13948,223035,8141,266297,2003,세종특별자치시,16.0,32.7
-2360893,249073,8226465,200827,10587358,2003,인천광역시,33.0,52.7
8586901,173861,19582979,108935,10996078,2003,충청남도,112.6,100.9
4834273,152711,27484944,104508,22650671,2003,울산광역시,180.0,216.7
1204450,154199,2759499,66584,1555048,2003,대구광역시,17.9,23.4
-623579,264724,4844489,177040,5468068,2003,부산광역시,18.3,30.9
-14197246,1201229,27769875,1629732,41967121,2003,서울특별시,23.1,25.8
1069245,104784,4034833,54347,2965589,2003,광주광역시,38.5,54.6
-153673,49337,1837757,53696,1991429,2004,대전광역시,37.2,37.1
2250077,111772,5287582,64064,3037505,2004,광주광역시,47.3,47.4
1234594,158829,3155022,72313,1920428,2004,대구광역시,19.9,26.6
-306073,289791,6433917,190161,6739990,2004,부산광역시,22.2,35.4
7680315,173360,37470080,108034,29789765,2004,울산광역시,216.1,275.7
-2927397,280872,10652389,211284,13579786,2004,인천광역시,37.9,64.3
-12621,18802,336430,10442,349051,2004,세종특별자치시,17.9,33.4
13858646,194075,28935217,131487,15076571,2004,충청남도,149.1,114.7
-18458531,1191594,29923964,1697585,48382495,2004,서울특별시,25.1,28.5
2294157,133761,7545723,105228,5251566,2004,충청북도,56.4,49.9
-683694,280210,6762626,210443,7446320,2005,부산광역시,24.1,35.4
3509044,134409,7188572,76387,3679528,2005,광주광역시,53.5,48.2
168682,127321,5663579,109113,5494897,2005,충청북도,44.5,50.4
-26531520,1086958,24484859,1887983,51016380,2005,서울특별시,22.5,27.0
1124779,145409,3333227,79473,2208448,2005,대구광역시,22.9,27.8
-129949,55387,2161353,61949,2291302,2005,대전광역시,39.0,37.0
15588194,241747,33153969,145642,17565775,2005,충청남도,137.1,120.6
6739213,189885,45181861,110003,38442648,2005,울산광역시,237.9,349.5
68001,21081,365655,10037,297654,2005,세종특별자치시,17.3,29.7
-3426052,305145,13039613,241358,16465666,2005,인천광역시,42.7,68.2
-555720,279528,8090221,233514,8645941,2006,부산광역시,28.9,37.0
5062673,141000,9141999,80039,4079326,2006,광주광역시,64.8,51.0
5620,57917,2395862,71387,2390243,2006,대전광역시,41.4,33.5
1163501,137446,8053819,124251,6890318,2006,충청북도,58.6,55.5
937154,142173,3545631,89867,2608477,2006,대구광역시,24.9,29.0
-34057352,1069871,24717564,2077715,58774916,2006,서울특별시,23.1,28.3
5704956,195560,54939555,110913,49234599,2006,울산광역시,280.9,443.9
73772,17532,373463,8392,299691,2006,세종특별자치시,21.3,35.7
-4800972,322124,15949971,267234,20750943,2006,인천광역시,49.5,77.7
16524913,252696,38587579,155576,22062666,2006,충청남도,152.7,141.8
20892562,279252,47313906,174252,26421344,2007,충청남도,169.4,151.6
256483,22979,508975,6849,252492,2007,세종특별자치시,22.1,36.9
-3179057,338435,20935351,290090,24114408,2007,인천광역시,61.9,83.1
8721034,204469,63951549,120149,55230514,2007,울산광역시,312.8,459.7
1376336,148549,8919774,136573,7543438,2007,충청북도,60.0,55.2
-231678,61323,2580828,85997,2812506,2007,대전광역시,42.1,32.7
1190645,145304,4039853,101356,2849208,2007,대구광역시,27.8,28.1
-1117274,291362,10159704,262010,11276978,2007,부산광역시,34.9,43.0
-42273387,1052419,26978722,2229814,69252109,2007,서울특별시,25.6,31.1
5159642,127714,10143934,82297,4984292,2007,광주광역시,79.4,60.6
914372,160181,9213140,136546,8298768,2008,충청북도,57.5,60.8
1475232,151414,4534037,98345,3058806,2008,대구광역시,29.9,31.1
4535027,123003,9412071,78030,4877044,2008,광주광역시,76.5,62.5
-54024371,1073586,33296374,2518914,87320745,2008,서울특별시,31.0,34.7
-2177694,310706,12859729,264874,15037424,2008,부산광역시,41.4,56.8
235207,77036,2989513,75401,2754306,2008,대전광역시,38.8,36.5
10225,7430,250563,5918,240338,2008,세종특별자치시,33.7,40.6
13369869,275497,42685644,127762,29315775,2008,충청남도,154.9,229.5
8222053,198331,78802425,117471,70580371,2008,울산광역시,397.3,600.8
-8990924,350672,20521233,302389,29512157,2008,인천광역시,58.5,97.6
-9704,7095,208652,6477,218356,2009,세종특별자치시,29.4,33.7
-7859523,357132,15369353,329331,23228876,2009,인천광역시,43.0,70.5
20308864,331015,39219171,146456,18910307,2009,충청남도,118.5,129.1
13454683,183358,60814274,120837,47359591,2009,울산광역시,331.7,391.9
520504,80239,2850895,97651,2330391,2009,대전광역시,35.5,23.9
4796624,141779,8883164,91083,4086540,2009,광주광역시,62.7,44.9
1722966,151166,3891747,125401,2168782,2009,대구광역시,25.7,17.3
-41410001,1101339,33067259,2987868,74477261,2009,서울특별시,30.0,24.9
-1152574,307384,9497386,312534,10649960,2009,부산광역시,30.9,34.1
3111069,175789,8079892,125911,4968824,2009,충청북도,46.0,39.5
-81676,8306,266665,9011,348341,2010,세종특별자치시,32.1,38.7
29242856,382604,53787316,200645,24544460,2010,충청남도,140.6,122.3
8388871,204421,71383632,157785,62994761,2010,울산광역시,349.2,399.2
-8504300,438087,21022046,457553,29526346,2010,인천광역시,48.0,64.5
-94998,344528,12374168,425085,12469165,2010,부산광역시,35.9,29.3
-58714873,1233033,45348219,4158929,104063092,2010,서울특별시,36.8,25.0
2117351,176360,5193234,191012,3075882,2010,대구광역시,29.4,16.1
4209219,200825,10329539,159537,6120320,2010,충청북도,51.4,38.4
6028746,166041,11581353,150269,5552607,2010,광주광역시,69.7,37.0
769516,89051,3546293,140367,2776777,2010,대전광역시,39.8,19.8
-140558,373339,14561601,492455,14702159,2011,부산광역시,39.0,29.9
-67161750,1266737,56002512,4815560,123164262,2011,서울특별시,44.2,25.6
-11863746,467567,26805483,544296,38669229,2011,인천광역시,57.3,71.0
-167869,9926,358772,11907,526642,2011,세종특별자치시,36.1,44.2
3564078,205504,12169671,182916,8605593,2011,충청북도,59.2,47.0
15694232,219910,101480083,185034,85785851,2011,울산광역시,461.5,463.6
2672171,185571,6371158,237731,3698987,2011,대구광역시,34.3,15.6
1064943,87873,4122180,173164,3057237,2011,대전광역시,46.9,17.7
8116475,126063,13339695,159363,5223219,2011,광주광역시,105.8,32.8
26481942,393175,59594982,238474,33113040,2011,충청남도,151.6,138.9
-217435,382661,13556716,553235,13774151,2012,부산광역시,35.4,24.9
1377049,89092,4274036,198303,2896987,2012,대전광역시,48.0,14.6
3202549,193488,6984140,282678,3781591,2012,대구광역시,36.1,13.4
-62123821,1334218,58709249,5440236,120833070,2012,서울특별시,44.0,22.2
-13541476,494724,26710239,593443,40251715,2012,인천광역시,54.0,67.8
9601357,231490,97212707,201517,87611350,2012,울산광역시,419.9,434.8
-121220,12472,456949,15667,578170,2012,세종특별자치시,36.6,36.9
9392858,128523,14132909,169572,4740051,2012,광주광역시,110.0,28.0
4488836,211566,12044722,204139,7555885,2012,충청북도,56.9,37.0
28643941,404677,61574363,260595,32930421,2012,충청남도,152.2,126.4
-207745,396100,13263120,696713,13470865,2013,부산광역시,33.5,19.3
10952145,130783,15867619,217869,4915474,2013,광주광역시,121.3,22.6
688742,78375,4029615,261764,3340873,2013,대전광역시,51.4,12.8
3480012,201158,7011634,376454,3531622,2013,대구광역시,34.9,9.4
7597447,247894,91512584,247867,83915136,2013,울산광역시,369.2,338.5
-11371784,541156,27288110,697835,38659894,2013,인천광역시,50.4,55.4
31359421,383235,64281666,320362,32922245,2013,충청남도,167.7,102.8
7225984,216232,13735272,243431,6509288,2013,충청북도,63.5,26.7
-154123,24562,903653,26367,1057775,2013,세종특별자치시,36.8,40.1
-68324055,1416982,60315670,6422344,128639725,2013,서울특별시,42.6,20.0
-192006,415661,14702010,853339,14894016,2014,부산광역시,35.4,17.5
1173618,88997,4731529,317396,3557912,2014,대전광역시,53.2,11.2
-78143224,1475797,62329311,6907337,140472535,2014,서울특별시,42.2,20.3
4125934,209887,7807123,459624,3681189,2014,대구광역시,37.2,8.0
32008016,389766,65112462,382374,33104446,2014,충청남도,167.1,86.6
12661137,246980,92400410,291901,79739272,2014,울산광역시,374.1,273.2
8018388,229250,14195914,281385,6177525,2014,충청북도,61.9,22.0
11090893,135825,16258384,267070,5167491,2014,광주광역시,119.7,19.3
-129697,23931,1020318,36832,1150015,2014,세종특별자치시,42.6,31.2
-10349108,566595,30002762,815151,40351870,2014,인천광역시,53.0,49.5
9704007,234515,15209839,234910,5505832,2015,충청북도,64.9,23.4
9752619,127921,15304600,214784,5551980,2015,광주광역시,119.6,25.8
1201411,435309,15578684,753122,14377273,2015,부산광역시,35.8,19.1
-80394338,1833294,60273488,6006135,140667826,2015,서울특별시,32.9,23.4
682997,83692,4306950,268550,3623953,2015,대전광역시,51.5,13.5
-4238898,662156,31197699,735398,35436597,2015,인천광역시,47.1,48.2
-179675,27835,928618,44569,1108293,2015,세종특별자치시,33.4,24.9
40450357,223852,72907063,252145,32456706,2015,울산광역시,325.7,128.7
43955266,389071,67123481,318702,23168215,2015,충청남도,172.5,72.7
3213509,210473,7090442,389014,3876933,2015,대구광역시,33.7,10.0
37558351,262143,65259332,284103,27700980,2016,울산광역시,248.9,97.5
1574701,792188,35818660,861214,34243959,2016,인천광역시,45.2,39.8
43758121,401837,66210928,382488,22452807,2016,충청남도,164.8,58.7
-75103403,2145303,53427752,5616969,128531155,2016,서울특별시,24.9,22.9
2556404,223831,6915116,481212,4358712,2016,대구광역시,30.9,9.1
514269,446483,14074238,888460,13559969,2016,부산광역시,31.5,15.3
686404,80940,4163313,312844,3476908,2016,대전광역시,51.4,11.1
-129300,30651,1011836,62325,1141136,2016,세종특별자치시,33.0,18.3
9070325,124385,14698655,268094,5628330,2016,광주광역시,118.2,21.0
10343788,239883,16003871,280931,5660083,2016,충청북도,66.7,20.1
-90081504,2105083,57385884,6622244,147467388,2017,서울특별시,27.3,22.3
2774236,219408,7212866,593752,4438629,2017,대구광역시,32.9,7.5
600791,452732,15064107,1072503,14463316,2017,부산광역시,33.3,13.5
8562631,132626,14951085,341335,6388454,2017,광주광역시,112.7,18.7
-209910,27883,1024426,86911,1234336,2017,세종특별자치시,36.7,14.2
152102,792244,39286543,1024113,39134441,2017,인천광역시,49.6,38.2
13497916,253936,20000730,360235,6502815,2017,충청북도,78.8,18.1
49344231,386486,79842062,487821,30497831,2017,충청남도,206.6,62.5
36430458,259457,66699541,318429,30269083,2017,울산광역시,257.1,95.1
965773,84968,4453922,396963,3488149,2017,대전광역시,52.4,8.8
8384519,126749,14664309,403546,6279790,2018,광주광역시,115.7,15.6
-18066,29243,1229378,115264,1247443,2018,세종특별자치시,42.0,10.8
53320503,404643,91967802,567761,38647299,2018,충청남도,227.3,68.1
16555992,262455,23233402,426262,6677410,2018,충청북도,88.5,15.7
-4895405,770194,40781429,1221962,45676834,2018,인천광역시,52.9,37.4
-391997,487781,14407073,1250677,14799070,2018,부산광역시,29.5,11.8
3450180,220203,8102542,704315,4652362,2018,대구광역시,36.8,6.6
-99174927,2501017,64617983,7432362,163792910,2018,서울특별시,25.8,22.0
1089712,89299,4514583,465698,3424872,2018,대전광역시,50.6,7.4
34088431,262130,70126636,365461,36038205,2018,울산광역시,267.5,98.6
-100020030,2073011,57379003,8548878,157399033,2019,서울특별시,27.7,18.4
876354,88037,4047925,579749,3171571,2019,대전광역시,46.0,5.5
125995,500349,13924316,1527496,13798321,2019,부산광역시,27.8,9.0
36787862,264101,69530068,444263,32742207,2019,울산광역시,263.3,73.7
-277087,30086,1285154,153229,1562242,2019,세종특별자치시,42.7,10.2
-4096524,2204561,38017977,1455733,42114502,2019,인천광역시,17.2,28.9
15196314,269551,22080099,531078,6883785,2019,충청북도,81.9,13.0
45229902,426712,79950900,707524,34720998,2019,충청남도,187.4,49.1
7515783,122655,13414657,511768,5898874,2019,광주광역시,109.4,11.5
3121421,221724,7490505,880832,4369084,2019,대구광역시,33.8,5.0
-889822,2123949,37700815,1768300,38590636,2020,인천광역시,17.8,21.8
7309204,118808,13771792,625523,6462589,2020,광주광역시,115.9,10.3
27804888,248995,56090726,534467,28285839,2020,울산광역시,225.3,52.9
17863121,266966,24870280,650819,7007160,2020,충청북도,93.2,10.8
53125452,459069,79571959,869205,26446507,2020,충청남도,173.3,30.4
-1048533,520276,11319928,1847175,12368462,2020,부산광역시,21.8,6.7
1396816,96354,5018185,717934,3621369,2020,대전광역시,52.1,5.0
116128,31745,1300389,200429,1184261,2020,세종특별자치시,41.0,5.9
-94562214,4051644,53331604,9973268,147893818,2020,서울특별시,13.2,14.8
2178651,198412,6264700,1079913,4086048,2020,대구광역시,31.6,3.8
-120776885,5931944,68538224,12006085,189315108,2021,서울특별시,11.6,15.8
2693419,275202,7933676,1364222,5240258,2021,대구광역시,28.8,3.8
-567214,633984,14816262,2341819,15383476,2021,부산광역시,23.4,6.6
33572876,298739,74268500,665147,40695625,2021,울산광역시,248.6,61.2
191922,37603,1532331,255046,1340410,2021,세종특별자치시,40.8,5.3
-7503011,3017879,45948414,2221238,53451425,2021,인천광역시,15.2,24.1
8553105,137015,16602861,799406,8049756,2021,광주광역시,121.2,10.1
66873911,508960,104119537,1107844,37245626,2021,충청남도,204.6,33.6
19247420,280480,28765189,839041,9517769,2021,충청북도,102.6,11.3
1139533,108375,4952668,907140,3813135,2021,대전광역시,45.7,4.2
210980,94972,4683660,949571,4472680,2022,대전광역시,49.3,4.7
