지역명,연도,수출액,수출증감률_금액,수입액,수입증감률_금액,수지_금액,수출중량,수출증감률_중량,수입중량,수입증감률_중량,수지_중량
강원,2025,3062432,6.2,4011161,1.2,-948729,5315365260,43.4,10143361448,6.1,-4827996188
경기,2025,177611086,10.0,162050035,4.0,15561051,8911444583,0.8,42038859839,-3.6,-33127415256
경남,2025,48105205,3.7,24193484,-0.3,23911721,10415729219,-9.5,32265561421,1.9,-21849832202
경북,2025,38472823,-4.6,15392256,-15.0,23080567,10693437389,-1.0,33829497944,-3.4,-23136060555
광주,2025,17517299,12.6,8733515,17.9,8783784,1235552704,-4.9,665374944,-12.4,570177760
대구,2025,9032883,1.7,6139186,6.3,2893697,963926385,-0.4,1848390007,0.5,-884463622
대전,2025,5004627,9.0,4152842,-4.2,851785,661786165,2.3,1804219516,-5.6,-1142433351
부산,2025,14227941,-2.5,14886285,-2.5,-658344,3339468131,3.0,7266755570,-7.2,-3927287439
서울,2025,68724178,0.5,195519622,3.2,-126795444,19249485534,-2.3,97429828467,-3.1,-78180342933
세종,2025,1393260,-10.1,1661437,-2.2,-268177,102458783,-16.3,3335065186,-12.2,-3232606403
울산,2025,86834045,-1.5,48126662,2.1,38707382,53429685389,1.5,50717069639,-0.9,2712615750
인천,2025,60151675,1.1,59346015,-6.9,805659,11925566612,-2.5,70746609552,-3.7,-58821042940
전남,2025,41489711,-8.9,36209402,-10.6,5280309,46128115162,-0.5,103448236234,-0.6,-57320121072
전북,2025,6463125,1.6,5299779,-2.9,1163347,2115196391,5.7,7527247394,-3.8,-5412051003
제주,2025,340388,80.2,671207,64.3,-330819,59100031,56.0,169679873,8.4,-110579842
총계,2025,709330045,3.8,631895368,0.0,77434677,198539206602,0.7,544538593140,-2.1,-345999386538
충남,2025,97080271,4.8,37676736,-8.4,59403535,22302758530,3.8,77930022236,-2.1,-55627263706
충북,2025,33819097,26.8,7825744,8.1,25993353,1690130334,1.7,3372813870,-2.3,-1682683536
