지역명,연도,연월,수출_금액증감률,수출_중량증감률,수출액_백만불,수출중량_천톤,수출단가_USD_kg,수입_금액증감률,수입_중량증감률,수입액_백만불,수입중량_천톤,수입단가_USD_kg,수지_금액,수지_중량,중량비_수입대수출
광주,2000,2000-01-01,0.0,0.0,232.383,26.733831,8.692469104035258,0.0,0.0,139.105,24.233339,5.740232495406431,93.278,2.500492,0.9064671277378838
광주,2000,2000-02-01,0.0,0.0,214.205,28.72383,7.457396872213768,0.0,0.0,120.923,33.666202,3.5918218514817917,93.282,-4.942372,1.1720652155370646
광주,2000,2000-03-01,0.0,0.0,263.885,50.335242,5.242549544114638,0.0,0.0,162.629,35.616209,4.566151327335259,101.256,14.719033,0.7075799695171824
광주,2000,2000-04-01,0.0,0.0,239.372,53.145849,4.504058256741745,0.0,0.0,136.896,30.517419,4.485831518058588,102.476,22.62843,0.5742201803945215
광주,2000,2000-05-01,0.0,0.0,260.743,52.908723,4.92816657094521,0.0,0.0,176.339,29.636925,5.949976254284141,84.404,23.271798,0.5601519620876126
광주,2000,2000-06-01,0.0,0.0,271.739,53.7503,5.055581085128827,0.0,0.0,157.775,37.322764,4.227312853892601,113.964,16.427536,0.6943731290802098
광주,2000,2000-07-01,0.0,0.0,284.95,37.060144,7.688853016869012,0.0,0.0,156.694,29.292131,5.349354746501714,128.256,7.768013,0.7903944194064654
광주,2000,2000-08-01,0.0,0.0,265.628,28.625417,9.279445605980168,0.0,0.0,196.732,18.11918,10.857665744255534,68.896,10.506237,0.6329752331642889
광주,2000,2000-09-01,0.0,0.0,285.764,33.239852,8.597029854404887,0.0,0.0,140.274,22.717265,6.174775000423686,145.49,10.522587,0.6834346013333633
광주,2000,2000-10-01,0.0,0.0,282.455,36.081665,7.828214135905314,0.0,0.0,150.02,22.063723,6.799396457252477,132.435,14.017942,0.6114940372069859
광주,2000,2000-11-01,0.0,0.0,285.935,40.915271,6.988466482355696,0.0,0.0,144.108,19.889286,7.245508963971859,141.827,21.025985,0.48610911070343393
광주,2000,2000-12-01,0.0,0.0,295.547,45.639943,6.475621584365257,0.0,0.0,162.45,21.326098,7.6174272480601,133.097,24.313845,0.46726828734207665
광주,2001,2001-01-01,12.1,4.2,260.507,27.850012,9.353927746961114,29.6,-22.2,180.243,18.843211,9.565407933923789,80.264,9.006801,0.6765961537108135
광주,2001,2001-02-01,30.6,50.1,279.769,43.119065,6.488290040611966,11.7,-29.2,135.124,23.842489,5.6673613228887305,144.645,19.276576,0.5529454082550259
광주,2001,2001-03-01,1.8,-20.8,268.708,39.869152,6.739747060584584,-12.3,-23.8,142.551,27.155773,5.249381043213169,126.157,12.713379,0.6811224126362155
광주,2001,2001-04-01,-5.7,-34.5,225.694,34.831982,6.479504956106144,2.7,-3.3,140.591,29.515012,4.763372618652501,85.103,5.31697,0.8473537911221934
광주,2001,2001-05-01,-1.6,-28.7,256.518,37.69882,6.804403957471348,-21.6,-6.2,138.246,27.791422,4.974412608322093,118.272,9.907398,0.7371960713889718
광주,2001,2001-06-01,-24.8,-44.0,204.303,30.098444,6.787825975322844,-22.4,7.8,122.374,40.240425,3.0410712610515422,81.929,-10.141981,1.3369603093103417
광주,2001,2001-07-01,-35.2,-29.6,184.612,26.072965,7.0805909492840575,-13.2,1.6,136.014,29.75987,4.570382867935915,48.598,-3.686905,1.1414072009071465
광주,2001,2001-08-01,-3.0,7.2,257.619,30.682062,8.396404387684244,-21.1,78.9,155.192,32.417054,4.787356679604507,102.427,-1.734992,1.0565474380437665
