지역명,연도,수출_금액증감률,수출_중량증감률,수출액_백만불,수출중량_천톤,수출단가_USD_kg,수입_금액증감률,수입_중량증감률,수입액_백만불,수입중량_천톤,수입단가_USD_kg,수지_금액,수지_중량,중량비_수입대수출
광주,2000,0.0,0.0,3182.605,487.160067,6.532975946897552,0.0,0.0,1843.946,324.400541,5.684164379984804,1338659,162759526,0.665901339158819
광주,2001,-2.7,-6.7,3095.249,454.740392,6.806628692882861,-7.3,7.6,1710.163,349.096882,4.898820608773011,1385086,105643510,0.7676839096360721
광주,2002,16.3,68.2,3598.332,765.072449,4.703256540871726,1.8,-2.9,1741.483,338.84388,5.139484886077919,1856849,426228569,0.44289123264455704
광주,2003,12.1,-6.9,4034.833,711.917217,5.667559238141027,70.3,5.0,2965.589,355.766227,8.33578000083746,1069244,356150990,0.49972976984485545
광주,2004,31.0,13.7,5287.582,809.167926,6.534591683753911,2.4,-18.0,3037.505,291.812208,10.409108723785812,2250077,517355718,0.3606324455326965
광주,2005,36.0,30.4,7188.572,1055.181727,6.812638824250603,21.1,6.3,3679.528,310.254546,11.85970696461608,3509044,744927181,0.2940294909030395
광주,2006,27.2,5.7,9141.999,1115.04772,8.198751350300954,10.9,22.1,4079.326,378.813374,10.768695827513207,5062673,736234346,0.3397283965568756
광주,2007,11.0,11.1,10143.934,1238.516329,8.190391811943563,22.2,21.8,4984.292,461.515517,10.799836227391678,5159642,777000812,0.3726357950989922
광주,2008,-7.2,0.1,9412.071,1239.962021,7.5906123256979985,-2.2,2.0,4877.044,470.788299,10.359314388992493,4535027,769173722,0.3796796119774059
광주,2009,-5.6,2.8,8883.164,1274.705261,6.968798413078802,-16.2,4.4,4086.54,491.333614,8.317240839133795,4796624,783371647,0.38544880062278175
광주,2010,30.4,29.6,11581.353,1652.494842,7.008404931529584,35.9,17.9,5552.607,579.115892,9.588075680022955,6028746,1073378950,0.35044944001102063
광주,2011,15.2,4.0,13339.695,1719.185823,7.759309564757852,-5.9,0.4,5223.219,581.569293,8.981249634168702,8116476,1137616530,0.33828181062193413
광주,2012,5.9,6.2,14132.909,1825.662051,7.741251450266356,-9.3,-4.5,4740.051,555.400455,8.534474463115087,9392858,1270261596,0.30421865574506596
광주,2013,12.3,-2.5,15867.619,1779.224111,8.918280109795568,3.7,-6.2,4915.474,521.047663,9.433827937541292,10952145,1258176448,0.2928510578170779
광주,2014,2.5,7.5,16258.384,1913.497156,8.49668574056663,5.1,1.0,5167.491,526.2753,9.818988274767978,11090893,1387221856,0.2750332282176645
광주,2015,-5.9,-8.1,15304.6,1758.9087,8.701190687157327,7.4,13.1,5551.98,595.187177,9.328124352383352,9752620,1163721523,0.3383843499096912
광주,2016,-4.0,-3.6,14698.655,1695.809083,8.667635494673194,1.4,29.2,5628.33,768.745446,7.3214482495939235,9070325,927063637,0.45332075037600206
