행정구역별,산업별,산업코드,연도,지표,단위,값,지수
전 국,전체 산업,0,2021,사업체수,개,6079702,100.0
전 국,"농업, 임업 및 어업",01~03,2021,사업체수,개,12775,100.0
전 국,광업,05~08,2021,사업체수,개,2104,100.0
전 국,제조업,10~34,2021,사업체수,개,579050,100.0
전 국,"전기, 가스, 증기 및 공기조절 공급업",35,2021,사업체수,개,88513,100.0
전 국,"수도, 하수 및 폐기물 처리, 원료 재생업",36~39,2021,사업체수,개,13296,100.0
전 국,건설업,41~42,2021,사업체수,개,485078,100.0
전 국,도매 및 소매업,45~47,2021,사업체수,개,1536229,100.0
전 국,운수 및 창고업,49~52,2021,사업체수,개,616484,100.0
전 국,숙박 및 음식점업,55~56,2021,사업체수,개,863009,100.0
전 국,정보통신업,58~63,2021,사업체수,개,120745,100.0
전 국,금융 및 보험업,64~66,2021,사업체수,개,64035,100.0
전 국,부동산업,68,2021,사업체수,개,285968,100.0
전 국,"전문, 과학 및 기술 서비스업",70~73,2021,사업체수,개,223434,100.0
전 국,"사업시설 관리, 사업 지원 및 임대 서비스업",74~76,2021,사업체수,개,142424,100.0
전 국,"공공행정, 국방 및 사회보장 행정",84,2021,사업체수,개,13052,100.0
전 국,교육 서비스업,85,2021,사업체수,개,249231,100.0
전 국,보건업 및 사회복지 서비스업,86~87,2021,사업체수,개,162288,100.0
전 국,"예술, 스포츠 및 여가관련 서비스업",90~91,2021,사업체수,개,143372,100.0
전 국,"협회 및 단체, 수리 및 기타 개인 서비스업",94~96,2021,사업체수,개,478615,100.0
서 울,전체 산업,0,2021,사업체수,개,1188091,100.0
서 울,"농업, 임업 및 어업",01~03,2021,사업체수,개,154,100.0
서 울,광업,05~08,2021,사업체수,개,25,100.0
서 울,제조업,10~34,2021,사업체수,개,76870,100.0
서 울,"전기, 가스, 증기 및 공기조절 공급업",35,2021,사업체수,개,683,100.0
서 울,"수도, 하수 및 폐기물 처리, 원료 재생업",36~39,2021,사업체수,개,720,100.0
서 울,건설업,41~42,2021,사업체수,개,67382,100.0
서 울,도매 및 소매업,45~47,2021,사업체수,개,335817,100.0
서 울,운수 및 창고업,49~52,2021,사업체수,개,110339,100.0
서 울,숙박 및 음식점업,55~56,2021,사업체수,개,141679,100.0
서 울,정보통신업,58~63,2021,사업체수,개,57615,100.0
서 울,금융 및 보험업,64~66,2021,사업체수,개,23262,100.0
서 울,부동산업,68,2021,사업체수,개,72984,100.0
서 울,"전문, 과학 및 기술 서비스업",70~73,2021,사업체수,개,82402,100.0
서 울,"사업시설 관리, 사업 지원 및 임대 서비스업",74~76,2021,사업체수,개,31460,100.0
서 울,"공공행정, 국방 및 사회보장 행정",84,2021,사업체수,개,1369,100.0
서 울,교육 서비스업,85,2021,사업체수,개,46855,100.0
서 울,보건업 및 사회복지 서비스업,86~87,2021,사업체수,개,31866,100.0
서 울,"예술, 스포츠 및 여가관련 서비스업",90~91,2021,사업체수,개,28722,100.0
서 울,"협회 및 단체, 수리 및 기타 개인 서비스업",94~96,2021,사업체수,개,77887,100.0
부 산,전체 산업,0,2021,사업체수,개,401254,100.0
부 산,"농업, 임업 및 어업",01~03,2021,사업체수,개,164,100.0
부 산,광업,05~08,2021,사업체수,개,20,100.0
부 산,제조업,10~34,2021,사업체수,개,38105,100.0
부 산,"전기, 가스, 증기 및 공기조절 공급업",35,2021,사업체수,개,299,100.0
부 산,"수도, 하수 및 폐기물 처리, 원료 재생업",36~39,2021,사업체수,개,636,100.0
부 산,건설업,41~42,2021,사업체수,개,26204,100.0
부 산,도매 및 소매업,45~47,2021,사업체수,개,110109,100.0
부 산,운수 및 창고업,49~52,2021,사업체수,개,49764,100.0
부 산,숙박 및 음식점업,55~56,2021,사업체수,개,57185,100.0
부 산,정보통신업,58~63,2021,사업체수,개,4111,100.0
부 산,금융 및 보험업,64~66,2021,사업체수,개,3981,100.0
부 산,부동산업,68,2021,사업체수,개,20972,100.0
부 산,"전문, 과학 및 기술 서비스업",70~73,2021,사업체수,개,12634,100.0
부 산,"사업시설 관리, 사업 지원 및 임대 서비스업",74~76,2021,사업체수,개,9303,100.0
부 산,"공공행정, 국방 및 사회보장 행정",84,2021,사업체수,개,723,100.0
부 산,교육 서비스업,85,2021,사업체수,개,16039,100.0
부 산,보건업 및 사회복지 서비스업,86~87,2021,사업체수,개,10292,100.0
부 산,"예술, 스포츠 및 여가관련 서비스업",90~91,2021,사업체수,개,8188,100.0
부 산,"협회 및 단체, 수리 및 기타 개인 서비스업",94~96,2021,사업체수,개,32525,100.0
대 구,전체 산업,0,2021,사업체수,개,279798,100.0
대 구,"농업, 임업 및 어업",01~03,2021,사업체수,개,58,100.0
대 구,광업,05~08,2021,사업체수,개,9,100.0
대 구,제조업,10~34,2021,사업체수,개,32690,100.0
대 구,"전기, 가스, 증기 및 공기조절 공급업",35,2021,사업체수,개,651,100.0
대 구,"수도, 하수 및 폐기물 처리, 원료 재생업",36~39,2021,사업체수,개,467,100.0
대 구,건설업,41~42,2021,사업체수,개,19393,100.0
대 구,도매 및 소매업,45~47,2021,사업체수,개,74078,100.0
대 구,운수 및 창고업,49~52,2021,사업체수,개,31075,100.0
대 구,숙박 및 음식점업,55~56,2021,사업체수,개,38117,100.0
대 구,정보통신업,58~63,2021,사업체수,개,2812,100.0
대 구,금융 및 보험업,64~66,2021,사업체수,개,2789,100.0
대 구,부동산업,68,2021,사업체수,개,12607,100.0
대 구,"전문, 과학 및 기술 서비스업",70~73,2021,사업체수,개,8299,100.0
대 구,"사업시설 관리, 사업 지원 및 임대 서비스업",74~76,2021,사업체수,개,5524,100.0
대 구,"공공행정, 국방 및 사회보장 행정",84,2021,사업체수,개,468,100.0
대 구,교육 서비스업,85,2021,사업체수,개,13107,100.0
대 구,보건업 및 사회복지 서비스업,86~87,2021,사업체수,개,7663,100.0
대 구,"예술, 스포츠 및 여가관련 서비스업",90~91,2021,사업체수,개,6364,100.0
대 구,"협회 및 단체, 수리 및 기타 개인 서비스업",94~96,2021,사업체수,개,23627,100.0
인 천,전체 산업,0,2021,사업체수,개,308892,100.0
인 천,"농업, 임업 및 어업",01~03,2021,사업체수,개,132,100.0
인 천,광업,05~08,2021,사업체수,개,35,100.0
인 천,제조업,10~34,2021,사업체수,개,33574,100.0
인 천,"전기, 가스, 증기 및 공기조절 공급업",35,2021,사업체수,개,442,100.0
인 천,"수도, 하수 및 폐기물 처리, 원료 재생업",36~39,2021,사업체수,개,750,100.0
인 천,건설업,41~42,2021,사업체수,개,24979,100.0
인 천,도매 및 소매업,45~47,2021,사업체수,개,78576,100.0
인 천,운수 및 창고업,49~52,2021,사업체수,개,38766,100.0
인 천,숙박 및 음식점업,55~56,2021,사업체수,개,41752,100.0
인 천,정보통신업,58~63,2021,사업체수,개,4194,100.0
인 천,금융 및 보험업,64~66,2021,사업체수,개,2365,100.0
인 천,부동산업,68,2021,사업체수,개,14678,100.0
인 천,"전문, 과학 및 기술 서비스업",70~73,2021,사업체수,개,8722,100.0
인 천,"사업시설 관리, 사업 지원 및 임대 서비스업",74~76,2021,사업체수,개,7563,100.0
인 천,"공공행정, 국방 및 사회보장 행정",84,2021,사업체수,개,509,100.0
인 천,교육 서비스업,85,2021,사업체수,개,11644,100.0
인 천,보건업 및 사회복지 서비스업,86~87,2021,사업체수,개,8230,100.0
인 천,"예술, 스포츠 및 여가관련 서비스업",90~91,2021,사업체수,개,7871,100.0
인 천,"협회 및 단체, 수리 및 기타 개인 서비스업",94~96,2021,사업체수,개,24110,100.0
광 주,전체 산업,0,2021,사업체수,개,170973,100.0
광 주,"농업, 임업 및 어업",01~03,2021,사업체수,개,115,100.0
광 주,광업,05~08,2021,사업체수,개,11,100.0
광 주,제조업,10~34,2021,사업체수,개,11572,100.0
광 주,"전기, 가스, 증기 및 공기조절 공급업",35,2021,사업체수,개,1711,100.0
광 주,"수도, 하수 및 폐기물 처리, 원료 재생업",36~39,2021,사업체수,개,250,100.0
광 주,건설업,41~42,2021,사업체수,개,15769,100.0
광 주,도매 및 소매업,45~47,2021,사업체수,개,43193,100.0
광 주,운수 및 창고업,49~52,2021,사업체수,개,18986,100.0
광 주,숙박 및 음식점업,55~56,2021,사업체수,개,22526,100.0
광 주,정보통신업,58~63,2021,사업체수,개,1820,100.0
광 주,금융 및 보험업,64~66,2021,사업체수,개,2013,100.0
광 주,부동산업,68,2021,사업체수,개,9332,100.0
광 주,"전문, 과학 및 기술 서비스업",70~73,2021,사업체수,개,5762,100.0
광 주,"사업시설 관리, 사업 지원 및 임대 서비스업",74~76,2021,사업체수,개,4009,100.0
광 주,"공공행정, 국방 및 사회보장 행정",84,2021,사업체수,개,286,100.0
광 주,교육 서비스업,85,2021,사업체수,개,7980,100.0
광 주,보건업 및 사회복지 서비스업,86~87,2021,사업체수,개,5316,100.0
광 주,"예술, 스포츠 및 여가관련 서비스업",90~91,2021,사업체수,개,4631,100.0
광 주,"협회 및 단체, 수리 및 기타 개인 서비스업",94~96,2021,사업체수,개,15691,100.0
대 전,전체 산업,0,2021,사업체수,개,164095,100.0
대 전,"농업, 임업 및 어업",01~03,2021,사업체수,개,96,100.0
대 전,광업,05~08,2021,사업체수,개,10,100.0
대 전,제조업,10~34,2021,사업체수,개,11047,100.0
대 전,"전기, 가스, 증기 및 공기조절 공급업",35,2021,사업체수,개,455,100.0
대 전,"수도, 하수 및 폐기물 처리, 원료 재생업",36~39,2021,사업체수,개,230,100.0
대 전,건설업,41~42,2021,사업체수,개,13145,100.0
대 전,도매 및 소매업,45~47,2021,사업체수,개,43994,100.0
대 전,운수 및 창고업,49~52,2021,사업체수,개,17999,100.0
대 전,숙박 및 음식점업,55~56,2021,사업체수,개,23357,100.0
대 전,정보통신업,58~63,2021,사업체수,개,2898,100.0
대 전,금융 및 보험업,64~66,2021,사업체수,개,1681,100.0
대 전,부동산업,68,2021,사업체수,개,7297,100.0
대 전,"전문, 과학 및 기술 서비스업",70~73,2021,사업체수,개,5806,100.0
대 전,"사업시설 관리, 사업 지원 및 임대 서비스업",74~76,2021,사업체수,개,3954,100.0
대 전,"공공행정, 국방 및 사회보장 행정",84,2021,사업체수,개,292,100.0
대 전,교육 서비스업,85,2021,사업체수,개,7382,100.0
대 전,보건업 및 사회복지 서비스업,86~87,2021,사업체수,개,5141,100.0
대 전,"예술, 스포츠 및 여가관련 서비스업",90~91,2021,사업체수,개,4250,100.0
대 전,"협회 및 단체, 수리 및 기타 개인 서비스업",94~96,2021,사업체수,개,15061,100.0
울 산,전체 산업,0,2021,사업체수,개,115408,100.0
울 산,"농업, 임업 및 어업",01~03,2021,사업체수,개,101,100.0
울 산,광업,05~08,2021,사업체수,개,16,100.0
울 산,제조업,10~34,2021,사업체수,개,10025,100.0
울 산,"전기, 가스, 증기 및 공기조절 공급업",35,2021,사업체수,개,264,100.0
울 산,"수도, 하수 및 폐기물 처리, 원료 재생업",36~39,2021,사업체수,개,314,100.0
울 산,건설업,41~42,2021,사업체수,개,9929,100.0
울 산,도매 및 소매업,45~47,2021,사업체수,개,26003,100.0
울 산,운수 및 창고업,49~52,2021,사업체수,개,12621,100.0
울 산,숙박 및 음식점업,55~56,2021,사업체수,개,20519,100.0
울 산,정보통신업,58~63,2021,사업체수,개,773,100.0
울 산,금융 및 보험업,64~66,2021,사업체수,개,1123,100.0
울 산,부동산업,68,2021,사업체수,개,4912,100.0
울 산,"전문, 과학 및 기술 서비스업",70~73,2021,사업체수,개,3156,100.0
울 산,"사업시설 관리, 사업 지원 및 임대 서비스업",74~76,2021,사업체수,개,2693,100.0
울 산,"공공행정, 국방 및 사회보장 행정",84,2021,사업체수,개,221,100.0
