시도별,산업별,항목,날짜,지수
강원도,광업,생산자제품 출하지수(계절조정),2018-01-01,101.419
강원도,광업,생산자제품 출하지수(계절조정),2018-02-01,104.128
강원도,광업,생산자제품 출하지수(계절조정),2018-03-01,105.504
강원도,광업,생산자제품 출하지수(계절조정),2018-04-01,113.284
강원도,광업,생산자제품 출하지수(계절조정),2018-05-01,113.229
강원도,광업,생산자제품 출하지수(계절조정),2018-06-01,115.207
강원도,광업,생산자제품 출하지수(계절조정),2018-07-01,119.879
강원도,광업,생산자제품 출하지수(계절조정),2018-08-01,102.807
강원도,광업,생산자제품 출하지수(계절조정),2018-09-01,115.021
강원도,광업,생산자제품 출하지수(계절조정),2018-10-01,122.138
강원도,광업,생산자제품 출하지수(계절조정),2018-11-01,122.642
강원도,광업,생산자제품 출하지수(계절조정),2018-12-01,95.295
강원도,광업,생산자제품 출하지수(계절조정),2019-01-01,110.668
강원도,광업,생산자제품 출하지수(계절조정),2019-02-01,112.668
강원도,광업,생산자제품 출하지수(계절조정),2019-03-01,108.016
강원도,광업,생산자제품 출하지수(계절조정),2019-04-01,104.328
강원도,광업,생산자제품 출하지수(계절조정),2019-05-01,117.418
강원도,광업,생산자제품 출하지수(계절조정),2019-06-01,112.213
강원도,광업,생산자제품 출하지수(계절조정),2019-07-01,102.569
강원도,광업,생산자제품 출하지수(계절조정),2019-08-01,104.941
강원도,광업,생산자제품 출하지수(계절조정),2019-09-01,106.972
강원도,광업,생산자제품 출하지수(계절조정),2019-10-01,109.958
강원도,광업,생산자제품 출하지수(계절조정),2019-11-01,98.939
강원도,광업,생산자제품 출하지수(계절조정),2019-12-01,105.781
강원도,광업,생산자제품 출하지수(계절조정),2020-01-01,100.2
강원도,광업,생산자제품 출하지수(계절조정),2020-02-01,101.5
강원도,광업,생산자제품 출하지수(계절조정),2020-03-01,87.9
강원도,광업,생산자제품 출하지수(계절조정),2020-04-01,99.8
강원도,광업,생산자제품 출하지수(계절조정),2020-05-01,97.5
강원도,광업,생산자제품 출하지수(계절조정),2020-06-01,98.9
강원도,광업,생산자제품 출하지수(계절조정),2020-07-01,94.9
강원도,광업,생산자제품 출하지수(계절조정),2020-08-01,90.7
강원도,광업,생산자제품 출하지수(계절조정),2020-09-01,88.2
강원도,광업,생산자제품 출하지수(계절조정),2020-10-01,107.5
강원도,광업,생산자제품 출하지수(계절조정),2020-11-01,113.9
강원도,광업,생산자제품 출하지수(계절조정),2020-12-01,115.6
강원도,광업,생산자제품 출하지수(계절조정),2021-01-01,105.5
강원도,광업,생산자제품 출하지수(계절조정),2021-02-01,105.3
강원도,광업,생산자제품 출하지수(계절조정),2021-03-01,101.2
강원도,광업,생산자제품 출하지수(계절조정),2021-04-01,109.4
강원도,광업,생산자제품 출하지수(계절조정),2021-05-01,103.0
강원도,광업,생산자제품 출하지수(계절조정),2021-06-01,106.1
강원도,광업,생산자제품 출하지수(계절조정),2021-07-01,115.5
강원도,광업,생산자제품 출하지수(계절조정),2021-08-01,107.6
강원도,광업,생산자제품 출하지수(계절조정),2021-09-01,99.0
강원도,광업,생산자제품 출하지수(계절조정),2021-10-01,101.1
강원도,광업,생산자제품 출하지수(계절조정),2021-11-01,112.9
강원도,광업,생산자제품 출하지수(계절조정),2021-12-01,91.9
강원도,광업,생산자제품 출하지수(계절조정),2022-01-01,100.1
강원도,광업,생산자제품 출하지수(계절조정),2022-02-01,88.1
강원도,광업,생산자제품 출하지수(계절조정),2022-03-01,91.2
강원도,광업,생산자제품 출하지수(계절조정),2022-04-01,104.4
강원도,광업,생산자제품 출하지수(계절조정),2022-05-01,107.3
강원도,광업,생산자제품 출하지수(계절조정),2022-06-01,100.7
강원도,광업,생산자제품 출하지수(계절조정),2022-07-01,106.0
강원도,광업,생산자제품 출하지수(계절조정),2022-08-01,103.6
강원도,광업,생산자제품 출하지수(계절조정),2022-09-01,104.1
강원도,광업,생산자제품 출하지수(계절조정),2022-10-01,104.8
강원도,광업,생산자제품 출하지수(계절조정),2022-11-01,101.2
강원도,광업,생산자제품 출하지수(계절조정),2022-12-01,94.4
강원도,광업,생산자제품 출하지수(계절조정),2023-01-01,109.8
강원도,광업,생산자제품 출하지수(계절조정),2023-02-01,120.4
강원도,광업,생산자제품 출하지수(계절조정),2023-03-01,110.9
강원도,광업,생산자제품 출하지수(계절조정),2023-04-01,100.0
강원도,광업,생산자제품 출하지수(계절조정),2023-05-01,98.3
강원도,광업,생산자제품 출하지수(계절조정),2023-06-01,97.9
강원도,광업,생산자제품 출하지수(계절조정),2023-07-01,90.2
강원도,광업,생산자제품 출하지수(계절조정),2023-08-01,101.9
강원도,광업,생산자제품 출하지수(계절조정),2023-09-01,113.0
강원도,광업,생산자제품 출하지수(계절조정),2023-10-01,120.8
강원도,광업,생산자제품 출하지수(계절조정),2023-11-01,98.0
강원도,광업,생산자제품 출하지수(계절조정),2023-12-01,95.5
강원도,광업,생산자제품 출하지수(계절조정),2024-01-01,109.1
강원도,광업,생산자제품 출하지수(계절조정),2024-02-01,105.0
강원도,광업,생산자제품 출하지수(계절조정),2024-03-01,103.3
강원도,광업,생산자제품 출하지수(계절조정),2024-04-01,99.8
강원도,광업,생산자제품 출하지수(계절조정),2024-05-01,100.5
강원도,광업,생산자제품 출하지수(계절조정),2024-06-01,95.1
강원도,광업,생산자제품 출하지수(계절조정),2024-07-01,82.6
강원도,광업,생산자제품 출하지수(계절조정),2024-08-01,96.3
강원도,광업,생산자제품 출하지수(계절조정),2024-09-01,94.0
강원도,광업,생산자제품 출하지수(계절조정),2024-10-01,92.5
강원도,광업,생산자제품 출하지수(계절조정),2024-11-01,94.7
강원도,광업,생산자제품 출하지수(계절조정),2024-12-01,102.4
강원도,광업,생산자제품 출하지수(계절조정),2025-01-01,196.3
강원도,광업,생산자제품 출하지수(계절조정),2025-02-01,91.9
강원도,광업,생산자제품 출하지수(계절조정),2025-03-01,92.2
강원도,광업,생산자제품 출하지수(계절조정),2025-04-01,89.9
강원도,광업,생산자제품 출하지수(계절조정),2025-05-01,84.5
강원도,광업,생산자제품 출하지수(계절조정),2025-06-01,76.9
강원도,광업,생산자제품 출하지수(계절조정),2025-07-01,89.0
강원도,광업,생산자제품 출하지수(계절조정),2025-08-01,91.9
강원도,광업,생산자제품 출하지수(계절조정),2025-09-01,86.8
강원도,광업,생산자제품 출하지수(계절조정),2025-10-01,82.2
강원도,광업,생산자제품 출하지수(계절조정),2025-11-01,80.4
강원도,광업,생산자제품 출하지수(계절조정),2025-12-01,89.6
강원도,광업,생산자제품 출하지수(계절조정),2026-01-01,84.6
강원도,광업,생산자제품 출하지수(계절조정),2026-02-01,79.2
강원도,광업,생산자제품 출하지수(계절조정),2026-03-01,87.7
강원도,광업,생산자제품 출하지수(계절조정),2026-04-01,88.6
강원도,광업,생산자제품 출하지수(계절조정),2026-05-01,86.9
강원도,광업,생산자제품 출하지수(계절조정),2026-06-01,86.0
강원도,광업,생산자제품 출하지수(원지수),2018-01-01,89.8
강원도,광업,생산자제품 출하지수(원지수),2018-02-01,82.594
강원도,광업,생산자제품 출하지수(원지수),2018-03-01,99.113
강원도,광업,생산자제품 출하지수(원지수),2018-04-01,114.08
