시도별,산업별,산업코드,연도,지표,단위,값,비고
전국,광업 및 제조업,,2021,사업체수,개,72864.0,
전국,광업,05~08,2021,사업체수,개,354.0,
전국,제조업,10~34,2021,사업체수,개,72510.0,
서울특별시,광업 및 제조업,,2021,사업체수,개,3938.0,
서울특별시,광업,05~08,2021,사업체수,개,1.0,
서울특별시,제조업,10~34,2021,사업체수,개,3937.0,
부산광역시,광업 및 제조업,,2021,사업체수,개,4293.0,
부산광역시,광업,05~08,2021,사업체수,개,2.0,
부산광역시,제조업,10~34,2021,사업체수,개,4291.0,
대구광역시,광업 및 제조업,,2021,사업체수,개,3296.0,
대구광역시,광업,05~08,2021,사업체수,개,1.0,
대구광역시,제조업,10~34,2021,사업체수,개,3295.0,
인천광역시,광업 및 제조업,,2021,사업체수,개,4747.0,
인천광역시,광업,05~08,2021,사업체수,개,15.0,
인천광역시,제조업,10~34,2021,사업체수,개,4732.0,
광주광역시,광업 및 제조업,,2021,사업체수,개,1316.0,
광주광역시,광업,05~08,2021,사업체수,개,2.0,
광주광역시,제조업,10~34,2021,사업체수,개,1314.0,
대전광역시,광업 및 제조업,,2021,사업체수,개,973.0,
대전광역시,광업,05~08,2021,사업체수,개,0.0,-
대전광역시,제조업,10~34,2021,사업체수,개,973.0,
울산광역시,광업 및 제조업,,2021,사업체수,개,1826.0,
울산광역시,광업,05~08,2021,사업체수,개,9.0,
울산광역시,제조업,10~34,2021,사업체수,개,1817.0,
세종특별자치시,광업 및 제조업,,2021,사업체수,개,330.0,
세종특별자치시,광업,05~08,2021,사업체수,개,4.0,
세종특별자치시,제조업,10~34,2021,사업체수,개,326.0,
경기도,광업 및 제조업,,2021,사업체수,개,26015.0,
경기도,광업,05~08,2021,사업체수,개,44.0,
경기도,제조업,10~34,2021,사업체수,개,25971.0,
강원특별자치도,광업 및 제조업,,2021,사업체수,개,1184.0,
강원특별자치도,광업,05~08,2021,사업체수,개,75.0,
강원특별자치도,제조업,10~34,2021,사업체수,개,1109.0,
충청북도,광업 및 제조업,,2021,사업체수,개,3492.0,
충청북도,광업,05~08,2021,사업체수,개,40.0,
충청북도,제조업,10~34,2021,사업체수,개,3452.0,
충청남도,광업 및 제조업,,2021,사업체수,개,4693.0,
충청남도,광업,05~08,2021,사업체수,개,27.0,
충청남도,제조업,10~34,2021,사업체수,개,4666.0,
전라북도,광업 및 제조업,,2021,사업체수,개,1938.0,
전라북도,광업,05~08,2021,사업체수,개,29.0,
전라북도,제조업,10~34,2021,사업체수,개,1909.0,
전라남도,광업 및 제조업,,2021,사업체수,개,2051.0,
전라남도,광업,05~08,2021,사업체수,개,35.0,
전라남도,제조업,10~34,2021,사업체수,개,2016.0,
경상북도,광업 및 제조업,,2021,사업체수,개,5357.0,
경상북도,광업,05~08,2021,사업체수,개,40.0,
경상북도,제조업,10~34,2021,사업체수,개,5317.0,
경상남도,광업 및 제조업,,2021,사업체수,개,7182.0,
경상남도,광업,05~08,2021,사업체수,개,23.0,
경상남도,제조업,10~34,2021,사업체수,개,7159.0,
제주특별자치도,광업 및 제조업,,2021,사업체수,개,233.0,
제주특별자치도,광업,05~08,2021,사업체수,개,7.0,
제주특별자치도,제조업,10~34,2021,사업체수,개,226.0,
전국,광업 및 제조업,,2021,종사자수,명,2948677.0,
전국,광업,05~08,2021,종사자수,명,10734.0,
전국,제조업,10~34,2021,종사자수,명,2937943.0,
서울특별시,광업 및 제조업,,2021,종사자수,명,97789.0,
서울특별시,광업,05~08,2021,종사자수,명,,X
서울특별시,제조업,10~34,2021,종사자수,명,97777.0,
부산광역시,광업 및 제조업,,2021,종사자수,명,130493.0,
부산광역시,광업,05~08,2021,종사자수,명,,X
부산광역시,제조업,10~34,2021,종사자수,명,130449.0,
