연도,품목,지역,구분,물동량_톤
2022,농산물,서울,반입,1574543
2022,농산물,서울,반출,3530
2022,농산물,서울,합계,1578073
2022,농산물,부산,반입,630625
2022,농산물,부산,반출,388765
2022,농산물,부산,합계,1019390
2022,농산물,대구,반입,584984
2022,농산물,대구,반출,103725
2022,농산물,대구,합계,688709
2022,농산물,인천,반입,729148
2022,농산물,인천,반출,1968180
2022,농산물,인천,합계,2697328
2022,농산물,광주,반입,352597
2022,농산물,광주,반출,100901
2022,농산물,광주,합계,453498
2022,농산물,세종,반입,172174
2022,농산물,세종,반출,77454
2022,농산물,세종,합계,249628
2022,농산물,대전,반입,513403
2022,농산물,대전,반출,26402
2022,농산물,대전,합계,539805
2022,농산물,울산,반입,271944
2022,농산물,울산,반출,747183
2022,농산물,울산,합계,1019127
2022,농산물,경기,반입,4217902
2022,농산물,경기,반출,3625542
2022,농산물,경기,합계,7843444
2022,농산물,강원,반입,709657
2022,농산물,강원,반출,1298754
2022,농산물,강원,합계,2008411
2022,농산물,충북,반입,2257643
2022,농산물,충북,반출,885562
2022,농산물,충북,합계,3143205
2022,농산물,충남,반입,3330114
2022,농산물,충남,반출,2056693
2022,농산물,충남,합계,5386807
2022,농산물,전북,반입,1776209
2022,농산물,전북,반출,2106812
2022,농산물,전북,합계,3883021
2022,농산물,전남,반입,970763
2022,농산물,전남,반출,3455534
2022,농산물,전남,합계,4426297
2022,농산물,경북,반입,1369296
2022,농산물,경북,반출,2465241
2022,농산물,경북,합계,3834537
2022,농산물,경남,반입,1380260
2022,농산물,경남,반출,1530984
2022,농산물,경남,합계,2911244
2022,농산물,제주,반입,0
2022,농산물,제주,반출,0
2022,농산물,제주,합계,0
2022,임산물,서울,반입,326699
2022,임산물,서울,반출,4476
2022,임산물,서울,합계,331175
2022,임산물,부산,반입,154944
2022,임산물,부산,반출,3782
2022,임산물,부산,합계,158726
2022,임산물,대구,반입,93668
2022,임산물,대구,반출,7135
2022,임산물,대구,합계,100803
2022,임산물,인천,반입,325475
2022,임산물,인천,반출,2722
2022,임산물,인천,합계,328197
2022,임산물,광주,반입,59744
2022,임산물,광주,반출,7428
2022,임산물,광주,합계,67172
2022,임산물,세종,반입,47893
2022,임산물,세종,반출,21639
2022,임산물,세종,합계,69532
2022,임산물,대전,반입,62625
2022,임산물,대전,반출,2538
2022,임산물,대전,합계,65163
2022,임산물,울산,반입,86354
2022,임산물,울산,반출,9118
2022,임산물,울산,합계,95472
2022,임산물,경기,반입,658285
2022,임산물,경기,반출,288668
2022,임산물,경기,합계,946953
2022,임산물,강원,반입,226795
2022,임산물,강원,반출,842064
2022,임산물,강원,합계,1068859
2022,임산물,충북,반입,235361
2022,임산물,충북,반출,507013
2022,임산물,충북,합계,742374
2022,임산물,충남,반입,228892
2022,임산물,충남,반출,553721
2022,임산물,충남,합계,782613
2022,임산물,전북,반입,270604
2022,임산물,전북,반출,368330
2022,임산물,전북,합계,638934
2022,임산물,전남,반입,243448
2022,임산물,전남,반출,442906
2022,임산물,전남,합계,686354
2022,임산물,경북,반입,459389
2022,임산물,경북,반출,540884
2022,임산물,경북,합계,1000273
2022,임산물,경남,반입,373423
2022,임산물,경남,반출,251175
2022,임산물,경남,합계,624598
2022,임산물,제주,반입,0
2022,임산물,제주,반출,0
2022,임산물,제주,합계,0
2022,수산물,서울,반입,223164
2022,수산물,서울,반출,185
2022,수산물,서울,합계,223349
2022,수산물,부산,반입,664084
2022,수산물,부산,반출,185759
2022,수산물,부산,합계,849843
2022,수산물,대구,반입,70695
2022,수산물,대구,반출,67
2022,수산물,대구,합계,70762
2022,수산물,인천,반입,101621
2022,수산물,인천,반출,42636
2022,수산물,인천,합계,144257
2022,수산물,광주,반입,36299
2022,수산물,광주,반출,261
2022,수산물,광주,합계,36560
2022,수산물,세종,반입,4773
2022,수산물,세종,반출,289
2022,수산물,세종,합계,5062
2022,수산물,대전,반입,48746
2022,수산물,대전,반출,101
2022,수산물,대전,합계,48847
2022,수산물,울산,반입,35800
2022,수산물,울산,반출,20571
2022,수산물,울산,합계,56371
2022,수산물,경기,반입,493419
2022,수산물,경기,반출,30995
2022,수산물,경기,합계,524414
2022,수산물,강원,반입,254983
2022,수산물,강원,반출,64041
2022,수산물,강원,합계,319024
2022,수산물,충북,반입,80657
2022,수산물,충북,반출,4190
2022,수산물,충북,합계,84847
2022,수산물,충남,반입,155890
2022,수산물,충남,반출,188183
2022,수산물,충남,합계,344073
2022,수산물,전북,반입,105570
2022,수산물,전북,반출,99329
2022,수산물,전북,합계,204899
2022,수산물,전남,반입,116589
2022,수산물,전남,반출,1772156
2022,수산물,전남,합계,1888745
2022,수산물,경북,반입,199735
2022,수산물,경북,반출,113519
2022,수산물,경북,합계,313254
2022,수산물,경남,반입,418774
2022,수산물,경남,반출,488517
2022,수산물,경남,합계,907291
2022,수산물,제주,반입,0
2022,수산물,제주,반출,0
2022,수산물,제주,합계,0
2022,축산물,서울,반입,144410
2022,축산물,서울,반출,52
2022,축산물,서울,합계,144462
2022,축산물,부산,반입,57937
2022,축산물,부산,반출,2620
2022,축산물,부산,합계,60557
2022,축산물,대구,반입,193696
2022,축산물,대구,반출,5820
2022,축산물,대구,합계,199516
2022,축산물,인천,반입,40996
2022,축산물,인천,반출,49034
2022,축산물,인천,합계,90030
2022,축산물,광주,반입,42709
2022,축산물,광주,반출,3678
2022,축산물,광주,합계,46387
2022,축산물,세종,반입,29973
2022,축산물,세종,반출,43382
2022,축산물,세종,합계,73355
2022,축산물,대전,반입,42026
2022,축산물,대전,반출,8270
2022,축산물,대전,합계,50296
2022,축산물,울산,반입,20685
2022,축산물,울산,반출,15190
2022,축산물,울산,합계,35875
2022,축산물,경기,반입,546289
2022,축산물,경기,반출,1013430
2022,축산물,경기,합계,1559719
2022,축산물,강원,반입,204798
2022,축산물,강원,반출,245293
2022,축산물,강원,합계,450091
2022,축산물,충북,반입,811393
2022,축산물,충북,반출,178900
2022,축산물,충북,합계,990293
2022,축산물,충남,반입,308707
2022,축산물,충남,반출,760991
2022,축산물,충남,합계,1069698
2022,축산물,전북,반입,572413
2022,축산물,전북,반출,362759
2022,축산물,전북,합계,935172
2022,축산물,전남,반입,142154
2022,축산물,전남,반출,375716
2022,축산물,전남,합계,517870
2022,축산물,경북,반입,499800
2022,축산물,경북,반출,460648
2022,축산물,경북,합계,960448
2022,축산물,경남,반입,217588
2022,축산물,경남,반출,349791
2022,축산물,경남,합계,567379
2022,축산물,제주,반입,0
2022,축산물,제주,반출,0
2022,축산물,제주,합계,0
2022,석탄광물,서울,반입,119215
2022,석탄광물,서울,반출,0
2022,석탄광물,서울,합계,119215
2022,석탄광물,부산,반입,55004
2022,석탄광물,부산,반출,4081
2022,석탄광물,부산,합계,59085
2022,석탄광물,대구,반입,57754
2022,석탄광물,대구,반출,0
2022,석탄광물,대구,합계,57754
2022,석탄광물,인천,반입,0
2022,석탄광물,인천,반출,0
2022,석탄광물,인천,합계,0
2022,석탄광물,광주,반입,24892
2022,석탄광물,광주,반출,0
2022,석탄광물,광주,합계,24892
2022,석탄광물,세종,반입,17010
2022,석탄광물,세종,반출,0
2022,석탄광물,세종,합계,17010
2022,석탄광물,대전,반입,50131
2022,석탄광물,대전,반출,0
2022,석탄광물,대전,합계,50131
2022,석탄광물,울산,반입,88624
2022,석탄광물,울산,반출,0
2022,석탄광물,울산,합계,88624
2022,석탄광물,경기,반입,263765
2022,석탄광물,경기,반출,9467356
2022,석탄광물,경기,합계,9731121
2022,석탄광물,강원,반입,262654
2022,석탄광물,강원,반출,416677
2022,석탄광물,강원,합계,679331
2022,석탄광물,충북,반입,390455
2022,석탄광물,충북,반출,0
2022,석탄광물,충북,합계,390455
2022,석탄광물,충남,반입,9535283
2022,석탄광물,충남,반출,47886
2022,석탄광물,충남,합계,9583169
2022,석탄광물,전북,반입,122042
2022,석탄광물,전북,반출,0
2022,석탄광물,전북,합계,122042
2022,석탄광물,전남,반입,109854
2022,석탄광물,전남,반출,570483
2022,석탄광물,전남,합계,680337
2022,석탄광물,경북,반입,166556
2022,석탄광물,경북,반출,857343
2022,석탄광물,경북,합계,1023899
2022,석탄광물,경남,반입,100587
2022,석탄광물,경남,반출,0
2022,석탄광물,경남,합계,100587
2022,석탄광물,제주,반입,0
2022,석탄광물,제주,반출,0
2022,석탄광물,제주,합계,0
2022,석회석광물,서울,반입,256850
