연도,출발지,도착지,품목,물동량_톤
2022,서울특별시,서울특별시,합계,43496606
2022,서울특별시,서울특별시,농산물,2420
2022,서울특별시,서울특별시,임산물,1807
2022,서울특별시,서울특별시,수산물,35
2022,서울특별시,서울특별시,축산물,6
2022,서울특별시,서울특별시,석탄광물,0
2022,서울특별시,서울특별시,석회석광물,0
2022,서울특별시,서울특별시,비금속광물,68620
2022,서울특별시,서울특별시,음식료품,381493
2022,서울특별시,서울특별시,담배제품,0
2022,서울특별시,서울특별시,섬유제품,226626
2022,서울특별시,서울특별시,의복,795138
2022,서울특별시,서울특별시,가죽,84943
2022,서울특별시,서울특별시,"목재,나무제품",400
2022,서울특별시,서울특별시,"펄프,종이",27163
2022,서울특별시,서울특별시,"인쇄,기록매체",189309
2022,서울특별시,서울특별시,"코크스,연탄,석유정제품",63569
2022,서울특별시,서울특별시,"화합물,화학제품",12948
2022,서울특별시,서울특별시,"고무,플라스틱제품",60529
2022,서울특별시,서울특별시,비금속광물제품,30538
2022,서울특별시,서울특별시,제1차금속제품,1255
2022,서울특별시,서울특별시,금속가공제품,145408
2022,서울특별시,서울특별시,"기타기계,장비제조품",43960
2022,서울특별시,서울특별시,"전자부품,컴퓨터,영상,음향,통신장비",16217
2022,서울특별시,서울특별시,전기장비제품,11620
2022,서울특별시,서울특별시,"의료,정밀,광학기기,시계",80670
2022,서울특별시,서울특별시,"자동차,트레일러",2908
2022,서울특별시,서울특별시,기타운송장비,303
2022,서울특별시,서울특별시,가구제품,3378
2022,서울특별시,서울특별시,기타제품,11744
2022,서울특별시,서울특별시,*) 재생제품,41233599
2022,서울특별시,서울특별시,*) 기타,0
2022,서울특별시,부산광역시,합계,5463377
2022,서울특별시,부산광역시,농산물,42
2022,서울특별시,부산광역시,임산물,89
2022,서울특별시,부산광역시,수산물,31
2022,서울특별시,부산광역시,축산물,0
2022,서울특별시,부산광역시,석탄광물,0
2022,서울특별시,부산광역시,석회석광물,0
2022,서울특별시,부산광역시,비금속광물,5444
2022,서울특별시,부산광역시,음식료품,12621
2022,서울특별시,부산광역시,담배제품,0
2022,서울특별시,부산광역시,섬유제품,1669
2022,서울특별시,부산광역시,의복,23982
2022,서울특별시,부산광역시,가죽,7683
2022,서울특별시,부산광역시,"목재,나무제품",70
2022,서울특별시,부산광역시,"펄프,종이",881
2022,서울특별시,부산광역시,"인쇄,기록매체",7505
2022,서울특별시,부산광역시,"코크스,연탄,석유정제품",2858
2022,서울특별시,부산광역시,"화합물,화학제품",1998
