연도,출발지,도착지,물동량
2022,서울,서울,43496606
2022,서울,부산,5463377
2022,서울,대구,3243896
2022,서울,인천,6881648
2022,서울,광주,2048727
2022,서울,세종,561643
2022,서울,대전,2727886
2022,서울,울산,4136060
2022,서울,경기,35813380
2022,서울,강원,2558960
2022,서울,충북,4439986
2022,서울,충남,6650532
2022,서울,전북,3422920
2022,서울,전남,4336902
2022,서울,경북,7679735
2022,서울,경남,7330654
2022,서울,제주,0
2022,부산,서울,1438857
2022,부산,부산,40869185
2022,부산,대구,1925308
2022,부산,인천,3047806
2022,부산,광주,797800
2022,부산,세종,367651
2022,부산,대전,524481
2022,부산,울산,12560161
2022,부산,경기,18206638
2022,부산,강원,660709
2022,부산,충북,3802854
2022,부산,충남,3495488
2022,부산,전북,1549045
2022,부산,전남,2239252
2022,부산,경북,11148534
2022,부산,경남,20674959
2022,부산,제주,0
2022,대구,서울,468188
2022,대구,부산,3145496
2022,대구,대구,6534817
2022,대구,인천,441329
2022,대구,광주,216892
2022,대구,세종,70865
2022,대구,대전,188609
2022,대구,울산,1102512
2022,대구,경기,1401700
2022,대구,강원,266579
2022,대구,충북,565484
2022,대구,충남,815191
2022,대구,전북,397779
2022,대구,전남,645258
2022,대구,경북,4299411
2022,대구,경남,2396749
2022,대구,제주,0
2022,인천,서울,7007210
2022,인천,부산,3481148
2022,인천,대구,594863
2022,인천,인천,77559030
2022,인천,광주,472396
2022,인천,세종,308011
2022,인천,대전,641622
2022,인천,울산,1576170
2022,인천,경기,43119287
2022,인천,강원,1781677
2022,인천,충북,3488803
2022,인천,충남,5540492
2022,인천,전북,1277144
2022,인천,전남,2358822
2022,인천,경북,3541509
2022,인천,경남,2449606
2022,인천,제주,0
2022,광주,서울,634793
2022,광주,부산,2571392
2022,광주,대구,305690
2022,광주,인천,626441
2022,광주,광주,5289842
2022,광주,세종,45276
2022,광주,대전,234760
2022,광주,울산,855837
2022,광주,경기,2401866
2022,광주,강원,175552
2022,광주,충북,425865
2022,광주,충남,1205478
2022,광주,전북,1186842
2022,광주,전남,7176160
2022,광주,경북,957121
2022,광주,경남,1327084
2022,광주,제주,0
2022,대전,서울,114558
2022,대전,부산,1324433
2022,대전,대구,59504
2022,대전,인천,183959
2022,대전,광주,42701
2022,대전,세종,33034
2022,대전,대전,908460
2022,대전,울산,91243
2022,대전,경기,369642
2022,대전,강원,37007
2022,대전,충북,224541
2022,대전,충남,276818
2022,대전,전북,128437
2022,대전,전남,124472
2022,대전,경북,209138
2022,대전,경남,168716
2022,대전,제주,0
2022,울산,서울,300096
2022,울산,부산,14885329
2022,울산,대구,532658
2022,울산,인천,297523
2022,울산,광주,116749
2022,울산,세종,57409
2022,울산,대전,176750
2022,울산,울산,79194746
2022,울산,경기,1236900
2022,울산,강원,376239
2022,울산,충북,475707
2022,울산,충남,607616
2022,울산,전북,444307
2022,울산,전남,916085
2022,울산,경북,2559282
2022,울산,경남,3277622
2022,울산,제주,0
2022,경기,서울,22296749
2022,경기,부산,24999459
2022,경기,대구,4868177
2022,경기,인천,25863817
2022,경기,광주,3170844
2022,경기,세종,2504365
2022,경기,대전,5055054
2022,경기,울산,11371019
2022,경기,경기,156706291
2022,경기,강원,11857914
2022,경기,충북,19672799
2022,경기,충남,47403458
2022,경기,전북,9819334
2022,경기,전남,13878408
2022,경기,경북,20335676
2022,경기,경남,13987787
2022,경기,제주,0
2022,강원,서울,2835387
2022,강원,부산,3389851
2022,강원,대구,1827897
2022,강원,인천,2525137
2022,강원,광주,1007585
2022,강원,세종,735694
2022,강원,대전,1281678
2022,강원,울산,4357775
2022,강원,경기,17095516
2022,강원,강원,33756526
2022,강원,충북,7217399
2022,강원,충남,7198265
2022,강원,전북,2813932
2022,강원,전남,4483064
2022,강원,경북,11863656
2022,강원,경남,6038194
2022,강원,제주,0
2022,충북,서울,3630919
2022,충북,부산,4188940
2022,충북,대구,1513580
2022,충북,인천,2779303
2022,충북,광주,970574
2022,충북,세종,1512082
2022,충북,대전,2282543
2022,충북,울산,8657075
2022,충북,경기,15595914
2022,충북,강원,3481123
2022,충북,충북,15709952
2022,충북,충남,12088404
2022,충북,전북,2792510
2022,충북,전남,6699494
2022,충북,경북,8893259
2022,충북,경남,5028025
2022,충북,제주,0
2022,충남,서울,3159264
2022,충남,부산,5288338
2022,충남,대구,1188920
2022,충남,인천,3605722
2022,충남,광주,1092655
2022,충남,세종,1408695
2022,충남,대전,2378267
2022,충남,울산,3534520
2022,충남,경기,22369864
2022,충남,강원,2401967
2022,충남,충북,7033420
2022,충남,충남,68040310
2022,충남,전북,4940441
2022,충남,전남,4884743
2022,충남,경북,6384397
2022,충남,경남,4736410
2022,충남,제주,0
2022,전북,서울,1006442
2022,전북,부산,2816966
2022,전북,대구,884094
2022,전북,인천,1336057
2022,전북,광주,1433886
2022,전북,세종,537337
2022,전북,대전,1136717
2022,전북,울산,2066692
2022,전북,경기,6232033
2022,전북,강원,1489968
2022,전북,충북,3100777
2022,전북,충남,7470409
2022,전북,전북,27346546
2022,전북,전남,7297543
2022,전북,경북,4645779
2022,전북,경남,3906233
2022,전북,제주,0
2022,전남,서울,1426117
2022,전남,부산,2877640
2022,전남,대구,984349
2022,전남,인천,1256714
2022,전남,광주,5788909
2022,전남,세종,1376311
2022,전남,대전,712396
2022,전남,울산,3512427
2022,전남,경기,7513329
2022,전남,강원,1624970
2022,전남,충북,3297404
2022,전남,충남,4353278
2022,전남,전북,5462477
2022,전남,전남,107510031
2022,전남,경북,4647002
2022,전남,경남,6586428
2022,전남,제주,0
2022,경북,서울,1632980
2022,경북,부산,16306918
2022,경북,대구,3267629
2022,경북,인천,1296590
2022,경북,광주,693985
2022,경북,세종,372629
2022,경북,대전,812770
2022,경북,울산,6758846
2022,경북,경기,6664297
2022,경북,강원,2143049
2022,경북,충북,3955310
2022,경북,충남,3894827
2022,경북,전북,1965515
2022,경북,전남,3389026
2022,경북,경북,47169474
2022,경북,경남,7022839
2022,경북,제주,0
2022,경남,서울,868854
2022,경남,부산,24767149
2022,경남,대구,1632787
2022,경남,인천,861269
2022,경남,광주,540327
2022,경남,세종,190197
2022,경남,대전,430383
2022,경남,울산,6897234
2022,경남,경기,3658709
2022,경남,강원,1139054
2022,경남,충북,1574478
2022,경남,충남,1986208
2022,경남,전북,1532595
2022,경남,전남,3915074
2022,경남,경북,4518145
2022,경남,경남,55968802
2022,경남,제주,0
2022,제주,서울,0
2022,제주,부산,0
2022,제주,대구,0
2022,제주,인천,0
2022,제주,광주,0
2022,제주,세종,0
2022,제주,대전,0
2022,제주,울산,0
2022,제주,경기,0
2022,제주,강원,0
2022,제주,충북,0
2022,제주,충남,0
2022,제주,전북,0
2022,제주,전남,0
2022,제주,경북,0
2022,제주,경남,0
2022,제주,제주,7579159
2022,세종,서울,177384
2022,세종,부산,221241
2022,세종,대구,125832
2022,세종,인천,279338
2022,세종,광주,91621
2022,세종,세종,1079560
2022,세종,대전,326576
2022,세종,울산,305951
2022,세종,경기,1537884
2022,세종,강원,338744
2022,세종,충북,1760662
2022,세종,충남,2028171
2022,세종,전북,406923
2022,세종,전남,600181
2022,세종,경북,864150
2022,세종,경남,451189
2022,세종,제주,0
