기간,지역,HS코드,품목명,수출건수,수출금액,수입건수,수입금액,무역수지,품목약칭_TRASS
2000,광주광역시,01,살아있는동물,0,0,14,112,-112,산_동물
2000,광주광역시,02,육과식용설육(屑肉),2,4,9,232,-229,육과식용설육
2000,광주광역시,03,어류ㆍ갑각류ㆍ연체동물과그밖의수생(水生)무척추동물,165,1014,299,5896,-4882,어류
2000,광주광역시,04,낙농품새의알천연꿀다른류로분류되지않은식용인동물성생산품,41,1914,318,12742,-10828,낙농품
2000,광주광역시,05,다른류로분류되지않은동물성생산품,1,33,14,131,-99,기타_동물성생산품
2000,광주광역시,06,살아있는수목과그밖의식물인경(鱗莖)ㆍ뿌리와이와유사한물품절화(切花)와장식용잎,28,145,37,399,-254,산_수목및절화
2000,광주광역시,07,식용의채소ㆍ뿌리ㆍ괴경(塊莖),538,3224,99,872,2352,채소
2000,광주광역시,08,식용의과실과견과류감귤류ㆍ멜론의껍질,142,710,0,0,710,과실_견과류
2000,광주광역시,09,커피ㆍ차ㆍ마테(maté)ㆍ향신료,10,191,4,20,171,커피_향신료
2000,광주광역시,10,곡물,0,0,44,8035,-8035,곡물
2000,광주광역시,11,제분공업의생산품과맥아전분이눌린(inulin)밀의글루텐(gluten),0,0,33,4894,-4894,제분공업생산품
2000,광주광역시,12,채유(採油)에적합한종자와과실각종종자와과실공업용ㆍ의약용식물짚과사료용식물,43,579,145,975,-396,채유용종자
2000,광주광역시,13,락(lac)검ㆍ수지ㆍ그밖의식물성수액과추출물(extract),0,0,10,287,-287,식물성수액과_엑스
2000,광주광역시,14,식물성편조물(編組物)용재료와다른류로분류되지않은식물성생산품,0,0,152,2065,-2065,기타_식물성생산품
2000,광주광역시,15,동물성ㆍ식물성ㆍ미생물성지방과기름및이들의분해생산물조제한식용지방과동물성ㆍ식물성왁스,3,73,4,412,-339,동_식물성유지
2000,광주광역시,16,육류ㆍ어류ㆍ갑각류ㆍ연체동물이나그밖의수생(水生)무척추동물또는곤충의조제품,10,24,11,339,-315,육_어류조제품
2000,광주광역시,17,당류(糖類)와설탕과자,4,17,17,494,-477,당류설탕과자
2000,광주광역시,18,코코아와그조제품,1,27,15,1242,-1215,코코아
2000,광주광역시,19,곡물ㆍ고운가루ㆍ전분ㆍ밀크의조제품과베이커리제품,68,843,17,164,680,곡물_곡분의_조제품
2000,광주광역시,20,채소ㆍ과실ㆍ견과류나식물의그밖의부분의조제품,105,439,28,435,3,채소_과실의_조제품
2000,광주광역시,21,각종조제식료품,23,200,38,532,-331,각종의_조제식료품
2000,광주광역시,22,음료ㆍ주류ㆍ식초,255,15144,2,39,15105,음료_알콜식초
