지역,기간,HS코드,품목명,수출건수,수출금액,수입건수,수입금액,무역수지
광주광역시,2000,01,살아있는동물,0.0,0.0,14.0,112.0,-112.0
광주광역시,2000,02,육과식용설육(屑肉),2.0,4.0,9.0,232.0,-229.0
광주광역시,2000,03,어류ㆍ갑각류ㆍ연체동물과그밖의수생(水生)무척추동물,165.0,1014.0,299.0,5896.0,-4882.0
광주광역시,2000,04,낙농품새의알천연꿀다른류로분류되지않은식용인동물성생산품,41.0,1914.0,318.0,12742.0,-10828.0
광주광역시,2000,05,다른류로분류되지않은동물성생산품,1.0,33.0,14.0,131.0,-99.0
광주광역시,2000,06,살아있는수목과그밖의식물인경(鱗莖)ㆍ뿌리와이와유사한물품절화(切花)와장식용잎,28.0,145.0,37.0,399.0,-254.0
광주광역시,2000,07,식용의채소ㆍ뿌리ㆍ괴경(塊莖),538.0,3224.0,99.0,872.0,2352.0
광주광역시,2000,08,식용의과실과견과류감귤류ㆍ멜론의껍질,142.0,710.0,0.0,0.0,710.0
광주광역시,2000,09,커피ㆍ차ㆍ마테(maté)ㆍ향신료,10.0,191.0,4.0,20.0,171.0
광주광역시,2000,10,곡물,0.0,0.0,44.0,8035.0,-8035.0
광주광역시,2000,11,제분공업의생산품과맥아전분이눌린(inulin)밀의글루텐(gluten),0.0,0.0,33.0,4894.0,-4894.0
광주광역시,2000,12,채유(採油)에적합한종자와과실각종종자와과실공업용ㆍ의약용식물짚과사료용식물,43.0,579.0,145.0,975.0,-396.0
광주광역시,2000,13,락(lac)검ㆍ수지ㆍ그밖의식물성수액과추출물(extract),0.0,0.0,10.0,287.0,-287.0
광주광역시,2000,14,식물성편조물(編組物)용재료와다른류로분류되지않은식물성생산품,0.0,0.0,152.0,2065.0,-2065.0
광주광역시,2000,15,동물성ㆍ식물성ㆍ미생물성지방과기름및이들의분해생산물조제한식용지방과동물성ㆍ식물성왁스,3.0,73.0,4.0,412.0,-339.0
광주광역시,2000,16,육류ㆍ어류ㆍ갑각류ㆍ연체동물이나그밖의수생(水生)무척추동물또는곤충의조제품,10.0,24.0,11.0,339.0,-315.0
광주광역시,2000,17,당류(糖類)와설탕과자,4.0,17.0,17.0,494.0,-477.0
광주광역시,2000,18,코코아와그조제품,1.0,27.0,15.0,1242.0,-1215.0
광주광역시,2000,19,곡물ㆍ고운가루ㆍ전분ㆍ밀크의조제품과베이커리제품,68.0,843.0,17.0,164.0,680.0
광주광역시,2000,20,채소ㆍ과실ㆍ견과류나식물의그밖의부분의조제품,105.0,439.0,28.0,435.0,3.0
광주광역시,2000,21,각종조제식료품,23.0,200.0,38.0,532.0,-331.0
광주광역시,2000,22,음료ㆍ주류ㆍ식초,255.0,15144.0,2.0,39.0,15105.0
광주광역시,2000,23,식품공업에서생기는잔재물과웨이스트(waste)조제사료,16.0,211.0,98.0,3497.0,-3286.0
광주광역시,2000,24,담배와제조한담배대용물연소시키지않고흡입하도록만들어진물품(니코틴을함유하였는지에상관없다)니코틴을함유한그밖의물품으로인체내에니코틴을흡수시키도록만들어진것,33.0,52.0,0.0,0.0,52.0
광주광역시,2000,25,소금황토석류(土石類)석고ㆍ석회ㆍ시멘트,24.0,816.0,44.0,740.0,76.0
광주광역시,2000,27,광물성연료ㆍ광물유(鑛物油)와이들의증류물역청(瀝靑)물질광물성왁스,22.0,127.0,92.0,2177.0,-2049.0
광주광역시,2000,28,무기화학품귀금속ㆍ희토류(稀土類)금속ㆍ방사성원소ㆍ동위원소의유기화합물이나무기화합물,1.0,3.0,221.0,4428.0,-4425.0
광주광역시,2000,29,유기화학품,10.0,28.0,117.0,3814.0,-3786.0
광주광역시,2000,30,의료용품,1.0,11.0,29.0,274.0,-263.0
광주광역시,2000,31,비료,5.0,36.0,2.0,3.0,32.0
광주광역시,2000,32,유연용ㆍ염색용추출물(extract)탄닌과이들의유도체염료ㆍ안료와그밖의착색제페인트ㆍ바니시(varnish)퍼티(putty)와그밖의매스틱(mastic)잉크,27.0,171.0,219.0,2438.0,-2267.0
광주광역시,2000,33,정유(essentialoil)와레지노이드(resinoid)조제향료와화장품ㆍ화장용품,4.0,27.0,87.0,540.0,-513.0
