"지역","기간","부코드","부명약칭","부명_공식","류코드","류명약칭","류명_공식","수출건수","수출금액","수출비중","수입건수","수입금액","수입비중","무역수지","원자료없음"
"광주광역시","2000","01","동물 및 동물성 생산품","살아 있는 동물과 동물성 생산품","01","산_동물","살아있는동물",0,0,0,14,112,0.01,-112,0
"광주광역시","2000","01","동물 및 동물성 생산품","살아 있는 동물과 동물성 생산품","02","육과식용설육","육과식용설육(屑肉)",2,4,0,9,232,0.01,-229,0
"광주광역시","2000","01","동물 및 동물성 생산품","살아 있는 동물과 동물성 생산품","03","어류","어류ㆍ갑각류ㆍ연체동물과그밖의수생(水生)무척추동물",165,1014,0.03,299,5896,0.32,-4882,0
"광주광역시","2000","01","동물 및 동물성 생산품","살아 있는 동물과 동물성 생산품","04","낙농품","낙농품새의알천연꿀다른류로분류되지않은식용인동물성생산품",41,1914,0.06,318,12742,0.69,-10828,0
"광주광역시","2000","01","동물 및 동물성 생산품","살아 있는 동물과 동물성 생산품","05","기타_동물성생산품","다른류로분류되지않은동물성생산품",1,33,0,14,131,0.01,-99,0
"광주광역시","2000","02","식물성 생산품","식물성 생산품","06","산_수목및절화","살아있는수목과그밖의식물인경(鱗莖)ㆍ뿌리와이와유사한물품절화(切花)와장식용잎",28,145,0,37,399,0.02,-254,0
"광주광역시","2000","02","식물성 생산품","식물성 생산품","07","채소","식용의채소ㆍ뿌리ㆍ괴경(塊莖)",538,3224,0.1,99,872,0.05,2352,0
"광주광역시","2000","02","식물성 생산품","식물성 생산품","08","과실_견과류","식용의과실과견과류감귤류ㆍ멜론의껍질",142,710,0.02,0,0,0,710,0
"광주광역시","2000","02","식물성 생산품","식물성 생산품","09","커피_향신료","커피ㆍ차ㆍ마테(maté)ㆍ향신료",10,191,0.01,4,20,0,171,0
"광주광역시","2000","02","식물성 생산품","식물성 생산품","10","곡물","곡물",0,0,0,44,8035,0.44,-8035,0
"광주광역시","2000","02","식물성 생산품","식물성 생산품","11","제분공업생산품","제분공업의생산품과맥아전분이눌린(inulin)밀의글루텐(gluten)",0,0,0,33,4894,0.27,-4894,0
"광주광역시","2000","02","식물성 생산품","식물성 생산품","12","채유용종자","채유(採油)에적합한종자와과실각종종자와과실공업용ㆍ의약용식물짚과사료용식물",43,579,0.02,145,975,0.05,-396,0
"광주광역시","2000","02","식물성 생산품","식물성 생산품","13","식물성수액과_엑스","락(lac)검ㆍ수지ㆍ그밖의식물성수액과추출물(extract)",0,0,0,10,287,0.02,-287,0
"광주광역시","2000","02","식물성 생산품","식물성 생산품","14","기타_식물성생산품","식물성편조물(編組物)용재료와다른류로분류되지않은식물성생산품",0,0,0,152,2065,0.11,-2065,0
"광주광역시","2000","03","동식물성 유지류","동물성ㆍ식물성ㆍ미생물성 지방과 기름 및 이들의 분해생산물, 조제한 식용 지방과 동물성ㆍ식물성 왁스","15","동_식물성유지","동물성ㆍ식물성ㆍ미생물성지방과기름및이들의분해생산물조제한식용지방과동물성ㆍ식물성왁스",3,73,0,4,412,0.02,-339,0
"광주광역시","2000","04","조제식품류","조제 식료품, 음료ㆍ주류ㆍ식초, 담배ㆍ제조한 담배 대용물, 연소시키지 않고 흡입하도록 만들어진 물품(니코틴을 함유하였는지에 상관없다), 니코틴을 함유한 그 밖의 물품으로 인체 내에 니코틴을 흡수시키도록 만들어진 것","16","육_어류조제품","육류ㆍ어류ㆍ갑각류ㆍ연체동물이나그밖의수생(水生)무척추동물또는곤충의조제품",10,24,0,11,339,0.02,-315,0
"광주광역시","2000","04","조제식품류","조제 식료품, 음료ㆍ주류ㆍ식초, 담배ㆍ제조한 담배 대용물, 연소시키지 않고 흡입하도록 만들어진 물품(니코틴을 함유하였는지에 상관없다), 니코틴을 함유한 그 밖의 물품으로 인체 내에 니코틴을 흡수시키도록 만들어진 것","17","당류설탕과자","당류(糖類)와설탕과자",4,17,0,17,494,0.03,-477,0
"광주광역시","2000","04","조제식품류","조제 식료품, 음료ㆍ주류ㆍ식초, 담배ㆍ제조한 담배 대용물, 연소시키지 않고 흡입하도록 만들어진 물품(니코틴을 함유하였는지에 상관없다), 니코틴을 함유한 그 밖의 물품으로 인체 내에 니코틴을 흡수시키도록 만들어진 것","18","코코아","코코아와그조제품",1,27,0,15,1242,0.07,-1215,0
"광주광역시","2000","04","조제식품류","조제 식료품, 음료ㆍ주류ㆍ식초, 담배ㆍ제조한 담배 대용물, 연소시키지 않고 흡입하도록 만들어진 물품(니코틴을 함유하였는지에 상관없다), 니코틴을 함유한 그 밖의 물품으로 인체 내에 니코틴을 흡수시키도록 만들어진 것","19","곡물_곡분의_조제품","곡물ㆍ고운가루ㆍ전분ㆍ밀크의조제품과베이커리제품",68,843,0.03,17,164,0.01,680,0
