"year","section_name","sales_by_sectional","ratio","other_section_count","other_top_section"
"2020","기계 및 전기기기","2313062","46.09","",""
"2020","수송기기","447996","8.93","",""
"2020","기타","2257127","44.98","19","화학공업 제품"
"2021","기계 및 전기기기","2420654","48.88","",""
"2021","수송기기","348553","7.04","",""
"2021","기타","2183462","44.09","19","화학공업 제품"
"2022","기계 및 전기기기","2319750","49.53","",""
"2022","수송기기","488784","10.44","",""
"2022","기타","1875119","40.04","19","화학공업 제품"
"2023","기계 및 전기기기","2233947","52.22","",""
"2023","수송기기","498055","11.64","",""
"2023","기타","1546335","36.14","19","화학공업 제품"
"2024","기계 및 전기기기","2145967","46.73","",""
"2024","수송기기","542889","11.82","",""
"2024","기타","1903633","41.45","19","화학공업 제품"
"2025","기계 및 전기기기","2172267","43.41","",""
"2025","수송기기","734728","14.68","",""
"2025","기타","2097635","41.91","19","화학공업 제품"
