기간,지역,HS코드,품목명,수출건수,수출금액,수입건수,수입금액,무역수지
2020,대전광역시,01,살아있는동물,26,14,146,3844,-3830
2020,대전광역시,02,육과식용설육(屑肉),5,8,309,12487,-12479
2020,대전광역시,03,어류ㆍ갑각류ㆍ연체동물과그밖의수생(水生)무척추동물,140,1056,322,4792,-3736
2020,대전광역시,04,낙농품새의알천연꿀다른류로분류되지않은식용인동물성생산품,46,125,4911,2801,-2676
2020,대전광역시,05,다른류로분류되지않은동물성생산품,1,2,100,7433,-7431
2020,대전광역시,06,살아있는수목과그밖의식물인경(鱗莖)ㆍ뿌리와이와유사한물품절화(切花)와장식용잎,0,0,146,1051,-1051
2020,대전광역시,07,식용의채소ㆍ뿌리ㆍ괴경(塊莖),53,25,2863,8513,-8488
2020,대전광역시,08,식용의과실과견과류감귤류ㆍ멜론의껍질,45,112,2217,1747,-1635
2020,대전광역시,09,커피ㆍ차ㆍ마테(maté)ㆍ향신료,50,50,10363,1005,-955
2020,대전광역시,10,곡물,16,14,1263,124636,-124623
2020,대전광역시,11,제분공업의생산품과맥아전분이눌린(inulin)밀의글루텐(gluten),102,259,1926,690,-431
2020,대전광역시,12,채유(採油)에적합한종자와과실각종종자와과실공업용ㆍ의약용식물짚과사료용식물,178,1625,4722,17620,-15996
2020,대전광역시,13,락(lac)검ㆍ수지ㆍ그밖의식물성수액과추출물(extract),79,926,696,1105,-178
2020,대전광역시,14,식물성편조물(編組物)용재료와다른류로분류되지않은식물성생산품,0,0,16,49,-49
2020,대전광역시,15,동물성ㆍ식물성ㆍ미생물성지방과기름및이들의분해생산물조제한식용지방과동물성ㆍ식물성왁스,125,92,5240,1429,-1337
2020,대전광역시,16,육류ㆍ어류ㆍ갑각류ㆍ연체동물이나그밖의수생(水生)무척추동물또는곤충의조제품,272,1393,394,1586,-192
2020,대전광역시,17,당류(糖類)와설탕과자,188,189,24793,1521,-1332
2020,대전광역시,18,코코아와그조제품,32,128,16405,434,-306
2020,대전광역시,19,곡물ㆍ고운가루ㆍ전분ㆍ밀크의조제품과베이커리제품,941,6536,49576,3246,3290
2020,대전광역시,20,채소ㆍ과실ㆍ견과류나식물의그밖의부분의조제품,588,9693,15175,11606,-1913
2020,대전광역시,21,각종조제식료품,1521,6295,394665,39951,-33656
2020,대전광역시,22,음료ㆍ주류ㆍ식초,629,2950,6816,7202,-4252
2020,대전광역시,23,식품공업에서생기는잔재물과웨이스트(waste)조제사료,94,1202,4454,49736,-48534
2020,대전광역시,24,담배와제조한담배대용물연소시키지않고흡입하도록만들어진물품(니코틴을함유하였는지에상관없다)니코틴을함유한그밖의물품으로인체내에니코틴을흡수시키도록만들어진것,1054,429773,720,148531,281242
2020,대전광역시,25,소금황토석류(土石類)석고ㆍ석회ㆍ시멘트,66,43,1950,3752,-3709
2020,대전광역시,26,광(鑛)ㆍ슬래그(slag)ㆍ회(灰),1,0,7,7,-7
2020,대전광역시,27,광물성연료ㆍ광물유(鑛物油)와이들의증류물역청(瀝靑)물질광물성왁스,87,481,156,968,-486
2020,대전광역시,28,무기화학품귀금속ㆍ희토류(稀土類)금속ㆍ방사성원소ㆍ동위원소의유기화합물이나무기화합물,1021,12456,1587,227669,-215213
2020,대전광역시,29,유기화학품,658,84766,3477,242838,-158072
2020,대전광역시,30,의료용품,542,23369,30523,12822,10548
2020,대전광역시,31,비료,83,1603,42,878,725
2020,대전광역시,32,유연용ㆍ염색용추출물(extract)탄닌과이들의유도체염료ㆍ안료와그밖의착색제페인트ㆍ바니시(varnish)퍼티(putty)와그밖의매스틱(mastic)잉크,519,7824,1112,12628,-4803
2020,대전광역시,33,정유(essentialoil)와레지노이드(resinoid)조제향료와화장품ㆍ화장용품,6180,72016,77522,16375,55641
2020,대전광역시,34,비누ㆍ유기계면활성제ㆍ조제세제ㆍ조제윤활제ㆍ인조왁스ㆍ조제왁스ㆍ광택용이나연마용조제품ㆍ양초와이와유사한물품ㆍ조형용페이스트(paste)ㆍ치과용왁스와플라스터(plaster)를기본재료로한치과용조제품,1195,31523,14375,4389,27134
2020,대전광역시,35,단백질계물질변성전분글루(glue)효소,1379,30334,617,5593,24741
2020,대전광역시,36,화약류화공품성냥발화성합금특정가연성조제품,1,0,18,1520,-1520
2020,대전광역시,37,사진용이나영화용재료,105,1733,195,286,1447
2020,대전광역시,38,각종화학공업생산품,5569,308019,5681,46334,261685
2020,대전광역시,39,플라스틱과그제품,6643,136993,21412,88767,48226
2020,대전광역시,40,고무와그제품,1570,17856,3380,21330,-3475
2020,대전광역시,41,원피(모피는제외한다)와가죽,4,92,23,304,-211
2020,대전광역시,42,가죽제품마구여행용구ㆍ핸드백과이와유사한용기동물거트(gut)[누에의거트(gut)는제외한다]의제품,157,418,22110,14462,-14044
2020,대전광역시,43,모피ㆍ인조모피와이들의제품,1,1,27,23,-22
2020,대전광역시,44,목재와그제품목탄,40,46,1646,10351,-10305
2020,대전광역시,45,코르크(cork)와그제품,0,0,11,21,-21
2020,대전광역시,46,짚ㆍ에스파르토(esparto)나그밖의조물재료의제품바구니세공물(basketware)과지조세공물(枝條細工物),2,2,158,203,-201
2020,대전광역시,47,목재나그밖의섬유질셀룰로오스재료의펄프회수한종이ㆍ판지[웨이스트(waste)와스크랩(scrap)],3,1,178,12532,-12531
2020,대전광역시,48,종이와판지제지용펄프ㆍ종이ㆍ판지의제품,6709,303215,3849,47036,256180
2020,대전광역시,49,인쇄서적ㆍ신문ㆍ회화ㆍ그밖의인쇄물수제(手製)문서ㆍ타자문서ㆍ도면,186,2164,4782,7640,-5476
2020,대전광역시,50,견,15,378,4,1,377
2020,대전광역시,51,양모ㆍ동물의부드러운털이나거친털ㆍ말의털로만든실과직물,40,394,29,13,380
2020,대전광역시,52,면,100,2717,316,12778,-10062
2020,대전광역시,53,그밖의식물성방직용섬유종이실(paperyarn)과종이실로만든직물,1,3,10,49,-46
2020,대전광역시,54,인조필라멘트인조방직용섬유재료의스트립(strip)과이와유사한것,2416,31459,195,3066,28393
2020,대전광역시,55,인조스테이플섬유,75,1326,104,1470,-144
2020,대전광역시,56,워딩(wadding)ㆍ펠트(felt)ㆍ부직포특수사끈ㆍ배의밧줄(cordage)ㆍ로프ㆍ케이블과이들의제품,1005,29838,2079,30928,-1090
2020,대전광역시,57,양탄자류와그밖의방직용섬유로만든바닥깔개,7,155,278,861,-707
2020,대전광역시,58,특수직물터프트(tuft)한직물레이스태피스트리(tapestry)트리밍(trimming)자수천,9,25,188,102,-77
2020,대전광역시,59,침투ㆍ도포ㆍ피복하거나적층한방직용섬유의직물공업용인방직용섬유제품,44,877,246,1902,-1025
2020,대전광역시,60,메리야스편물과뜨개질편물,9,127,8,5,121
2020,대전광역시,61,의류와그부속품(메리야스편물이나뜨개질편물로한정한다),208,805,12543,9392,-8587
2020,대전광역시,62,의류와그부속품(메리야스편물이나뜨개질편물은제외한다),351,600,24461,16150,-15550
