"YEAR","region_type","region","total_qty","ratio_pct"
"2018","기타 지방","Others","9545717","30.33"
"2018","대전","Daejeon","1369703","4.35"
"2018","수도권 외곽 (인천·경기)","Capital Area","20561042","65.32"
"2019","기타 지방","Others","10387041","29.24"
"2019","대전","Daejeon","1507309","4.24"
"2019","수도권 외곽 (인천·경기)","Capital Area","23628150","66.52"
"2020","기타 지방","Others","13401281","30.63"
"2020","대전","Daejeon","1319591","3.02"
"2020","수도권 외곽 (인천·경기)","Capital Area","29033993","66.36"
"2021","기타 지방","Others","13285386","28.62"
"2021","대전","Daejeon","1739968","3.75"
"2021","수도권 외곽 (인천·경기)","Capital Area","31387157","67.63"
"2022","기타 지방","Others","13022697","28.98"
"2022","대전","Daejeon","1173994","2.61"
"2022","수도권 외곽 (인천·경기)","Capital Area","30740922","68.41"
"2023","기타 지방","Others","12385397","29.31"
"2023","대전","Daejeon","1073063","2.54"
"2023","수도권 외곽 (인천·경기)","Capital Area","28795602","68.15"
