"year","section_name","sales_by_sectional","ratio","rank_num"
"2020","기계 및 전기기기","2313062","46.09","1"
"2020","화학공업 제품","573643","11.43","2"
"2020","조제식품류","458159","9.13","3"
"2020","수송기기","447996","8.93","4"
"2020","광학, 정밀, 의료기기","310016","6.18","5"
"2020","펄프 및 종이 제품","305380","6.09","6"
"2021","기계 및 전기기기","2420654","48.88","1"
"2021","화학공업 제품","584567","11.80","2"
"2021","조제식품류","390332","7.88","3"
"2021","광학, 정밀, 의료기기","373063","7.53","4"
"2021","수송기기","348553","7.04","5"
"2021","펄프 및 종이 제품","326916","6.60","6"
"2022","기계 및 전기기기","2319750","49.53","1"
"2022","수송기기","488784","10.44","2"
"2022","화학공업 제품","422952","9.03","3"
"2022","광학, 정밀, 의료기기","402922","8.60","4"
"2022","펄프 및 종이 제품","388032","8.28","5"
"2023","기계 및 전기기기","2233947","52.22","1"
"2023","수송기기","498055","11.64","2"
"2023","화학공업 제품","342589","8.01","3"
"2023","광학, 정밀, 의료기기","337355","7.89","4"
"2023","펄프 및 종이 제품","303507","7.09","5"
"2024","기계 및 전기기기","2145967","46.73","1"
"2024","수송기기","542889","11.82","2"
"2024","화학공업 제품","398602","8.68","3"
"2024","펄프 및 종이 제품","367640","8.01","4"
"2024","광학, 정밀, 의료기기","363441","7.91","5"
"2024","조제식품류","276004","6.01","6"
"2025","기계 및 전기기기","2172267","43.41","1"
"2025","수송기기","734728","14.68","2"
"2025","화학공업 제품","544838","10.89","3"
"2025","조제식품류","438210","8.76","4"
"2025","광학, 정밀, 의료기기","373785","7.47","5"
"2025","펄프 및 종이 제품","324804","6.49","6"
