기간,지역,HS코드,품목명,수출 건수,수출 금액,수입 건수,수입 금액,무역수지
2021,대전광역시,01,살아있는동물,31,24,188,4014,-3990
2021,대전광역시,02,육과식용설육(屑肉),4,4,302,15783,-15779
2021,대전광역시,03,어류ㆍ갑각류ㆍ연체동물과그밖의수생(水生)무척추동물,124,5729,525,6555,-826
2021,대전광역시,04,낙농품새의알천연꿀다른류로분류되지않은식용인동물성생산품,41,156,6080,4201,-4045
2021,대전광역시,05,다른류로분류되지않은동물성생산품,0,0,117,4969,-4969
2021,대전광역시,06,살아있는수목과그밖의식물인경(鱗莖)ㆍ뿌리와이와유사한물품절화(切花)와장식용잎,0,0,153,1403,-1403
2021,대전광역시,07,식용의채소ㆍ뿌리ㆍ괴경(塊莖),33,13,2649,10884,-10870
2021,대전광역시,08,식용의과실과견과류감귤류ㆍ멜론의껍질,55,218,2959,1252,-1035
2021,대전광역시,09,커피ㆍ차ㆍ마테(maté)ㆍ향신료,19,65,14203,1666,-1600
2021,대전광역시,10,곡물,5,10,1926,218653,-218643
2021,대전광역시,11,제분공업의생산품과맥아전분이눌린(inulin)밀의글루텐(gluten),46,129,3159,1932,-1803
2021,대전광역시,12,채유(採油)에적합한종자와과실각종종자와과실공업용ㆍ의약용식물짚과사료용식물,58,1341,10612,37961,-36620
2021,대전광역시,13,락(lac)검ㆍ수지ㆍ그밖의식물성수액과추출물(extract),111,1169,832,567,602
2021,대전광역시,14,식물성편조물(編組物)용재료와다른류로분류되지않은식물성생산품,0,0,31,69,-69
2021,대전광역시,15,동물성ㆍ식물성ㆍ미생물성지방과기름및이들의분해생산물조제한식용지방과동물성ㆍ식물성왁스,37,16,5984,1864,-1848
2021,대전광역시,16,육류ㆍ어류ㆍ갑각류ㆍ연체동물이나그밖의수생(水生)무척추동물또는곤충의조제품,184,1332,2172,523,809
2021,대전광역시,17,당류(糖類)와설탕과자,164,225,23701,732,-507
2021,대전광역시,18,코코아와그조제품,17,202,19331,469,-267
2021,대전광역시,19,곡물ㆍ고운가루ㆍ전분ㆍ밀크의조제품과베이커리제품,658,4905,76803,3787,1119
2021,대전광역시,20,채소ㆍ과실ㆍ견과류나식물의그밖의부분의조제품,541,11257,21192,13523,-2266
2021,대전광역시,21,각종조제식료품,1841,6189,493990,47841,-41652
2021,대전광역시,22,음료ㆍ주류ㆍ식초,358,2897,12226,8655,-5757
2021,대전광역시,23,식품공업에서생기는잔재물과웨이스트(waste)조제사료,94,1200,4907,75347,-74147
2021,대전광역시,24,담배와제조한담배대용물연소시키지않고흡입하도록만들어진물품(니코틴을함유하였는지에상관없다)니코틴을함유한그밖의물품으로인체내에니코틴을흡수시키도록만들어진것,1085,362125,668,110978,251147
2021,대전광역시,25,소금황토석류(土石類)석고ㆍ석회ㆍ시멘트,32,36,1909,5402,-5367
2021,대전광역시,26,광(鑛)ㆍ슬래그(slag)ㆍ회(灰),1,15,20,394,-379
2021,대전광역시,27,광물성연료ㆍ광물유(鑛物油)와이들의증류물역청(瀝靑)물질광물성왁스,65,271,151,1202,-931
2021,대전광역시,28,무기화학품귀금속ㆍ희토류(稀土類)금속ㆍ방사성원소ㆍ동위원소의유기화합물이나무기화합물,1070,12635,1726,151986,-139351
2021,대전광역시,29,유기화학품,522,61478,3425,258985,-197507
2021,대전광역시,30,의료용품,685,29883,32399,11542,18341
2021,대전광역시,31,비료,90,1750,279,1084,666
2021,대전광역시,32,유연용ㆍ염색용추출물(extract)탄닌과이들의유도체염료ㆍ안료와그밖의착색제페인트ㆍ바니시(varnish)퍼티(putty)와그밖의매스틱(mastic)잉크,572,12221,1208,20112,-7890
2021,대전광역시,33,정유(essentialoil)와레지노이드(resinoid)조제향료와화장품ㆍ화장용품,10143,108429,93748,21233,87196
2021,대전광역시,34,비누ㆍ유기계면활성제ㆍ조제세제ㆍ조제윤활제ㆍ인조왁스ㆍ조제왁스ㆍ광택용이나연마용조제품ㆍ양초와이와유사한물품ㆍ조형용페이스트(paste)ㆍ치과용왁스와플라스터(plaster)를기본재료로한치과용조제품,1475,28677,15913,3845,24833
2021,대전광역시,35,단백질계물질변성전분글루(glue)효소,1428,39607,651,6457,33150
2021,대전광역시,36,화약류화공품성냥발화성합금특정가연성조제품,0,0,21,667,-667
2021,대전광역시,37,사진용이나영화용재료,105,1698,203,924,774
2021,대전광역시,38,각종화학공업생산품,5680,288189,6192,48789,239400
2021,대전광역시,39,플라스틱과그제품,6644,161805,28557,98569,63236
2021,대전광역시,40,고무와그제품,1756,22842,3887,24195,-1354
2021,대전광역시,41,원피(모피는제외한다)와가죽,22,344,22,178,167
2021,대전광역시,42,가죽제품마구여행용구ㆍ핸드백과이와유사한용기동물거트(gut)[누에의거트(gut)는제외한다]의제품,209,440,23532,16009,-15570
2021,대전광역시,43,모피ㆍ인조모피와이들의제품,0,0,9,4,-4
2021,대전광역시,44,목재와그제품목탄,63,84,1931,14094,-14011
2021,대전광역시,45,코르크(cork)와그제품,0,0,14,32,-32
2021,대전광역시,46,짚ㆍ에스파르토(esparto)나그밖의조물재료의제품바구니세공물(basketware)과지조세공물(枝條細工物),2,0,200,137,-137
2021,대전광역시,47,목재나그밖의섬유질셀룰로오스재료의펄프회수한종이ㆍ판지[웨이스트(waste)와스크랩(scrap)],4,35,177,12367,-12332
2021,대전광역시,48,종이와판지제지용펄프ㆍ종이ㆍ판지의제품,7164,321493,4795,48116,273377
2021,대전광역시,49,인쇄서적ㆍ신문ㆍ회화ㆍ그밖의인쇄물수제(手製)문서ㆍ타자문서ㆍ도면,181,5388,7027,17634,-12247
2021,대전광역시,50,견,6,12,18,6,6
2021,대전광역시,51,양모ㆍ동물의부드러운털이나거친털ㆍ말의털로만든실과직물,19,477,43,32,445
2021,대전광역시,52,면,93,2296,369,14237,-11941
2021,대전광역시,53,그밖의식물성방직용섬유종이실(paperyarn)과종이실로만든직물,0,0,22,77,-77
2021,대전광역시,54,인조필라멘트인조방직용섬유재료의스트립(strip)과이와유사한것,2727,33087,208,4003,29083
2021,대전광역시,55,인조스테이플섬유,106,5079,120,3221,1858
2021,대전광역시,56,워딩(wadding)ㆍ펠트(felt)ㆍ부직포특수사끈ㆍ배의밧줄(cordage)ㆍ로프ㆍ케이블과이들의제품,1244,44531,1892,27130,17401
2021,대전광역시,57,양탄자류와그밖의방직용섬유로만든바닥깔개,9,147,347,847,-699
2021,대전광역시,58,특수직물터프트(tuft)한직물레이스태피스트리(tapestry)트리밍(trimming)자수천,16,76,268,135,-60
2021,대전광역시,59,침투ㆍ도포ㆍ피복하거나적층한방직용섬유의직물공업용인방직용섬유제품,83,784,323,2544,-1760
2021,대전광역시,60,메리야스편물과뜨개질편물,18,83,24,12,70
2021,대전광역시,61,의류와그부속품(메리야스편물이나뜨개질편물로한정한다),216,994,16292,12335,-11341
2021,대전광역시,62,의류와그부속품(메리야스편물이나뜨개질편물은제외한다),368,931,33061,18816,-17885
2021,대전광역시,63,제품으로된방직용섬유의그밖의물품세트사용하던의류ㆍ방직용섬유제품넝마,5714,9444,8787,8097,1347
2021,대전광역시,64,신발류ㆍ각반과이와유사한것이들의부분품,95,4341,15008,17297,-12956
2021,대전광역시,65,모자류와그부분품,33,134,3095,908,-774
2021,대전광역시,66,산류(傘類)ㆍ지팡이ㆍ시트스틱(seat-stick)ㆍ채찍ㆍ승마용채찍과이들의부분품,3,8,559,514,-506
2021,대전광역시,67,조제깃털ㆍ솜털과그제품조화사람머리카락으로된제품,4,0,866,936,-936
2021,대전광역시,68,돌ㆍ플라스터(plaster)ㆍ시멘트ㆍ석면ㆍ운모나이와유사한재료의제품,283,8672,1734,16233,-7561
2021,대전광역시,69,도자제품,20,25,3902,9063,-9039
2021,대전광역시,70,유리와유리제품,139,763,2908,7054,-6291
2021,대전광역시,71,천연진주ㆍ양식진주ㆍ귀석ㆍ반귀석ㆍ귀금속ㆍ귀금속을입힌금속과이들의제품모조신변장식용품주화,104,12405,4369,12408,-3
2021,대전광역시,72,철강,178,18565,758,48419,-29854
2021,대전광역시,73,철강의제품,3761,45636,16226,69438,-23802
2021,대전광역시,74,구리와그제품,655,11361,1855,17647,-6286
2021,대전광역시,75,니켈과그제품,9,488,123,6263,-5775
2021,대전광역시,76,알루미늄과그제품,1177,22972,3405,117657,-94685
2021,대전광역시,78,납과그제품,688,307,160,14492,-14185
2021,대전광역시,79,아연과그제품,12,20,37,84,-64
2021,대전광역시,80,주석과그제품,0,0,19,1553,-1553
2021,대전광역시,81,그밖의비금속(卑金屬)서멧(cermet)이들의제품,116,856,268,62555,-61700
2021,대전광역시,82,비금속(卑金屬)으로만든공구ㆍ도구ㆍ칼붙이ㆍ스푼ㆍ포크이들의부분품,1349,6098,8084,5690,408
2021,대전광역시,83,비금속(卑金屬)으로만든각종제품,817,3827,2017,4618,-791
2021,대전광역시,84,원자로ㆍ보일러ㆍ기계류와이들의부분품,17982,973236,42146,653377,319860
2021,대전광역시,85,전기기기와그부분품녹음기ㆍ음성재생기ㆍ텔레비전의영상과음성의기록기ㆍ재생기와이들의부분품ㆍ부속품,32027,1447418,92752,743282,704136
2021,대전광역시,86,철도용이나궤도용기관차ㆍ차량과이들의부분품철도용이나궤도용장비품과그부분품기계식(전기기계식을포함한다)각종교통신호용기기,6,607,95,79154,-78548
2021,대전광역시,87,철도용이나궤도용외의차량과그부분품ㆍ부속품,9466,290330,6414,95035,195295
2021,대전광역시,88,항공기와우주선이들의부분품,21,57616,169,9231,48385
2021,대전광역시,89,선박과수상구조물,0,0,36,1000,-1000
2021,대전광역시,90,광학기기ㆍ사진용기기ㆍ영화용기기ㆍ측정기기ㆍ검사기기ㆍ정밀기기ㆍ의료용기기이들의부분품과부속품,13964,373030,40731,322160,50870
2021,대전광역시,91,시계와그부분품,38,31,1851,1317,-1286
2021,대전광역시,92,악기와그부분품과부속품,4,2,570,736,-734
2021,대전광역시,93,무기ㆍ총포탄과이들의부분품과부속품,3,2,142,310,-308
2021,대전광역시,94,가구침구ㆍ매트리스ㆍ매트리스서포트(mattresssupport)ㆍ쿠션과이와유사한물품다른류로분류되지않은조명기구조명용사인ㆍ조명용네임플레이트(name-plate)와이와유사한물품조립식건축물,497,5125,7604,37577,-32453
2021,대전광역시,95,완구ㆍ게임용구ㆍ운동용구와이들의부분품과부속품,274,7258,14337,20510,-13251
2021,대전광역시,96,잡품,1779,67060,10918,6374,60687
2021,대전광역시,97,예술품ㆍ수집품ㆍ골동품,7,9,227,1164,-1155
2021,대전광역시,99,일시적입법;설치된간이수정에따른입법을트레이드한다;추가적수입제한농업인것의제22부에따른확립된것조정행위수정된것처럼,0,0,226,0,0
